season,week,player_id,player_display_name,position,team,opponent_team,game_id,kickoff_et,snapped_at_et,book,book_amer,first_amer,two_plus_amer,p_book,lambda,p_ge1,p_ge2,fair_amer,scored_anytime,scored_two_plus,status,slate,p_first,unquoted_lambda_remainder,book_first_p_devigged
2026,1,00-0037563,Malik Davis,RB,DAL,NYG,2026_01_DAL_NYG,2026-09-13 20:20:00,2026-09-08 22:03:00,DraftKings,700,,,0.125,0.203168698788812,0.1838594521103592,0.0180452389668328,444.0,,,pregame,initial_draftkings,0.03508710071457509,0.863806151560903,
2026,1,00-0035676,A.J. Brown,WR,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,155,,,0.3921568627450981,0.5696994161736765,0.4343045479498636,0.112028179184797,130.0,0.0,0.0,final,initial_draftkings,0.11727857044219792,0.03681530178832966,
2026,1,00-0036875,Rhamondre Stevenson,RB,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,110,,,0.4761904761904761,0.4276551799533697,0.3479637888038983,0.069117125568716,187.0,0.0,0.0,final,initial_draftkings,0.08803728198282389,0.03681530178832966,
2026,1,00-0038543,Jaxon Smith-Njigba,WR,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,135,,,0.425531914893617,0.407833966642493,0.3349107033354072,0.0636646973052205,199.0,1.0,0.0,final,initial_draftkings,0.08395687836025668,0.03681530178832966,
2026,1,00-0033908,Cooper Kupp,WR,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,250,,,0.2857142857142857,0.3245428389714084,0.2771422594955064,0.0425439562197204,261.0,0.0,0.0,final,initial_draftkings,0.0668105304679052,0.03681530178832966,
2026,1,sleeper:13286,Jadarian Price,RB,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,130,,,0.4347826086956522,0.3109585056581735,0.2672557200198463,0.0394026536876433,274.0,0.0,0.0,final,initial_draftkings,0.06401405368355681,0.03681530178832966,
2026,1,00-0039793,AJ Barner,TE,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,265,,,0.273972602739726,0.2833266966590753,0.2467263443300524,0.0333038077887805,305.0,0.0,0.0,final,initial_draftkings,0.05832575742390578,0.03681530178832966,
2026,1,00-0033090,Hunter Henry,TE,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,270,,,0.2702702702702702,0.2812036487745546,0.2451254094595508,0.0328519202323787,308.0,0.0,0.0,final,initial_draftkings,0.05788870585985606,0.03681530178832966,
2026,1,00-0039851,Drake Maye,QB,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,425,,,0.1904761904761904,0.2592953771871391,0.2284049222032421,0.0283338854701918,338.0,0.0,0.0,final,initial_draftkings,0.053378659509644905,0.03681530178832966,
2026,1,00-0037816,Romeo Doubs,WR,NE,SEA,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,285,,,0.2597402597402597,0.2412667940037163,0.2143680034802062,0.0248210904131367,366.0,0.0,0.0,final,initial_draftkings,0.049667287507456484,0.03681530178832966,
2026,1,00-0037545,Rashid Shaheed,WR,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,330,,,0.2325581395348837,0.1825760634243306,0.1668787285385924,0.0147707264400953,499.0,0.0,0.0,final,initial_draftkings,0.037585188096527535,0.03681530178832966,
2026,1,00-0039299,George Holani,RB,SEA,NE,2026_01_NE_SEA,2026-09-09 20:20:00,2026-09-08 22:03:00,DraftKings,180,,,0.3571428571428571,0.1820390902039806,0.1664312445938185,0.0146891467372128,501.0,0.0,0.0,final,initial_draftkings,0.03747464655503999,0.03681530178832966,
