season,week,player_id,player_display_name,position,team,opponent_team,game_id,kickoff_et,snapped_at_et,book,book_amer,first_amer,two_plus_amer,p_book,lambda,p_ge1,p_ge2,fair_amer,scored_anytime,scored_two_plus,status,slate,identity_source,l4w_games_available,forward_history_missing,bet_eligible,eligibility_reason,p_first,unquoted_lambda_remainder,book_first_p_devigged,scored_first
2026,3,00-0033280,Christian McCaffrey,RB,SF,ARI,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,-295,300,190.0,0.7468354430379747,1.181739218095587,0.6932552216701529,0.3307628871717349,-226,,,pregame,full_draftkings,sleeper_gsis,4,False,True,,0.2133497240521054,0.0,0.2330859164862058,
2026,3,00-0038559,Michael Wilson,WR,ARI,SF,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,320,2200,3000.0,0.238095238095238,0.4845522394450771,0.3840270565875981,0.0855559874195431,160,,,pregame,full_draftkings,historical_crosswalk,4,False,True,,0.0874804567635792,0.0,0.0405366811280357,
2026,3,00-0037744,Trey McBride,TE,ARI,SF,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,205,1600,1700.0,0.3278688524590164,0.4817651582675033,0.3823078953830462,0.0847253608416722,162,,,pregame,full_draftkings,historical_crosswalk,4,False,True,,0.0869772806050487,0.0,0.0548437450555778,
2026,3,00-0033288,George Kittle,TE,SF,ARI,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,185,1000,1500.0,0.3508771929824561,0.4784005843564196,0.3802261244705847,0.0837259402484694,163,,,pregame,full_draftkings,sleeper_gsis,4,False,True,,0.0863698446289122,0.0,0.084758515085893,
2026,3,00-0035719,Deebo Samuel,WR,SF,ARI,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,200,1100,1500.0,0.3333333333333333,0.4485399686957058,0.3614402113722601,0.075020623770837,177,,,pregame,full_draftkings,sleeper_gsis,4,False,True,,0.0809788463327687,0.0,0.0776953054954019,
2026,3,00-0031408,Mike Evans,WR,SF,ARI,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,145,900,1100.0,0.4081632653061224,0.4030818406766704,0.3317425935527938,0.0623801681162361,201,,,pregame,full_draftkings,sleeper_gsis,4,False,True,,0.0727718926155045,0.0,0.0932343665944823,
2026,3,sleeper:13287,Jeremiyah Love,RB,ARI,SF,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,140,950,1000.0,0.4166666666666667,0.3481914784475017,0.2940363135588388,0.0482257738466423,240,,,pregame,full_draftkings,synthetic_sleeper,0,True,False,synthetic_or_unresolved_identity,0.0628620551019576,0.0,0.0887946348518879,
2026,3,00-0037263,Tyler Allgeier,RB,ARI,SF,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,180,1100,1400.0,0.3571428571428571,0.2776339693441338,0.2424259338964861,0.0320976388519923,312,,,pregame,full_draftkings,historical_crosswalk,4,False,True,,0.0501236904386721,0.0,0.0776953054954019,
2026,3,sleeper:13414,Kaelon Black,RB,SF,ARI,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,260,1400,2000.0,0.2777777777777778,0.2231388427607707,0.1999962331483806,0.0214843184088528,400,,,pregame,full_draftkings,synthetic_sleeper,0,True,False,synthetic_or_unresolved_identity,0.0402852082755079,0.0,0.0621562443963215,
2026,3,00-0039849,Marvin Harrison,WR,ARI,SF,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,400,2500,4500.0,0.2,0.2132551451744606,0.1920500336192677,0.0197505462450441,421,,,pregame,full_draftkings,historical_crosswalk,4,False,True,,0.0385008178445531,0.0,0.0358593717671085,
2026,3,00-0033307,Kendrick Bourne,WR,ARI,SF,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,700,4500,10000.0,0.125,0.1434261457002512,0.1336152159339864,0.0093529856620535,648,,,pregame,full_draftkings,sleeper_gsis,4,False,True,,0.0258939774007995,0.0,0.0202683405640178,
2026,3,00-0029892,Kyle Juszczyk,RB,SF,ARI,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,850,4000,10000.0,0.1052631578947368,0.1401310777448791,0.1307557106501236,0.0089475715599437,665,,,pregame,full_draftkings,sleeper_gsis,4,False,True,,0.025299089943189,0.0,0.0227400894132883,
2026,3,00-0037834,Brock Purdy,QB,SF,ARI,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,285,1500,2800.0,0.2597402597402597,0.1222372107916218,0.1150615733413482,0.0068891683442684,769,,,pregame,full_draftkings,historical_crosswalk,4,False,True,,0.022068553528518,0.0,0.0582714791215514,
2026,3,00-0039041,Elijah Higgins,TE,ARI,SF,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,1600,8000,18000.0,0.0588235294117647,0.0951847704501504,0.0907950752561307,0.0042526132022391,1001,,,pregame,full_draftkings,historical_crosswalk,4,False,True,,0.017184539700924,0.0,0.0115104156289484,
2026,3,00-0033119,Jacoby Brissett,QB,ARI,SF,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,750,5000,9000.0,0.1176470588235294,0.0830042276943601,0.0796527437350048,0.0032600305181056,1155,,,pregame,full_draftkings,sleeper_gsis,4,False,True,,0.0149854797087029,0.0,0.0182812483518592,
2026,3,00-0036887,Luke Farrell,TE,SF,ARI,2026_03_ARI_SF,2026-09-27 16:05:00,2026-09-24 17:51:16,DraftKings,900,4500,13000.0,0.1,0.0809080080886013,0.077721470292879,0.0031017515513919,1187,,,pregame,full_draftkings,historical_crosswalk,4,False,True,,0.0146070308364026,0.0,0.0202683405640178,
2026,3,00-0038542,Bijan Robinson,RB,ATL,GB,2026_03_ATL_GB,2026-09-24 20:15:00,2026-09-24 17:51:16,DraftKings,-140,425,425.0,0.5833333333333333,0.5601755158596747,0.4288911836033143,0.1089700077662927,133,1.0,1.0,final,full_draftkings,historical_crosswalk,4,False,True,,0.1326686506361634,0.0,0.1557987292125375,0.0
