game_id,season,week,home_team,away_team,gameday,spread_line,predicted_margin,xgb_margin,ridge_margin,lgbm_margin
2018_01_ATL_PHI,2018,1,PHI,ATL,2018-09-06,4.0,4.1775255,4.77564,2.3831818,3.858005227214981
2018_01_BUF_BAL,2018,1,BAL,BUF,2018-09-09,6.0,7.5429716,8.689842,4.10236,8.168741199326266
2018_01_PIT_CLE,2018,1,CLE,PIT,2018-09-09,-5.5,-8.519173,-8.157577,-9.603962,-5.678286476333477
2018_01_CIN_IND,2018,1,IND,CIN,2018-09-09,3.0,0.7125174,-0.015979053,2.8980067,-1.3587523725985944
2018_01_TEN_MIA,2018,1,MIA,TEN,2018-09-09,-1.5,-1.5112386,-0.22753716,-5.362343,0.7199665404381123
2018_01_SF_MIN,2018,1,MIN,SF,2018-09-09,5.5,2.1682844,1.3803085,4.5322123,0.2631867902541311
2018_01_HOU_NE,2018,1,NE,HOU,2018-09-09,6.5,11.328037,12.176451,8.782797,11.322335303115953
2018_01_TB_NO,2018,1,NO,TB,2018-09-09,9.5,5.5748215,6.027143,4.217857,5.802791052638272
2018_01_JAX_NYG,2018,1,NYG,JAX,2018-09-09,-3.0,-2.7182844,-3.8442075,0.65948486,-2.101195813463006
2018_01_KC_LAC,2018,1,LAC,KC,2018-09-09,3.0,0.42036623,0.56528634,-0.014394045,0.26693080042395856
2018_01_WAS_ARI,2018,1,ARI,WAS,2018-09-09,1.0,1.0230964,1.0793349,0.85438097,0.0042607769867729385
2018_01_DAL_CAR,2018,1,CAR,DAL,2018-09-09,2.5,5.2362466,5.3093348,5.016982,5.6181925113168605
2018_01_SEA_DEN,2018,1,DEN,SEA,2018-09-09,2.5,-0.5474365,-0.5204538,-0.6283846,-1.1704456708408033
2018_01_CHI_GB,2018,1,GB,CHI,2018-09-09,8.0,8.786158,8.374294,10.021748,7.5545823321195344
2018_01_NYJ_DET,2018,1,DET,NYJ,2018-09-10,6.5,9.903573,9.994172,9.631776,8.350295257056203
