feature,xgb_gain_norm,ridge_abs_coef_norm,lgb_gain_norm,combined,rank
spread_line,1.0,1.0,1.0,1.0,1
sack_diff,0.37610406,0.2602607,0.23474644583624277,0.29037040128364056,2
sack_diff_reverse,0.41388524,0.2602613,0.18052985360897542,0.2848921288737885,3
scoring_diff,0.5422705,0.0019388165,0.15359154569376218,0.23260028238849081,4
home_coach_win_pct_roll3,0.34447473,0.030380178,0.09089926871096146,0.1552513970018594,5
scoring_diff_reverse,0.41674528,0.0019388178,0.04545859429079453,0.15471422981168878,6
home_coach_win_pct_prior,0.28030017,0.0959396,0.07188972659644026,0.14937650106925612,7
away_rolling_allowed_play_count,0.16987106,0.24223508,0.029296087957745003,0.14713408143564238,8
away_rolling_allowed_avg_yards,0.1849268,0.21223444,0.04236967102050654,0.1465103054555253,9
home_rolling_win_pct,0.32228044,0.07582219,0.011983741644325384,0.13669546091665907,10
diff_active_allpro_weighted,0.29489577,0.07494654,0.02308100668757028,0.1309744325219554,11
epa_home_off_away_def_rolling_diff,0.1898619,0.14488901,0.054507559990613984,0.12975281690747517,12
diff_active_allpro_prev_year,0.21984953,0.1434699,0.008315659090085687,0.12387836195502144,13
away_season_sos_opponent_avg,0.19754468,0.10812958,0.06067460075911307,0.12211628521778989,14
diff_allpro_last_3_years_weighted,0.26514912,0.054093037,0.026940409729859473,0.11539418644043513,15
allpro_diff_home_off_away_def_3_years,0.1856847,0.099386,0.03147935638758784,0.10551668130667091,16
home_defense_allpro_prev_year,0.20573182,0.104413904,0.005868798827780331,0.10533817818948066,17
away_offense_allpro_prev_year,0.22414139,0.08249707,0.0071578298396870075,0.10459875975671756,18
season_sos_diff,0.1778646,0.089700446,0.04473325428358265,0.10409943202135148,19
third_down_diff,0.21947974,0.022888282,0.06890551015263684,0.10375784590683344,20
epa_home_def_away_off_rolling_diff,0.18500583,0.090263106,0.03393416086566191,0.10306770099445099,21
is_playoff,0.227143,0.08072988,0.0,0.10262429714202881,22
play_count_home_def_away_off_rolling_diff,0.18397938,0.06883098,0.05368206863516304,0.10216414254544091,23
home_allpro_last_3_years_weighted,0.22649659,0.059950605,0.019756493587342758,0.10206789692873686,24
away_rolling_avg_yards,0.20326425,0.040196475,0.06248625883259615,0.10198232951693482,25
home_rolling_allowed_avg_epa,0.16239537,0.1120692,0.027677555584203224,0.10071404434021679,26
away_defense_allpro_3_years,0.17348188,0.103548504,0.021591431838626024,0.09954060347290646,27
away_coach_win_pct_prior,0.21739589,0.0147432005,0.06555189278931337,0.09923032451739218,28
home_recent_sos_opponent_avg,0.17888689,0.07134957,0.0453813502194822,0.09853926728176872,29
away_pr_prev_year,0.2192255,0.031471062,0.04175369814145627,0.09748342260754128,30
away_rolling_avg_epa,0.20140867,0.037097614,0.05328397313881995,0.0972634201583898,31
away_injured_count,0.18371503,0.07821742,0.02908696869074708,0.09700646711408895,32
home_rolling_play_count,0.19119999,0.050151404,0.043214534836616025,0.09485531022734307,33
avg_yards_home_off_away_def_rolling_diff,0.17349625,0.083889164,0.027114456695426163,0.0948332865377627,34
allpro_diff_home_off_away_def_prev_year,0.1777763,0.09983255,0.006010911808554288,0.09453992775617175,35
away_defense_allpro_prev_year,0.1530146,0.11726476,0.012475678813611762,0.09425167557006257,36
home_rolling_avg_yards,0.18071121,0.07008835,0.028317227585091257,0.09303893136414358,37
away_recent_sos_opponent_avg,0.17111139,0.06634753,0.0395461349640208,0.09233501649412572,38
home_season_sos_opponent_avg,0.20194577,0.014228156,0.05710012160495415,0.09109134622002805,39
home_rolling_allowed_play_count,0.1726221,0.054415587,0.04412116201558741,0.090386281714966,40
is_home_qb_new,0.2292011,0.032700837,0.008651079110854637,0.0901843313947498,41
home_qb_switch,0.22508578,0.032706793,0.011096324706027502,0.08962962898411671,42
home_rolling_avg_epa,0.21966566,0.014728207,0.03216699043791746,0.0888536184359963,43
away_coach_win_pct_roll3,0.20170496,0.007281029,0.05212617041294696,0.08703738987983904,44
away_offense_allpro_3_years,0.17725968,0.07028946,0.012016755226780019,0.08652196721352771,45
diff_allpro_prev_year,0.17284901,0.07179956,0.014475517099915606,0.08637469762756383,46
home_allpro_prev_year,0.1712055,0.08451521,0.0033469405626557823,0.08635588178552861,47
div_game,0.20182742,0.048965663,0.005399832860329753,0.08539764408790369,48
total_line,0.15046085,0.07870421,0.022999116445842818,0.08405472625138476,49
home_time_to_throw_prev_year,0.17499398,0.05118311,0.024735216299539727,0.08363743258842028,50
home_offense_allpro_3_years,0.19311549,0.038402077,0.017283188319442234,0.0829335855166904,51
diff_pr_prev_year,0.19522575,0.003645384,0.046718194209052134,0.08186310997357402,52
cover_rate_diff,0.17680706,0.057683885,0.010967961028661261,0.08181963565463686,53
home_defense_allpro_3_years,0.17581286,0.053171344,0.014392535148016018,0.08112558068763925,54
league_rolling_avg_abs_margin_by_week,0.19482052,0.016755989,0.03063379916160225,0.08073676855235934,55
sos_diff,0.19618854,0.0040202453,0.0388699911336734,0.07969292476113088,56
allpro_diff_home_def_away_off_3_years ,0.19218294,0.017458878,0.026972144339525345,0.0788713195237993,57
diff_injured_count,0.19897759,0.021453666,0.015185481873022313,0.07853891172901352,58
turnover_diff,0.19236739,0.006557394,0.03642142337508023,0.07844873442234933,59
away_allpro_last_3_years_weighted,0.19557585,0.015469573,0.023519379208259243,0.0781882644725417,60
avg_yards_home_def_away_off_rolling_diff,0.1443986,0.058176726,0.030623867732111815,0.07773306456599773,61
home_rolling_allowed_avg_yards,0.15655756,0.03999136,0.03499187594092823,0.07718026659699591,62
third_down_diff_reverse,0.17373997,0.022888258,0.031008867572784243,0.0758790318009058,63
home_pr_prev_year,0.16394922,0.02626032,0.03398479439373938,0.07473144404608716,64
away_qb_switch,0.18924941,0.034559395,0.0,0.0746029367049535,65
home_cpae_prev_year,0.1829296,0.011943472,0.026170257071253897,0.07368111224293618,66
away_rolling_play_count,0.14353418,0.04444202,0.03237102464317375,0.07344907865086892,67
away_time_to_throw_prev_year,0.16310912,0.039697044,0.01692363743762209,0.07324327073090618,68
play_count_home_off_away_def_rolling_diff,0.1653427,0.028729074,0.0214074801318675,0.07182641661540766,69
turnover_diff_reverse,0.18420753,0.006557424,0.022725642228860886,0.07116353031818709,70
diff_cpae_prev_year,0.1619676,0.01655819,0.034155659402202346,0.07089381665812293,71
home_injured_count,0.14658874,0.04981053,0.01437665481153922,0.07025864209990963,72
away_rolling_allowed_avg_epa,0.16932663,0.003849302,0.036352377220475046,0.06984276939911424,73
allpro_diff_home_def_away_off_prev_year,0.184465,0.00819566,0.004258906925437557,0.06563985549235268,74
is_final_week,0.19571517,0.00067026046,0.0,0.06546180943648021,75
home_rest,0.15187387,0.03653615,0.004891627760924091,0.06443388055834412,76
home_offense_allpro_prev_year,0.16185454,0.027368123,0.0036038163223769144,0.06427549332111762,77
away_cpae_prev_year,0.16236895,0.009896851,0.017221916718562755,0.06316257152401088,78
diff_time_to_throw_prev_year,0.15853776,0.008347363,0.022485581781778095,0.0631235681462001,79
away_rolling_win_pct,0.17812572,0.0011786629,0.008694254300601572,0.06266621514876926,80
surface,0.16230597,0.018901147,0.005064285230388543,0.06209046854964571,81
roof,0.16519663,0.0032638225,0.008953452393511831,0.05913796533647508,82
away_allpro_prev_year,0.1512689,0.016011585,0.009353755561958058,0.05887807860919181,83
away_rest,0.12781005,0.0136179775,0.0031400469627265054,0.04818935684648765,84
is_away_qb_new,0.0,0.03455544,0.0,0.011518479635318121,85
