game_id,season,game_type,week,gameday,home_team,away_team,home_score,away_score,roof,surface,div_game,spread_line,total_line,temp,wind,result
2016_01_BUF_BAL,2016,REG,1,2016-09-11,BAL,BUF,13,7,outdoors,grass,0,3.0,44.5,84.0,8.0,6
2016_01_DET_IND,2016,REG,1,2016-09-11,IND,DET,35,39,open,fieldturf,0,2.5,51.5,,,-4
2016_01_LA_SF,2016,REG,1,2016-09-12,SF,LA,28,0,outdoors,grass,1,-2.5,44.0,66.0,17.0,28
2016_01_MIN_TEN,2016,REG,1,2016-09-11,TEN,MIN,16,25,outdoors,grass,0,-2.5,40.0,76.0,5.0,-9
2016_01_NE_ARI,2016,REG,1,2016-09-11,ARI,NE,21,23,closed,grass,0,9.0,44.5,,,-2
2016_01_OAK_NO,2016,REG,1,2016-09-11,NO,OAK,34,35,dome,sportturf,0,2.5,50.0,,,-1
2016_01_PIT_WAS,2016,REG,1,2016-09-12,WAS,PIT,16,38,outdoors,grass,0,-2.5,49.0,79.0,4.0,-22
2016_01_SD_KC,2016,REG,1,2016-09-11,KC,SD,33,27,outdoors,grass,1,6.5,45.5,74.0,9.0,6
2016_01_TB_ATL,2016,REG,1,2016-09-11,ATL,TB,24,31,dome,fieldturf,1,2.5,46.5,,,-7
2016_02_ATL_OAK,2016,REG,2,2016-09-18,OAK,ATL,28,35,outdoors,grass,0,4.0,47.5,79.0,7.0,-7
2016_02_BAL_CLE,2016,REG,2,2016-09-18,CLE,BAL,20,25,outdoors,grass,1,-4.0,42.0,74.0,7.0,-5
2016_02_CIN_PIT,2016,REG,2,2016-09-18,PIT,CIN,24,16,outdoors,grass,1,3.0,48.0,72.0,4.0,8
2016_02_GB_MIN,2016,REG,2,2016-09-18,MIN,GB,17,14,dome,sportturf,1,-1.5,43.0,,,3
2016_02_JAX_SD,2016,REG,2,2016-09-18,SD,JAX,38,14,outdoors,grass,0,3.0,47.5,82.0,7.0,24
2016_02_NO_NYG,2016,REG,2,2016-09-18,NYG,NO,16,13,outdoors,fieldturf,0,3.5,54.0,80.0,5.0,3
2016_02_SEA_LA,2016,REG,2,2016-09-18,LA,SEA,9,3,outdoors,grass,1,-5.5,38.0,88.0,3.0,6
2016_02_TB_ARI,2016,REG,2,2016-09-18,ARI,TB,40,7,closed,grass,0,7.5,49.5,,,33
2016_02_TEN_DET,2016,REG,2,2016-09-18,DET,TEN,15,16,dome,fieldturf,0,6.0,48.0,,,-1
2016_03_ARI_BUF,2016,REG,3,2016-09-25,BUF,ARI,33,18,outdoors,a_turf,0,-5.0,48.0,64.0,8.0,15
2016_03_ATL_NO,2016,REG,3,2016-09-26,NO,ATL,32,45,dome,sportturf,1,2.5,54.0,,,-13
2016_03_BAL_JAX,2016,REG,3,2016-09-25,JAX,BAL,17,19,outdoors,grass,0,-1.0,45.0,88.0,8.0,-2
2016_03_DET_GB,2016,REG,3,2016-09-25,GB,DET,34,27,outdoors,grass,1,6.0,47.5,72.0,17.0,7
2016_03_LA_TB,2016,REG,3,2016-09-25,TB,LA,32,37,outdoors,grass,0,3.5,40.5,91.0,4.0,-5
2016_03_MIN_CAR,2016,REG,3,2016-09-25,CAR,MIN,10,22,outdoors,grass,0,6.0,43.0,80.0,0.0,-12
2016_03_OAK_TEN,2016,REG,3,2016-09-25,TEN,OAK,10,17,outdoors,grass,0,-1.5,47.0,89.0,2.0,-7
2016_03_PIT_PHI,2016,REG,3,2016-09-25,PHI,PIT,34,3,outdoors,grass,0,-3.5,46.5,73.0,7.0,31
2016_03_SD_IND,2016,REG,3,2016-09-25,IND,SD,26,22,closed,fieldturf,0,1.5,51.5,,,4
2016_04_CAR_ATL,2016,REG,4,2016-10-02,ATL,CAR,48,33,dome,fieldturf,1,-2.5,48.5,,,15
2016_04_DET_CHI,2016,REG,4,2016-10-02,CHI,DET,17,14,outdoors,grass,1,-3.0,48.0,62.0,6.0,3
2016_04_KC_PIT,2016,REG,4,2016-10-02,PIT,KC,43,14,outdoors,grass,0,3.0,48.0,59.0,6.0,29
2016_04_LA_ARI,2016,REG,4,2016-10-02,ARI,LA,13,17,closed,grass,1,10.0,43.5,,,-4
2016_04_NO_SD,2016,REG,4,2016-10-02,SD,NO,34,35,outdoors,grass,0,4.0,54.0,74.0,8.0,-1
2016_04_NYG_MIN,2016,REG,4,2016-10-03,MIN,NYG,24,10,dome,sportturf,0,3.5,42.5,,,14
2016_04_OAK_BAL,2016,REG,4,2016-10-02,BAL,OAK,27,28,outdoors,grass,0,3.5,45.0,65.0,2.0,-1
2016_04_TEN_HOU,2016,REG,4,2016-10-02,HOU,TEN,27,20,closed,fieldturf,1,4.0,40.0,,,7
2016_05_ARI_SF,2016,REG,5,2016-10-06,SF,ARI,21,33,outdoors,grass,1,-3.5,42.5,75.0,16.0,-12
2016_05_ATL_DEN,2016,REG,5,2016-10-09,DEN,ATL,16,23,outdoors,grass,0,3.5,44.5,72.0,5.0,-7
2016_05_BUF_LA,2016,REG,5,2016-10-09,LA,BUF,19,30,outdoors,grass,0,-2.5,41.5,91.0,5.0,-11
2016_05_HOU_MIN,2016,REG,5,2016-10-09,MIN,HOU,31,13,dome,sportturf,0,6.0,39.0,,,18
2016_05_NYJ_PIT,2016,REG,5,2016-10-09,PIT,NYJ,31,13,outdoors,grass,0,10.0,50.0,57.0,9.0,18
2016_05_PHI_DET,2016,REG,5,2016-10-09,DET,PHI,24,23,dome,fieldturf,0,-3.5,46.0,,,1
2016_05_SD_OAK,2016,REG,5,2016-10-09,OAK,SD,34,31,outdoors,grass,1,3.5,50.5,75.0,7.0,3
2016_05_TEN_MIA,2016,REG,5,2016-10-09,MIA,TEN,17,30,outdoors,grass,0,2.5,44.5,88.0,15.0,-13
2016_05_WAS_BAL,2016,REG,5,2016-10-09,BAL,WAS,10,16,outdoors,grass,0,4.0,44.5,62.0,16.0,-6
2016_06_ATL_SEA,2016,REG,6,2016-10-16,SEA,ATL,26,24,outdoors,fieldturf,0,7.0,45.5,54.0,10.0,2
2016_06_BAL_NYG,2016,REG,6,2016-10-16,NYG,BAL,27,23,outdoors,fieldturf,0,3.5,42.5,66.0,6.0,4
2016_06_CAR_NO,2016,REG,6,2016-10-16,NO,CAR,41,38,dome,sportturf,1,-2.5,53.5,,,3
2016_06_CLE_TEN,2016,REG,6,2016-10-16,TEN,CLE,28,26,outdoors,grass,0,7.5,45.0,75.0,10.0,2
2016_06_DEN_SD,2016,REG,6,2016-10-13,SD,DEN,21,13,outdoors,grass,1,-3.0,44.0,70.0,9.0,8
2016_06_KC_OAK,2016,REG,6,2016-10-16,OAK,KC,10,26,outdoors,grass,1,-1.0,46.5,61.0,6.0,-16
2016_06_LA_DET,2016,REG,6,2016-10-16,DET,LA,31,28,dome,fieldturf,0,2.5,44.0,,,3
2016_06_NYJ_ARI,2016,REG,6,2016-10-17,ARI,NYJ,28,3,closed,grass,0,7.5,46.0,,,25
2016_06_PIT_MIA,2016,REG,6,2016-10-16,MIA,PIT,30,15,outdoors,grass,0,-7.5,49.5,81.0,15.0,15
2016_07_BAL_NYJ,2016,REG,7,2016-10-23,NYJ,BAL,24,16,outdoors,fieldturf,0,2.0,40.5,58.0,36.0,8
2016_07_IND_TEN,2016,REG,7,2016-10-23,TEN,IND,26,34,outdoors,grass,1,4.0,48.5,68.0,5.0,-8
2016_07_MIN_PHI,2016,REG,7,2016-10-23,PHI,MIN,21,10,outdoors,grass,0,-2.5,39.0,62.0,20.0,11
2016_07_NE_PIT,2016,REG,7,2016-10-23,PIT,NE,16,27,outdoors,grass,0,-7.5,49.0,63.0,13.0,-11
2016_07_NO_KC,2016,REG,7,2016-10-23,KC,NO,27,21,outdoors,grass,0,6.0,51.0,68.0,9.0,6
2016_07_NYG_LA,2016,REG,7,2016-10-23,LA,NYG,10,17,outdoors,grass,0,-3.0,44.5,55.0,12.0,-7
2016_07_OAK_JAX,2016,REG,7,2016-10-23,JAX,OAK,16,33,outdoors,grass,0,1.5,47.5,70.0,6.0,-17
2016_07_SD_ATL,2016,REG,7,2016-10-23,ATL,SD,30,33,dome,fieldturf,0,4.5,52.5,,,-3
2016_07_SEA_ARI,2016,REG,7,2016-10-23,ARI,SEA,6,6,closed,grass,1,2.5,43.0,,,0
2016_07_WAS_DET,2016,REG,7,2016-10-23,DET,WAS,20,17,dome,fieldturf,0,-1.0,50.0,,,3
2016_08_ARI_CAR,2016,REG,8,2016-10-30,CAR,ARI,30,20,outdoors,grass,0,2.5,45.5,85.0,5.0,10
2016_08_DET_HOU,2016,REG,8,2016-10-30,HOU,DET,20,13,closed,fieldturf,0,1.0,46.5,,,7
2016_08_GB_ATL,2016,REG,8,2016-10-30,ATL,GB,33,32,dome,fieldturf,0,3.0,51.0,,,1
2016_08_JAX_TEN,2016,REG,8,2016-10-27,TEN,JAX,36,22,outdoors,grass,1,3.0,43.5,71.0,3.0,14
