game_id,temp_f,wind_mph
2016_01_BUF_BAL,84.0,8.0
2016_01_LA_SF,66.0,17.0
2016_01_MIN_TEN,76.0,5.0
2016_01_PIT_WAS,79.0,4.0
2016_01_SD_KC,74.0,9.0
2016_02_ATL_OAK,79.0,7.0
2016_02_BAL_CLE,74.0,7.0
2016_02_CIN_PIT,72.0,4.0
2016_02_JAX_SD,82.0,7.0
2016_02_NO_NYG,80.0,5.0
2016_02_SEA_LA,88.0,3.0
2016_03_ARI_BUF,64.0,8.0
2016_03_BAL_JAX,88.0,8.0
2016_03_DET_GB,72.0,17.0
2016_03_LA_TB,91.0,4.0
2016_03_MIN_CAR,80.0,0.0
2016_03_OAK_TEN,89.0,2.0
2016_03_PIT_PHI,73.0,7.0
2016_04_DET_CHI,62.0,6.0
2016_04_KC_PIT,59.0,6.0
2016_04_NO_SD,74.0,8.0
2016_04_OAK_BAL,65.0,2.0
2016_05_ARI_SF,75.0,16.0
2016_05_ATL_DEN,72.0,5.0
2016_05_BUF_LA,91.0,5.0
2016_05_NYJ_PIT,57.0,9.0
2016_05_SD_OAK,75.0,7.0
2016_05_TEN_MIA,88.0,15.0
2016_05_WAS_BAL,62.0,16.0
2016_06_ATL_SEA,54.0,10.0
2016_06_BAL_NYG,66.0,6.0
2016_06_CLE_TEN,75.0,10.0
2016_06_DEN_SD,70.0,9.0
2016_06_KC_OAK,61.0,6.0
2016_06_PIT_MIA,81.0,15.0
2016_07_BAL_NYJ,58.0,36.0
2016_07_IND_TEN,68.0,5.0
2016_07_MIN_PHI,62.0,20.0
2016_07_NE_PIT,63.0,13.0
2016_07_NO_KC,68.0,9.0
2016_07_NYG_LA,55.0,12.0
2016_07_OAK_JAX,70.0,6.0
2016_08_ARI_CAR,85.0,5.0
2016_08_JAX_TEN,71.0,3.0
2016_08_MIN_CHI,58.0,12.0
2016_08_OAK_TB,86.0,15.0
2016_08_SD_DEN,76.0,6.0
2016_09_ATL_TB,76.0,2.0
2016_09_CAR_LA,75.0,2.0
2016_09_DEN_OAK,65.0,6.0
2016_09_NO_SF,70.0,0.0
2016_09_PIT_BAL,65.0,15.0
2016_09_TEN_SD,76.0,6.0
2016_10_ATL_PHI,58.0,10.0
2016_10_CLE_BAL,54.0,3.0
2016_10_DAL_PIT,56.0,7.0
2016_10_GB_TEN,56.0,3.0
2016_10_LA_NYJ,62.0,7.0
2016_10_MIA_SD,85.0,11.0
2016_10_MIN_WAS,58.0,7.0
2016_11_HOU_OAK,63.0,6.0
2016_11_MIA_LA,63.0,3.0
2016_11_NO_CAR,63.0,6.0
2016_11_PIT_CLE,36.0,27.0
2016_12_CAR_OAK,59.0,12.0
2016_12_CIN_BAL,50.0,12.0
2016_12_TEN_CHI,40.0,11.0
2016_13_BUF_OAK,59.0,4.0
2016_13_LA_NE,39.0,8.0
2016_13_MIA_BAL,47.0,3.0
2016_13_NYG_PIT,43.0,71.0
2016_13_TB_SD,72.0,7.0
