Pos,Player,Team,Year,Side
QB,Steve Young,SFO,1997,offense
FB,Mike Alstott,TAM,1997,offense
FB,Charles Way,NYG,1997,offense
T,James Hasty,KAN,1997,offense
T,Chuck Smith,ATL,1997,offense
T,Dale Carter,KAN,1997,offense
T,Robert Porcher,DET,1997,offense
G,Will Shields,KAN,1997,offense
DE,Neil Smith,DEN,1997,defense
DE,Reggie White,GNB,1997,defense
DT,Warren Sapp,TAM,1997,defense
MLB,Junior Seau,SDG,1997,defense
MLB,Ray Lewis,BAL,1997,defense
MLB,Winfred Tubbs,NOR,1997,defense
CB,Doug Evans,GNB,1997,defense
CB,Cris Dishman,WAS,1997,defense
RDT,Dana Stubblefield,SFO,1997,defense
LDE,Michael Strahan,NYG,1997,defense
LCB,Aeneas Williams,ARI,1997,defense
RB,Barry Sanders,DET,1997,offense
RDE,Bruce Smith,BUF,1997,defense
TE,Shannon Sharpe,DEN,1997,offense
RCB,Deion Sanders,DAL,1997,defense
RG,Larry Allen,DAL,1997,offense
RDT,John Randle,MIN,1997,defense
LT,Jonathan Ogden,BAL,1997,offense
LLB,Jessie Armstead,NYG,1997,defense
QB,Brett Favre,GNB,1997,offense
LILB,Levon Kirkland,PIT,1997,defense
C,Dermontti Dawson,PIT,1997,offense
RB,Terrell Davis,DEN,1997,offense
RCB/SS,Carnell Lake,PIT,1997,defense
SS,LeRoy Butler,GNB,1997,defense
LT,Tony Boselli,JAX,1997,offense
RLB,John Mobley,DEN,1997,defense
WR,Herman Moore,DET,1997,offense
RB,Michael Bates,CAR,1997,offense
RCB,Darrien Gordon,DEN,1997,defense
WR,Rob Moore,ARI,1997,offense
LG,Dave Szott,KAN,1997,offense
WR,Tim Brown,OAK,1997,offense
LG,Randall McDaniel,MIN,1997,offense
MLB,Hardy Nickerson,TAM,1997,defense
RB,Travis Jervey,GNB,1997,offense
FS,Merton Hanks,SFO,1997,defense
RB,Jerome Bettis,PIT,1997,offense
LT,Willie Roaf,NOR,1997,offense
RLB,Derrick Brooks,TAM,1997,defense
LLB,Chris Slade,NWE,1997,defense
FS,Darryl Williams,SEA,1997,defense
NT,Ted Washington,BUF,1997,defense
TE,Wesley Walls,CAR,1997,offense
LT,Todd Steussie,MIN,1997,offense
WR,Yancey Thigpen,PIT,1997,offense
NT,Joel Steed,PIT,1997,defense
C,Kevin Glover,DET,1997,offense
LCB,Aaron Glenn,NYJ,1997,defense
DB,Larry Whigham,NWE,1997,defense
QB,John Elway,DEN,1997,offense
LDE,Michael Sinclair,SEA,1997,defense
RB,Dorsey Levens,GNB,1997,offense
LG,Bruce Matthews,TEN,1997,offense
WR,Tamarick Vanover,KAN,1997,offense
WR,David Palmer,MIN,1997,offense
QB,Steve Young,SFO,1998,offense
RB,Barry Sanders,DET,1998,offense
FB,Mike Alstott,TAM,1998,offense
FB,Sam Gash,BUF,1998,offense
WR,Ed McCaffrey,DEN,1998,offense
WR,Jimmy Smith,JAX,1998,offense
TE,Ben Coates,NWE,1998,offense
T,Terry Fair,DET,1998,offense
C,Kevin Mawae,NYJ,1998,offense
DE,Bruce Smith,BUF,1998,defense
DT,Bryant Young,SFO,1998,defense
DT,La'Roi Glover,NOR,1998,defense
OLB,Dwayne Rudd,MIN,1998,defense
MLB,Ray Lewis,BAL,1998,defense
MLB,Zach Thomas,MIA,1998,defense
CB,Sam Madison,MIA,1998,defense
S,Robert Griffith,MIN,1998,defense
S,Darren Woodson,DAL,1998,defense
RB,Jamal Anderson,ATL,1998,offense
LDE,Reggie White,GNB,1998,defense
TE,Shannon Sharpe,DEN,1998,offense
RLB,Junior Seau,SDG,1998,defense
RCB,Deion Sanders,DAL,1998,defense
RDE,John Randle,MIN,1998,defense
WR,Randy Moss,MIN,1998,offense
LG,Randall McDaniel,MIN,1998,offense
LG,Bruce Matthews,TEN,1998,offense
LT,Larry Allen,DAL,1998,offense
LCB,Ty Law,NWE,1998,defense
LT,Tony Boselli,JAX,1998,offense
RLB,Chad Brown,SEA,1998,defense
SS,LeRoy Butler,GNB,1998,defense
RB,Terrell Davis,DEN,1998,offense
C,Dermontti Dawson,PIT,1998,offense
WR,Antonio Freeman,GNB,1998,offense
SS,Rodney Harrison,SDG,1998,defense
LLB,Mo Lewis,NYJ,1998,defense
QB,Randall Cunningham,MIN,1998,offense
LDE,Michael Strahan,NYG,1998,defense
WR,Jermaine Lewis,BAL,1998,offense
RDT,Darrell Russell,OAK,1998,defense
WR,Roell Preston,GNB,1998,offense
RDE,Michael McCrary,BAL,1998,defense
DB,Bennie Thompson,BAL,1998,defense
SS,Lawyer Milloy,NWE,1998,defense
LG,Ruben Brown,BUF,1998,offense
LCB,Ray Buchanan,ATL,1998,defense
WR,Eric Moulds,BUF,1998,offense
RLB,Derrick Brooks,TAM,1998,defense
C,Jeff Christy,MIN,1998,offense
LT,Jonathan Ogden,BAL,1998,offense
RDT,Warren Sapp,TAM,1998,defense
RB,Marshall Faulk,IND,1998,offense
MLB,Jessie Tuggle,ATL,1998,defense
LT,Todd Steussie,MIN,1998,offense
LDE,Michael Sinclair,SEA,1998,defense
RG,Kevin Gogan,SFO,1998,offense
WR,Keyshawn Johnson,NYJ,1998,offense
RB,Michael Bates,CAR,1998,offense
LLB,Jessie Armstead,NYG,1998,defense
RB,Vaughn Hebron,DEN,1998,offense
TE,Mark Chmura,GNB,1998,offense
FS,Eugene Robinson,ATL,1998,defense
LCB,Aaron Glenn,NYJ,1998,defense
NT,Ted Washington,BUF,1998,defense
QB,Vinny Testaverde,NYJ,1998,offense
RB,Garrison Hearst,SFO,1998,offense
RB,Curtis Martin,NYJ,1999,offense
FB,Mike Alstott,TAM,1999,offense
FB,Sam Gash,BUF,1999,offense
T,Leon Searcy,JAX,1999,offense
T,Jon Runyan,TEN,1999,offense
C,Tom Nalen,DEN,1999,offense
DE,Simeon Rice,ARI,1999,defense
DT,Bryant Young,SFO,1999,defense
MLB,Zach Thomas,MIA,1999,defense
MLB,Junior Seau,SDG,1999,defense
S,Robert Griffith,MIN,1999,defense
SS,John Lynch,TAM,1999,defense
RB,Edgerrin James,IND,1999,offense
LDE,Jevon Kearse,TEN,1999,defense
MLB,Ray Lewis,BAL,1999,defense
LG,Larry Allen,DAL,1999,offense
RCB,Sam Madison,MIA,1999,defense
QB,Kurt Warner,STL,1999,offense
LT,Orlando Pace,STL,1999,offense
RDT,Warren Sapp,TAM,1999,defense
WR,Marvin Harrison,IND,1999,offense
RLB,Kevin Hardy,JAX,1999,defense
TE,Tony Gonzalez,KAN,1999,offense
RB,Marshall Faulk,STL,1999,offense
LDE,Kevin Carter,STL,1999,defense
RLB,Derrick Brooks,TAM,1999,defense
LT,Tony Boselli,JAX,1999,offense
RDT,Darrell Russell,OAK,1999,defense
WR,Tony Horne,STL,1999,offense
LG,Bruce Matthews,TEN,1999,offense
LCB,Charles Woodson,OAK,1999,defense
SS,Lawyer Milloy,NWE,1999,defense
RB,Glyn Milburn,CHI,1999,offense
C,Kevin Mawae,NYJ,1999,offense
WR,Cris Carter,MIN,1999,offense
WR,Isaac Bruce,STL,1999,offense
FS,Carnell Lake,JAX,1999,defense
RCB,Deion Sanders,DAL,1999,defense
C,Jeff Christy,MIN,1999,offense
RB,Michael Bates,CAR,1999,offense
RDT,Trevor Pryce,DEN,1999,defense
RB,Charlie Rogers,SEA,1999,offense
RG,Will Shields,KAN,1999,offense
RG,Tre' Johnson,WAS,1999,offense
RLB,Jessie Armstead,NYG,1999,defense
LLB,Peter Boulware,BAL,1999,defense
RDE,Tony Brackens,JAX,1999,defense
LG,Ruben Brown,BUF,1999,offense
RB,Stephen Davis,WAS,1999,offense
RB,Eddie George,TEN,1999,offense
LCB,Todd Lyght,STL,1999,defense
QB,Peyton Manning,IND,1999,offense
MLB,Hardy Nickerson,TAM,1999,defense
LT,Jonathan Ogden,BAL,1999,offense
TE,Wesley Walls,CAR,1999,offense
WR,Jimmy Smith,JAX,1999,offense
DB,Tremain Mack,CIN,1999,defense
LT,Willie Roaf,NOR,1999,offense
RDT,Luther Elliss,DET,1999,defense
FS,Brian Dawkins,PHI,1999,defense
LDE,Robert Porcher,DET,1999,defense
RB,Detron Smith,DEN,1999,offense
QB,Peyton Manning,IND,2000,offense
TE,Frank Wycheck,TEN,2000,offense
T,Kyle Turley,NOR,2000,offense
G,Ruben Brown,BUF,2000,offense
C,Kevin Mawae,NYJ,2000,offense
DE,Rob Burnett,BAL,2000,defense
DT,Keith Hamilton,NYG,2000,defense
OLB,Jessie Armstead,NYG,2000,defense
MLB,Randall Godfrey,TEN,2000,defense
MLB,Stephen Boyd,DET,2000,defense
MLB,Sam Cowart,BUF,2000,defense
CB,Charles Woodson,OAK,2000,defense
S,Blaine Bishop,TEN,2000,defense
RDE,Jason Taylor,MIA,2000,defense
RCB,Sam Madison,MIA,2000,defense
WR,Derrick Mason,TEN,2000,offense
LG,Bruce Matthews,TEN,2000,offense
RCB,Samari Rolle,TEN,2000,defense
WR,Randy Moss,MIN,2000,offense
LT,Jonathan Ogden,BAL,2000,offense
FS,Darren Sharper,GNB,2000,defense
RLB,Junior Seau,SDG,2000,defense
RDT,Warren Sapp,TAM,2000,defense
SS,John Lynch,TAM,2000,defense
MLB,Ray Lewis,BAL,2000,defense
TE,Tony Gonzalez,KAN,2000,offense
RDT,La'Roi Glover,NOR,2000,defense
QB,Rich Gannon,OAK,2000,offense
RB,Marshall Faulk,STL,2000,offense
RDE,Hugh Douglas,PHI,2000,defense
RLB,Derrick Brooks,TAM,2000,defense
LG,Larry Allen,DAL,2000,offense
WR,Marvin Harrison,IND,2000,offense
RB,Eddie George,TEN,2000,offense
C,Tom Nalen,DEN,2000,offense
WR,Az-Zahir Hakim,STL,2000,offense
LT,Orlando Pace,STL,2000,offense
RB,Edgerrin James,IND,2000,offense
LT,Willie Roaf,NOR,2000,offense
RB,Michael Bates,CAR,2000,offense
WR,Terrell Owens,SFO,2000,offense
MLB,Jeremiah Trotter,PHI,2000,defense
LOLB,Mo Lewis,NYJ,2000,defense
LDT,Sam Adams,BAL,2000,defense
DE,Trace Armstrong,MIA,2000,defense
LCB,Champ Bailey,WAS,2000,defense
TE,Chad Lewis,PHI,2000,offense
LG,Steve Wisniewski,OAK,2000,offense
RB,Robert Smith,MIN,2000,offense
DB,Darrick Vaughn,ATL,2000,defense
WR,Rod Smith,DEN,2000,offense
FS,Rod Woodson,BAL,2000,defense
LT,Brad Hopkins,TEN,2000,offense
RDT,Trevor Pryce,DEN,2000,defense
RG,Ron Stone,NYG,2000,offense
C,Matt Birk,MIN,2000,offense
QB,Daunte Culpepper,MIN,2000,offense
LLB,Keith Mitchell,NOR,2000,defense
WR,Desmond Howard,DET,2000,offense
LB,Larry Izzo,MIA,2000,defense
RDE,Joe Johnson,NOR,2000,defense
LCB,Troy Vincent,PHI,2000,defense
FS,Brock Marion,MIA,2000,defense
QB,Brett Favre,GNB,2001,offense
TE,Ernie Conwell,STL,2001,offense
T,James Williams,CHI,2001,offense
T,Lincoln Kennedy,OAK,2001,offense
G,Adam Timmerman,STL,2001,offense
C,Jeff Hartings,PIT,2001,offense
DE,Jason Taylor,MIA,2001,defense
