game_id,stadium_id,kickoff_utc,station_id,station_name,temp_f,wind_mph,precip_in,humidity_pct,source
2014_01_GB_SEA,SEA00,2014-09-05T00:30:00,KBFI0,Seattle / South Park,73.0,10.3,0.0,50.0,meteostat
2014_01_CIN_BAL,BAL00,2014-09-07T17:00:00,KDMH0,Baltimore,75.9,,,42.0,meteostat
2014_01_BUF_CHI,CHI98,2014-09-07T17:00:00,72534,Chicago Midway Airport,77.0,3.4,0.0,37.0,meteostat
2014_01_TEN_KC,KAN00,2014-09-07T17:00:00,KMKC0,Kansas City / Harlem,73.0,4.7,0.0,51.0,meteostat
2014_01_NE_MIA,MIA00,2014-09-07T17:00:00,KHWO0,Hollywood / Pembroke Pines,89.1,15.0,0.0,59.0,meteostat
2014_01_OAK_NYJ,NYC01,2014-09-07T17:00:00,KTEB0,Teterboro,78.1,5.8,0.0,42.0,meteostat
2014_01_JAX_PHI,PHI00,2014-09-07T17:00:00,72408,Philadelphia International Airport,77.0,4.7,0.0,47.0,meteostat
2014_01_CLE_PIT,PIT00,2014-09-07T17:00:00,72520,Greater Pittsburgh International,69.1,0.0,0.0,51.0,meteostat
2014_01_CAR_TB,TAM00,2014-09-07T20:25:00,72211,Tampa International Airport,87.1,5.8,0.0,61.0,meteostat
2014_01_IND_DEN,DEN00,2014-09-08T00:30:00,KBJC0,Denver / Broomfield / Countryside,75.2,23.1,,34.0,meteostat
2014_02_PIT_BAL,BAL00,2014-09-12T00:25:00,KDMH0,Baltimore,84.0,,0.0,59.0,meteostat
2014_02_MIA_BUF,BUF00,2014-09-14T17:00:00,72528,Buffalo Airport,55.9,0.0,0.0,55.0,meteostat
2014_02_DET_CAR,CAR00,2014-09-14T17:00:00,72314,Charlotte/Douglas International Airport,69.1,8.1,0.0,59.0,meteostat
2014_02_ATL_CIN,CIN00,2014-09-14T17:00:00,KLUK0,Cincinnati / Columbia,66.9,8.1,0.0,49.0,meteostat
2014_02_NO_CLE,CLE00,2014-09-14T17:00:00,KBKL0,Brookville / Old Chinatown,59.0,4.7,0.0,60.0,meteostat
2014_02_NE_MIN,MIN98,2014-09-14T17:00:00,KSTP0,Saint Paul,61.0,9.2,0.0,54.0,meteostat
2014_02_ARI_NYG,NYC01,2014-09-14T17:00:00,KTEB0,Teterboro,66.9,4.7,0.0,44.0,meteostat
2014_02_DAL_TEN,NAS00,2014-09-14T17:00:00,72327,Nashville Airport,73.0,8.1,0.0,59.0,meteostat
2014_02_JAX_WAS,WAS00,2014-09-14T17:00:00,KCGS0,College Park / Lakeland,68.0,5.8,,49.0,meteostat
2014_02_SEA_SD,SDG00,2014-09-14T20:05:00,72290,San Diego International Airport,84.0,11.4,0.0,56.0,meteostat
2014_02_STL_TB,TAM00,2014-09-14T20:05:00,72211,Tampa International Airport,82.9,12.7,0.0,70.0,meteostat
2014_02_KC_DEN,DEN00,2014-09-14T20:25:00,KBJC0,Denver / Broomfield / Countryside,82.4,5.8,,16.0,meteostat
2014_02_NYJ_GB,GNB00,2014-09-14T20:25:00,72645,Austin Straubel International  Airport,64.0,18.3,0.0,52.0,meteostat
