game_id,home_team,away_team,gameday,season,week,total_line,xgb_predicted_total,ridge_predicted_total,xgb_diff,ridge_diff,consensus_tier,recommendation,mode,logged_at,actual_total,went_over,model_correct
2025_10_ARI_SEA,SEA,ARI,2025-11-09,2025,10,44.5,44.2,44.0,-0.33,-0.47,HIGH,UNDER,backfill,2026-05-28 14:12,66.0,1.0,0.0
2025_10_ATL_IND,IND,ATL,2025-11-09,2025,10,48.5,49.6,52.3,1.12,3.79,PASS,PASS,backfill,2026-05-28 14:12,56.0,1.0,
2025_10_BAL_MIN,MIN,BAL,2025-11-09,2025,10,48.5,49.5,47.7,1.0,-0.79,PASS,PASS,backfill,2026-05-28 14:12,46.0,0.0,
2025_10_BUF_MIA,MIA,BUF,2025-11-09,2025,10,50.5,50.0,47.5,-0.49,-3.0,HIGH,UNDER,backfill,2026-05-28 14:12,43.0,0.0,1.0
2025_10_CLE_NYJ,NYJ,CLE,2025-11-09,2025,10,37.5,38.0,38.5,0.46,1.01,PASS,PASS,backfill,2026-05-28 14:12,47.0,1.0,
2025_10_DET_WAS,WAS,DET,2025-11-09,2025,10,49.5,45.6,47.2,-3.86,-2.25,HIGH,UNDER,backfill,2026-05-28 14:12,66.0,1.0,0.0
2025_10_JAX_HOU,HOU,JAX,2025-11-09,2025,10,37.5,39.1,39.7,1.58,2.17,PASS,PASS,backfill,2026-05-28 14:12,65.0,1.0,
2025_10_LA_SF,SF,LA,2025-11-09,2025,10,49.5,49.1,48.3,-0.45,-1.17,HIGH,UNDER,backfill,2026-05-28 14:12,68.0,1.0,0.0
2025_10_LV_DEN,DEN,LV,2025-11-06,2025,10,42.5,43.4,42.6,0.93,0.08,PASS,PASS,backfill,2026-05-28 14:12,17.0,0.0,
2025_10_NE_TB,TB,NE,2025-11-09,2025,10,48.5,49.0,48.8,0.54,0.33,PASS,PASS,backfill,2026-05-28 14:12,51.0,1.0,
2025_10_NO_CAR,CAR,NO,2025-11-09,2025,10,38.5,39.9,40.3,1.36,1.77,PASS,PASS,backfill,2026-05-28 14:12,24.0,0.0,
2025_10_NYG_CHI,CHI,NYG,2025-11-09,2025,10,45.5,42.8,40.8,-2.74,-4.7,HIGH,UNDER,backfill,2026-05-28 14:12,44.0,0.0,1.0
2025_10_PHI_GB,GB,PHI,2025-11-10,2025,10,45.5,43.5,45.0,-2.05,-0.46,HIGH,UNDER,backfill,2026-05-28 14:12,17.0,0.0,1.0
2025_10_PIT_LAC,LAC,PIT,2025-11-09,2025,10,45.5,45.8,45.4,0.29,-0.1,PASS,PASS,backfill,2026-05-28 14:12,35.0,0.0,
2025_11_BAL_CLE,CLE,BAL,2025-11-16,2025,11,37.5,36.2,32.6,-1.32,-4.88,HIGH,UNDER,backfill,2026-05-28 14:14,39.0,1.0,0.0
2025_11_CAR_ATL,ATL,CAR,2025-11-16,2025,11,42.5,45.4,43.9,2.87,1.4,PASS,PASS,backfill,2026-05-28 14:14,57.0,1.0,
2025_11_CHI_MIN,MIN,CHI,2025-11-16,2025,11,47.5,47.3,47.8,-0.22,0.3,PASS,PASS,backfill,2026-05-28 14:14,36.0,0.0,1.0
2025_11_CIN_PIT,PIT,CIN,2025-11-16,2025,11,48.5,47.6,43.7,-0.89,-4.85,HIGH,UNDER,backfill,2026-05-28 14:14,46.0,0.0,1.0
2025_11_DAL_LV,LV,DAL,2025-11-17,2025,11,48.5,50.9,47.3,2.42,-1.17,PASS,PASS,backfill,2026-05-28 14:14,49.0,1.0,
2025_11_DET_PHI,PHI,DET,2025-11-16,2025,11,46.5,45.4,43.3,-1.12,-3.24,HIGH,UNDER,backfill,2026-05-28 14:14,25.0,0.0,1.0
2025_11_GB_NYG,NYG,GB,2025-11-16,2025,11,41.5,39.7,39.9,-1.8,-1.6,HIGH,UNDER,backfill,2026-05-28 14:14,47.0,1.0,0.0
2025_11_HOU_TEN,TEN,HOU,2025-11-16,2025,11,37.5,37.0,37.6,-0.51,0.07,PASS,PASS,backfill,2026-05-28 14:14,29.0,0.0,1.0
2025_11_KC_DEN,DEN,KC,2025-11-16,2025,11,44.5,42.9,42.9,-1.58,-1.64,HIGH,UNDER,backfill,2026-05-28 14:14,41.0,0.0,1.0
2025_11_LAC_JAX,JAX,LAC,2025-11-16,2025,11,43.5,42.3,41.0,-1.16,-2.49,HIGH,UNDER,backfill,2026-05-28 14:14,41.0,0.0,1.0
2025_11_NYJ_NE,NE,NYJ,2025-11-13,2025,11,43.5,42.6,43.3,-0.9,-0.22,HIGH,UNDER,backfill,2026-05-28 14:14,41.0,0.0,1.0
2025_11_SEA_LA,LA,SEA,2025-11-16,2025,11,49.5,50.9,53.8,1.42,4.34,PASS,PASS,backfill,2026-05-28 14:14,40.0,0.0,
2025_11_SF_ARI,ARI,SF,2025-11-16,2025,11,48.5,48.2,46.9,-0.31,-1.62,HIGH,UNDER,backfill,2026-05-28 14:14,63.0,1.0,0.0
2025_11_TB_BUF,BUF,TB,2025-11-16,2025,11,46.5,46.5,43.5,0.03,-2.96,PASS,PASS,backfill,2026-05-28 14:14,76.0,1.0,
2025_11_WAS_MIA,MIA,WAS,2025-11-16,2025,11,47.5,49.0,48.3,1.54,0.82,PASS,PASS,backfill,2026-05-28 14:14,29.0,0.0,
2025_12_ATL_NO,NO,ATL,2025-11-23,2025,12,41.5,44.1,43.1,2.62,1.65,PASS,PASS,backfill,2026-05-28 14:12,34.0,0.0,
2025_12_BUF_HOU,HOU,BUF,2025-11-20,2025,12,43.5,43.2,43.2,-0.31,-0.35,HIGH,UNDER,backfill,2026-05-28 14:12,42.0,0.0,1.0
2025_12_CAR_SF,SF,CAR,2025-11-24,2025,12,48.5,50.3,49.2,1.76,0.7,PASS,PASS,backfill,2026-05-28 14:12,29.0,0.0,
2025_12_CLE_LV,LV,CLE,2025-11-23,2025,12,35.5,37.8,36.4,2.32,0.91,PASS,PASS,backfill,2026-05-28 14:12,34.0,0.0,
2025_12_IND_KC,KC,IND,2025-11-23,2025,12,50.5,51.7,51.3,1.18,0.79,PASS,PASS,backfill,2026-05-28 14:12,43.0,0.0,
2025_12_JAX_ARI,ARI,JAX,2025-11-23,2025,12,47.5,47.8,47.7,0.26,0.24,PASS,PASS,backfill,2026-05-28 14:12,51.0,1.0,
2025_12_MIN_GB,GB,MIN,2025-11-23,2025,12,41.5,42.0,40.9,0.49,-0.63,PASS,PASS,backfill,2026-05-28 14:12,29.0,0.0,
2025_12_NE_CIN,CIN,NE,2025-11-23,2025,12,50.5,48.9,50.6,-1.64,0.06,PASS,PASS,backfill,2026-05-28 14:12,46.0,0.0,
2025_12_NYG_DET,DET,NYG,2025-11-23,2025,12,50.5,51.1,51.1,0.56,0.64,PASS,PASS,backfill,2026-05-28 14:12,61.0,1.0,
2025_12_NYJ_BAL,BAL,NYJ,2025-11-23,2025,12,44.5,41.7,42.0,-2.77,-2.53,HIGH,UNDER,backfill,2026-05-28 14:12,33.0,0.0,1.0
2025_12_PHI_DAL,DAL,PHI,2025-11-23,2025,12,47.5,46.2,47.7,-1.28,0.24,PASS,PASS,backfill,2026-05-28 14:12,45.0,0.0,
2025_12_PIT_CHI,CHI,PIT,2025-11-23,2025,12,46.5,46.4,45.9,-0.14,-0.55,HIGH,UNDER,backfill,2026-05-28 14:12,59.0,1.0,0.0
2025_12_SEA_TEN,TEN,SEA,2025-11-23,2025,12,41.5,42.6,44.8,1.15,3.26,PASS,PASS,backfill,2026-05-28 14:12,54.0,1.0,
