player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status
00-0037834,Brock Purdy,QB,SF,MIA,2026,2,20.343596438018405,00-0037834,8183,historical_crosswalk,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,1.0,1.0,20.81,none
00-0034857,Josh Allen,QB,BUF,DET,2026,2,19.64761759353279,00-0034857,4984,sleeper_gsis,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,1.0,1.0,21.89,none
00-0033077,Dak Prescott,QB,DAL,WAS,2026,2,18.8667018281442,00-0033077,3294,sleeper_gsis,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,1.0,1.0,20.77,none
00-0036355,Justin Herbert,QB,LAC,LV,2026,2,18.61258789908609,00-0036355,6797,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,1.0,1.0,16.95,none
00-0039910,Jayden Daniels,QB,WAS,DAL,2026,2,17.84930394858214,00-0039910,11566,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,1.0,1.0,20.46,none
00-0039851,Drake Maye,QB,NE,PIT,2026,2,17.27937859955704,00-0039851,11564,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,1.0,1.0,18.2,none
00-0026498,Matthew Stafford,QB,LA,NYG,2026,2,17.138569079981053,00-0026498,421,sleeper_gsis,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,1.0,1.0,16.84,none
00-0036971,Trevor Lawrence,QB,JAX,DEN,2026,2,16.81752969998733,00-0036971,7523,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,1.0,1.0,16.24,none
00-0036389,Jalen Hurts,QB,PHI,TEN,2026,2,16.72654635102743,00-0036389,6904,historical_crosswalk,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,1.0,1.0,20.88,none
00-0033873,Patrick Mahomes,QB,KC,IND,2026,2,16.699488909135702,00-0033873,4046,sleeper_gsis,2026_02_IND_KC,2026-09-20 20:20:00-04:00,1.0,1.0,16.24,none
00-0039918,Caleb Williams,QB,CHI,MIN,2026,2,16.615003025616097,00-0039918,11560,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,1.0,1.0,16.56,none
00-0034855,Baker Mayfield,QB,TB,CLE,2026,2,16.46316106955315,00-0034855,4892,sleeper_gsis,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,1.0,1.0,17.11,none
00-0039732,Bo Nix,QB,DEN,JAX,2026,2,16.438394551536714,00-0039732,11563,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,1.0,1.0,15.74,none
00-0039150,Bryce Young,QB,CAR,ATL,2026,2,16.028724942008818,00-0039150,9228,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,1.0,1.0,15.99,none
00-0039163,C.J. Stroud,QB,HOU,CIN,2026,2,15.48128075048657,00-0039163,9758,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,1.0,1.0,18.05,none
00-0040691,Jaxson Dart,QB,NYG,LA,2026,2,15.414542033497652,00-0040691,12508,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,1.0,1.0,17.5,none
00-0034796,Lamar Jackson,QB,BAL,NO,2026,2,15.393508763020916,00-0034796,4881,sleeper_gsis,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,1.0,1.0,20.58,none
00-0036264,Jordan Love,QB,GB,NYJ,2026,2,15.26109468618512,00-0036264,6804,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,1.0,1.0,19.56,none
00-0032950,Carson Wentz,QB,MIN,CHI,2026,2,15.050955981640227,00-0032950,3161,sleeper_gsis,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,1.0,1.0,,none
00-0036442,Joe Burrow,QB,CIN,HOU,2026,2,14.593358993554183,00-0036442,6770,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,1.0,1.0,18.19,none
00-0033106,Jared Goff,QB,DET,BUF,2026,2,13.766090335895573,00-0033106,3163,sleeper_gsis,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,1.0,1.0,16.32,none
00-0040743,Tyler Shough,QB,NO,BAL,2026,2,13.761432321373608,00-0040743,12545,historical_crosswalk,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,1.0,1.0,14.25,none
00-0033119,Jacoby Brissett,QB,ARI,SEA,2026,2,13.098945269077538,00-0033119,3257,sleeper_gsis,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,1.0,1.0,12.24,none
00-0030565,Geno Smith,QB,NYJ,GB,2026,2,12.339933708911017,00-0030565,1373,sleeper_gsis,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,1.0,1.0,14.77,none
00-0035710,Daniel Jones,QB,IND,KC,2026,2,12.237677284659705,00-0035710,5870,sleeper_gsis,2026_02_IND_KC,2026-09-20 20:20:00-04:00,1.0,1.0,14.74,none
00-0023459,Aaron Rodgers,QB,PIT,NE,2026,2,11.269749170234235,00-0023459,96,sleeper_gsis,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,1.0,1.0,16.1,none
00-0040676,Cam Ward,QB,TEN,PHI,2026,2,10.856708491619495,00-0040676,12522,historical_crosswalk,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,1.0,1.0,12.05,none
00-0029604,Kirk Cousins,QB,LV,LAC,2026,2,10.763080905642576,00-0029604,1166,sleeper_gsis,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,2.0,1.0,13.24,none
00-0038128,Malik Willis,QB,MIA,SF,2026,2,10.212073409658078,00-0038128,8161,historical_crosswalk,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,1.0,1.0,17.94,none
00-0033537,Deshaun Watson,QB,CLE,TB,2026,2,9.548787882536645,00-0033537,4017,sleeper_gsis,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,1.0,1.0,14.18,none
00-0035704,Drew Lock,QB,SEA,ARI,2026,2,8.068405670347024,00-0035704,5854,sleeper_gsis,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,2.0,1.0,12.93,none
00-0033662,Cooper Rush,QB,ATL,CAR,2026,2,6.9562822299377505,00-0033662,4574,sleeper_gsis,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,1.0,1.0,,none
00-0033280,Christian McCaffrey,RB,SF,MIA,2026,2,17.948427333447764,00-0033280,4034,sleeper_gsis,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,1.0,1.0,17.28,none
00-0038542,Bijan Robinson,RB,ATL,CAR,2026,2,16.027647548701555,00-0038542,9509,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,1.0,1.0,20.14,none
