player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score
00-0037834,Brock Purdy,QB,SF,MIA,2026,2,20.343596438018405,00-0037834,8183,historical_crosswalk,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,1.0,1.0,20.81,none,286.1842359000794,12.887395931318986,0.0,,,,,,,,13.0,29.25,1.0
00-0034857,Josh Allen,QB,BUF,DET,2026,2,19.64761759353279,00-0034857,4984,sleeper_gsis,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,1.0,1.0,21.89,none,251.60966997308947,38.8461382475627,0.0,,,,,,,,6.0,29.0,1.0
00-0033077,Dak Prescott,QB,DAL,WAS,2026,2,18.8667018281442,00-0033077,3294,sleeper_gsis,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,1.0,1.0,20.77,none,251.5190921844885,10.123701397295267,0.0,,,,,,,,12.0,27.0,1.0
00-0036355,Justin Herbert,QB,LAC,LV,2026,2,18.61258789908609,00-0036355,6797,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,1.0,1.0,16.95,none,238.11396184629814,17.434475882511222,0.0,,,,,,,,28.0,25.25,1.0
00-0039910,Jayden Daniels,QB,WAS,DAL,2026,2,17.84930394858214,00-0039910,11566,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,1.0,1.0,20.46,none,222.30261812948353,41.91717544863922,0.0,,,,,,,,17.0,23.5,1.0
00-0039851,Drake Maye,QB,NE,PIT,2026,2,17.27937859955704,00-0039851,11564,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,1.0,1.0,18.2,none,229.80437363866477,26.162852519480502,0.0,,,,,,,,1.0,23.75,1.0
00-0026498,Matthew Stafford,QB,LA,NYG,2026,2,17.138569079981053,00-0026498,421,sleeper_gsis,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,1.0,1.0,16.84,none,247.4695122517758,1.3746143693330581,0.0,,,,,,,,4.0,27.75,1.0
00-0036971,Trevor Lawrence,QB,JAX,DEN,2026,2,16.81752969998733,00-0036971,7523,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,1.0,1.0,16.24,none,216.24961348990766,21.70109270143617,0.0,,,,,,,,3.0,21.0,1.0
00-0036389,Jalen Hurts,QB,PHI,TEN,2026,2,16.72654635102743,00-0036389,6904,historical_crosswalk,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,1.0,1.0,20.88,none,211.8521921844486,27.890554199957442,0.0,,,,,,,,14.0,23.25,1.0
00-0033873,Patrick Mahomes,QB,KC,IND,2026,2,16.699488909135702,00-0033873,4046,sleeper_gsis,2026_02_IND_KC,2026-09-20 20:20:00-04:00,1.0,1.0,16.24,none,234.35849072307204,20.18666792857773,0.0,,,,,,,,32.0,27.0,1.0
00-0039918,Caleb Williams,QB,CHI,MIN,2026,2,16.615003025616097,00-0039918,11560,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,1.0,1.0,16.56,none,206.68455884512895,18.456578497175773,0.0,,,,,,,,7.0,27.5,1.0
00-0034855,Baker Mayfield,QB,TB,CLE,2026,2,16.46316106955315,00-0034855,4892,sleeper_gsis,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,1.0,1.0,17.11,none,237.32692374612955,12.962419737267538,0.0,,,,,,,,11.0,24.5,1.0
00-0039732,Bo Nix,QB,DEN,JAX,2026,2,16.438394551536714,00-0039732,11563,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,1.0,1.0,15.74,none,226.2102921403253,17.881017356971608,0.0,,,,,,,,20.0,23.5,1.0
00-0039150,Bryce Young,QB,CAR,ATL,2026,2,16.028724942008818,00-0039150,9228,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,1.0,1.0,15.99,none,191.32510899777483,18.583753660600816,0.0,,,,,,,,25.0,22.5,1.0
00-0039163,C.J. Stroud,QB,HOU,CIN,2026,2,15.48128075048657,00-0039163,9758,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,1.0,1.0,18.05,none,244.69816599576484,14.058355331346617,0.0,,,,,,,,21.0,24.75,1.0
00-0040691,Jaxson Dart,QB,NYG,LA,2026,2,15.414542033497652,00-0040691,12508,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,1.0,1.0,17.5,none,210.5133417947322,32.879887615286584,0.0,,,,,,,,9.0,20.75,1.0
00-0034796,Lamar Jackson,QB,BAL,NO,2026,2,15.393508763020916,00-0034796,4881,sleeper_gsis,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,1.0,1.0,20.58,none,222.79728925997216,22.16304317113204,0.0,,,,,,,,2.0,27.75,1.0
00-0036264,Jordan Love,QB,GB,NYJ,2026,2,15.26109468618512,00-0036264,6804,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,1.0,1.0,19.56,none,204.5238643095535,9.288254631973166,0.0,,,,,,,,24.0,24.25,1.0
00-0032950,Carson Wentz,QB,MIN,CHI,2026,2,15.050955981640227,00-0032950,3161,sleeper_gsis,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,1.0,1.0,,none,238.30628757610862,4.446206854747121,0.0,,,,,,,,23.0,22.0,1.0
00-0036442,Joe Burrow,QB,CIN,HOU,2026,2,14.593358993554183,00-0036442,6770,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,1.0,1.0,18.19,none,251.41359563694098,4.013997114841504,0.0,,,,,,,,5.0,21.75,1.0
00-0033106,Jared Goff,QB,DET,BUF,2026,2,13.766090335895573,00-0033106,3163,sleeper_gsis,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,1.0,1.0,16.32,none,243.8727279190936,3.767108241140459,0.0,,,,,,,,18.0,24.5,1.0
00-0040743,Tyler Shough,QB,NO,BAL,2026,2,13.761432321373608,00-0040743,12545,historical_crosswalk,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,1.0,1.0,14.25,none,215.63683692102165,17.53083494022265,0.0,,,,,,,,8.0,19.25,1.0
