player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score
00-0037834,Brock Purdy,QB,SF,ARI,2026,3,19.86316166544956,00-0037834,8183,historical_crosswalk,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,1.0,1.0,21.31,none,268.44369926818905,13.174522263386073,0.0,,,,,,,,13.0,28.0,1.0
00-0034857,Josh Allen,QB,BUF,LAC,2026,3,19.50987834467365,00-0034857,4984,sleeper_gsis,2026_03_LAC_BUF,2026-09-27 13:00:00-04:00,1.0,1.0,21.91,none,229.02407520045634,33.41199258395333,0.0,,,,,,,,6.0,28.5,1.0
00-0036971,Trevor Lawrence,QB,JAX,NE,2026,3,18.355009987720724,00-0036971,7523,historical_crosswalk,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,1.0,1.0,20.58,none,214.10612220077707,22.838322387806205,0.0,,,,,,,,3.0,24.25,1.0
00-0033873,Patrick Mahomes,QB,KC,MIA,2026,3,17.280832712662328,00-0033873,4046,sleeper_gsis,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,1.0,1.0,20.96,none,250.07335401881673,20.648385819345478,0.0,,,,,,,,32.0,28.75,1.0
00-0033077,Dak Prescott,QB,DAL,BAL,2026,3,17.267528242887806,00-0033077,3294,sleeper_gsis,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,1.0,1.0,17.42,none,259.6254247063378,10.171050409688528,0.0,,,,,,,,12.0,24.75,1.0
00-0034796,Lamar Jackson,QB,BAL,DAL,2026,3,17.224479900829856,00-0034796,4881,sleeper_gsis,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,1.0,1.0,24.49,none,236.5430085581198,24.382832606014897,0.0,,,,,,,,2.0,27.75,1.0
00-0033106,Jared Goff,QB,DET,NYJ,2026,3,16.64755444763681,00-0033106,3163,sleeper_gsis,2026_03_NYJ_DET,2026-09-27 13:00:00-04:00,1.0,1.0,19.79,none,258.700907546549,2.6922620787228824,0.0,,,,,,,,18.0,27.25,1.0
00-0036389,Jalen Hurts,QB,PHI,CHI,2026,3,16.297687496762983,00-0036389,6904,historical_crosswalk,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,1.0,1.0,19.74,none,210.53004098511286,27.053382809145077,0.0,,,,,,,,14.0,23.5,1.0
00-0040743,Tyler Shough,QB,NO,LV,2026,3,16.222573139105315,00-0040743,12545,historical_crosswalk,2026_03_LV_NO,2026-09-27 16:25:00-04:00,1.0,1.0,16.02,none,238.4472820746254,14.270440494236809,0.0,,,,,,,,8.0,23.5,1.0
00-0039163,C.J. Stroud,QB,HOU,IND,2026,3,16.15980248394678,00-0039163,9758,historical_crosswalk,2026_03_HOU_IND,2026-09-27 13:00:00-04:00,1.0,1.0,16.0,none,246.4744866981901,11.116073741316624,0.0,,,,,,,,21.0,23.0,1.0
00-0026498,Matthew Stafford,QB,LA,DEN,2026,3,15.585874446084178,00-0026498,421,sleeper_gsis,2026_03_LA_DEN,2026-09-27 20:20:00-04:00,1.0,1.0,16.03,none,223.20969686325515,0.0,0.0,,,,,,,,4.0,24.0,1.0
00-0036264,Jordan Love,QB,GB,ATL,2026,3,15.57331288525097,00-0036264,6804,historical_crosswalk,2026_03_ATL_GB,2026-09-24 20:15:00-04:00,1.0,1.0,15.79,none,216.47151415690402,11.31210278363027,0.0,,,,,,,,24.0,25.5,1.0
00-0039851,Drake Maye,QB,NE,JAX,2026,3,15.188961962595231,00-0039851,11564,historical_crosswalk,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,1.0,1.0,18.87,none,237.20810551898737,26.76217526803292,0.0,,,,,,,,1.0,21.25,1.0
00-0039732,Bo Nix,QB,DEN,LA,2026,3,15.116166179539512,00-0039732,11563,historical_crosswalk,2026_03_LA_DEN,2026-09-27 20:20:00-04:00,1.0,1.0,18.14,none,210.84925075050555,18.422681952385904,0.0,,,,,,,,20.0,21.5,1.0
00-0039150,Bryce Young,QB,CAR,CLE,2026,3,14.95879127190479,00-0039150,9228,historical_crosswalk,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,1.0,1.0,17.54,none,180.97955246546027,18.95859348650315,0.0,,,,,,,,25.0,22.5,1.0
00-0036355,Justin Herbert,QB,LAC,BUF,2026,3,14.81433728528347,00-0036355,6797,historical_crosswalk,2026_03_LAC_BUF,2026-09-27 13:00:00-04:00,1.0,1.0,17.34,none,187.60455080881013,19.580079515327338,0.0,,,,,,,,28.0,21.5,1.0
00-0032950,Carson Wentz,QB,MIN,TB,2026,3,14.686158168165726,00-0032950,3161,sleeper_gsis,2026_03_MIN_TB,2026-09-27 16:05:00-04:00,1.0,1.0,,none,233.9443754412525,5.604375185901022,0.0,,,,,,,,23.0,22.0,1.0
00-0036442,Joe Burrow,QB,CIN,PIT,2026,3,14.462712305756801,00-0036442,6770,historical_crosswalk,2026_03_CIN_PIT,2026-09-27 13:00:00-04:00,1.0,1.0,18.94,none,232.83733930276182,3.734179734881474,0.0,,,,,,,,5.0,23.0,1.0
00-0034855,Baker Mayfield,QB,TB,MIN,2026,3,14.283353066018787,00-0034855,4892,sleeper_gsis,2026_03_MIN_TB,2026-09-27 16:05:00-04:00,1.0,1.0,15.51,none,189.04546912755703,17.0223009662759,0.0,,,,,,,,11.0,20.5,1.0
00-0035710,Daniel Jones,QB,IND,HOU,2026,3,14.191088208876183,00-0035710,5870,sleeper_gsis,2026_03_HOU_IND,2026-09-27 13:00:00-04:00,1.0,1.0,14.44,none,213.84377775229328,15.518874284056992,0.0,,,,,,,,22.0,20.5,1.0
00-0033119,Jacoby Brissett,QB,ARI,SF,2026,3,13.694212172071676,00-0033119,3257,sleeper_gsis,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,1.0,1.0,16.33,none,206.2225094085166,7.174074483491415,0.0,,,,,,,,15.0,19.5,1.0
00-0029604,Kirk Cousins,QB,LV,NO,2026,3,12.901873652227076,00-0029604,1166,sleeper_gsis,2026_03_LV_NO,2026-09-27 16:25:00-04:00,1.0,1.0,15.18,none,251.40329055574603,0.23147445295971644,0.0,,,,,,,,31.0,20.5,1.0
00-0023459,Aaron Rodgers,QB,PIT,CIN,2026,3,12.64140065214732,00-0023459,96,sleeper_gsis,2026_03_CIN_PIT,2026-09-27 13:00:00-04:00,1.0,1.0,14.44,none,208.458683377959,1.7407860159883015,0.0,,,,,,,,10.0,19.5,1.0
00-0040676,Cam Ward,QB,TEN,NYG,2026,3,12.13845013790044,00-0040676,12522,historical_crosswalk,2026_03_TEN_NYG,2026-09-27 13:00:00-04:00,1.0,1.0,14.45,none,166.4582401367583,11.142832549762758,0.0,,,,,,,,27.0,18.75,1.0
00-0030565,Geno Smith,QB,NYJ,DET,2026,3,12.103166574964762,00-0030565,1373,sleeper_gsis,2026_03_NYJ_DET,2026-09-27 13:00:00-04:00,1.0,1.0,15.66,none,216.5238484304099,5.367366205717562,0.0,,,,,,,,30.0,20.75,1.0
00-0031503,Jameis Winston,QB,NYG,TEN,2026,3,11.717855983491145,00-0031503,2306,sleeper_gsis,2026_03_TEN_NYG,2026-09-27 13:00:00-04:00,2.0,1.0,16.0,none,218.6737504528019,9.352783856796359,0.0,,,,,,,,9.0,21.75,1.0
00-0032268,Marcus Mariota,QB,WAS,SEA,2026,3,11.283566798203225,00-0032268,2307,sleeper_gsis,2026_03_SEA_WAS,2026-09-27 13:00:00-04:00,1.0,1.0,13.86,none,150.07783517371695,22.133292248600277,0.0,,,,,,,,17.0,16.75,1.0
00-0033537,Deshaun Watson,QB,CLE,CAR,2026,3,10.790339953963734,00-0033537,4017,sleeper_gsis,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,1.0,1.0,12.94,none,191.76905203114154,10.611402907284319,0.0,,,,,,,,29.0,19.5,1.0
00-0038128,Malik Willis,QB,MIA,KC,2026,3,10.050212953192744,00-0038128,8161,historical_crosswalk,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,1.0,1.0,16.42,none,157.79237454550744,32.99473785359645,0.0,,,,,,,,26.0,17.25,1.0
