player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,actual_half_ppr,projection_error,absolute_error
00-0036355,Justin Herbert,QB,LAC,ARI,2026,1,20.158232405542535,00-0036355,6797,historical_crosswalk,2026_01_ARI_LAC,2026-09-13 16:25:00-04:00,1.0,1.0,20.05,,,
00-0036971,Trevor Lawrence,QB,JAX,CLE,2026,1,19.1709379735393,00-0036971,7523,historical_crosswalk,2026_01_CLE_JAX,2026-09-13 13:00:00-04:00,1.0,1.0,20.1,,,
00-0034857,Josh Allen,QB,BUF,HOU,2026,1,17.93915755717447,00-0034857,4984,sleeper_gsis,2026_01_BUF_HOU,2026-09-13 13:00:00-04:00,1.0,1.0,23.26,,,
00-0039918,Caleb Williams,QB,CHI,CAR,2026,1,17.799390077292294,00-0039918,11560,historical_crosswalk,2026_01_CHI_CAR,2026-09-13 13:00:00-04:00,1.0,1.0,21.45,,,
00-0036442,Joe Burrow,QB,CIN,TB,2026,1,17.2942599814606,00-0036442,6770,historical_crosswalk,2026_01_TB_CIN,2026-09-13 13:00:00-04:00,1.0,1.0,22.4,,,
00-0036389,Jalen Hurts,QB,PHI,WAS,2026,1,17.016304148806295,00-0036389,6904,historical_crosswalk,2026_01_WAS_PHI,2026-09-13 16:25:00-04:00,1.0,1.0,21.92,,,
00-0033106,Jared Goff,QB,DET,NO,2026,1,16.959048302023017,00-0033106,3163,sleeper_gsis,2026_01_NO_DET,2026-09-13 13:00:00-04:00,1.0,1.0,20.34,,,
00-0034796,Lamar Jackson,QB,BAL,IND,2026,1,16.39690849112342,00-0034796,4881,sleeper_gsis,2026_01_BAL_IND,2026-09-13 13:00:00-04:00,1.0,1.0,22.64,,,
00-0037834,Brock Purdy,QB,SF,LA,2026,1,16.3852362334304,00-0037834,8183,historical_crosswalk,2026_01_SF_LA,2026-09-10 20:35:00-04:00,1.0,1.0,21.23,21.1,4.7147637665696,4.7147637665696
00-0026498,Matthew Stafford,QB,LA,SF,2026,1,16.225107653116012,00-0026498,421,sleeper_gsis,2026_01_SF_LA,2026-09-10 20:35:00-04:00,1.0,1.0,19.31,4.1000000000000005,-12.125107653116011,12.125107653116011
00-0033077,Dak Prescott,QB,DAL,NYG,2026,1,16.069611439385316,00-0033077,3294,sleeper_gsis,2026_01_DAL_NYG,2026-09-13 20:20:00-04:00,1.0,1.0,21.11,,,
00-0040691,Jaxson Dart,QB,NYG,DAL,2026,1,15.958803337927568,00-0040691,12508,historical_crosswalk,2026_01_DAL_NYG,2026-09-13 20:20:00-04:00,1.0,1.0,21.61,,,
00-0033873,Patrick Mahomes,QB,KC,DEN,2026,1,15.95260194657446,00-0033873,4046,sleeper_gsis,2026_01_DEN_KC,2026-09-14 20:15:00-04:00,1.0,1.0,19.22,,,
00-0039851,Drake Maye,QB,NE,SEA,2026,1,15.786116193550535,00-0039851,11564,historical_crosswalk,2026_01_NE_SEA,2026-09-09 20:20:00-04:00,1.0,1.0,21.35,9.82,-5.966116193550535,5.966116193550535
