player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score,actual_half_ppr,projection_error,absolute_error
00-0037834,Brock Purdy,QB,SF,MIA,2026,2,20.48722363389444,00-0037834,8183,historical_crosswalk,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,1.0,1.0,20.81,none,286.8915464264906,12.547164236017531,0.0,,,,,,,,13.0,29.25,1.0,28.48,7.992776366105559,7.992776366105559
00-0034857,Josh Allen,QB,BUF,DET,2026,2,19.64761759353279,00-0034857,4984,sleeper_gsis,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,1.0,1.0,21.89,none,251.60966997308947,38.8461382475627,0.0,,,,,,,,6.0,29.0,1.0,40.82,21.17238240646721,21.17238240646721
00-0033077,Dak Prescott,QB,DAL,WAS,2026,2,19.08680404028226,00-0033077,3294,sleeper_gsis,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,1.0,1.0,20.77,none,253.8257507053216,10.86785020613582,0.0,,,,,,,,12.0,27.0,1.0,29.76,10.673195959717741,10.673195959717741
00-0036355,Justin Herbert,QB,LAC,LV,2026,2,18.61258789908609,00-0036355,6797,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,1.0,1.0,16.95,none,238.1139618462981,17.434475882511222,0.0,,,,,,,,28.0,25.25,1.0,7.88,-10.732587899086091,10.732587899086091
00-0039910,Jayden Daniels,QB,WAS,DAL,2026,2,18.037555465406093,00-0039910,11566,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,1.0,1.0,20.46,none,217.10021529109503,41.37818253094706,0.0,,,,,,,,17.0,23.5,1.0,14.74,-3.2975554654060932,3.2975554654060932
00-0039851,Drake Maye,QB,NE,PIT,2026,2,17.53889684284314,00-0039851,11564,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,1.0,1.0,18.2,none,231.86834269626792,26.917323258209503,0.0,,,,,,,,1.0,23.75,1.0,8.02,-9.51889684284314,9.51889684284314
00-0026498,Matthew Stafford,QB,LA,NYG,2026,2,17.009302390321043,00-0026498,421,sleeper_gsis,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,1.0,1.0,16.84,none,246.84888344103425,1.0217547166833385,0.0,,,,,,,,4.0,27.75,1.0,26.979999999999997,9.970697609678954,9.970697609678954
00-0036971,Trevor Lawrence,QB,JAX,DEN,2026,2,16.81752969998733,00-0036971,7523,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,1.0,1.0,16.24,none,216.2496134899077,21.70109270143617,0.0,,,,,,,,3.0,21.0,1.0,6.16,-10.657529699987329,10.657529699987329
00-0036389,Jalen Hurts,QB,PHI,TEN,2026,2,16.72049040891022,00-0036389,6904,historical_crosswalk,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,1.0,1.0,20.88,none,211.23125520648452,27.42271658395162,0.0,,,,,,,,14.0,23.25,1.0,16.160000000000004,-0.5604904089102156,0.5604904089102156
00-0033873,Patrick Mahomes,QB,KC,IND,2026,2,16.699488909135702,00-0033873,4046,sleeper_gsis,2026_02_IND_KC,2026-09-20 20:20:00-04:00,1.0,1.0,16.24,none,234.35849072307204,20.18666792857773,0.0,,,,,,,,32.0,27.0,1.0,28.98,12.280511090864298,12.280511090864298
00-0039918,Caleb Williams,QB,CHI,MIN,2026,2,16.615003025616097,00-0039918,11560,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,1.0,1.0,16.56,none,206.68455884512892,18.456578497175773,0.0,,,,,,,,7.0,27.5,1.0,7.720000000000001,-8.895003025616097,8.895003025616097
00-0034855,Baker Mayfield,QB,TB,CLE,2026,2,16.454555632259737,00-0034855,4892,sleeper_gsis,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,1.0,1.0,17.11,none,240.33467785942503,12.77709729063858,0.0,,,,,,,,11.0,24.5,1.0,12.180000000000001,-4.274555632259736,4.274555632259736
00-0039732,Bo Nix,QB,DEN,JAX,2026,2,16.438394551536714,00-0039732,11563,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,1.0,1.0,15.74,none,226.2102921403253,17.881017356971608,0.0,,,,,,,,20.0,23.5,1.0,14.12,-2.3183945515367146,2.3183945515367146
00-0039150,Bryce Young,QB,CAR,ATL,2026,2,16.15952124653947,00-0039150,9228,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,1.0,1.0,15.99,none,192.36850120966315,18.10676029373161,0.0,,,,,,,,25.0,22.5,1.0,24.080000000000002,7.920478753460532,7.920478753460532
00-0034796,Lamar Jackson,QB,BAL,NO,2026,2,15.636269086243145,00-0034796,4881,sleeper_gsis,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,1.0,1.0,20.58,none,225.45361170528983,20.958677667942748,0.0,,,,,,,,2.0,27.75,1.0,14.8,-0.8362690862431439,0.8362690862431439
00-0040691,Jaxson Dart,QB,NYG,LA,2026,2,15.562023713954773,00-0040691,12508,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,1.0,1.0,17.5,none,211.72262870926835,33.50557486288641,0.0,,,,,,,,9.0,20.75,1.0,0.8,-14.762023713954772,14.762023713954772
00-0039163,C.J. Stroud,QB,HOU,CIN,2026,2,15.495309435086767,00-0039163,9758,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,1.0,1.0,18.05,none,245.1213151602148,13.952144655865304,0.0,,,,,,,,21.0,24.75,1.0,17.020000000000003,1.5246905649132358,1.5246905649132358
00-0036264,Jordan Love,QB,GB,NYJ,2026,2,15.26109468618512,00-0036264,6804,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,1.0,1.0,19.56,none,204.5238643095535,9.288254631973166,0.0,,,,,,,,24.0,24.25,1.0,13.8,-1.4610946861851186,1.4610946861851186
00-0032950,Carson Wentz,QB,MIN,CHI,2026,2,15.25807496386747,00-0032950,3161,sleeper_gsis,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,1.0,1.0,,none,234.88916000280943,4.838030395250859,0.0,,,,,,,,23.0,22.0,1.0,6.32,-8.93807496386747,8.93807496386747
00-0036442,Joe Burrow,QB,CIN,HOU,2026,2,14.593358993554183,00-0036442,6770,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,1.0,1.0,18.19,none,251.41359563694095,4.013997114841504,0.0,,,,,,,,5.0,21.75,1.0,16.18,1.5866410064458165,1.5866410064458165
00-0040743,Tyler Shough,QB,NO,BAL,2026,2,14.107632369169156,00-0040743,12545,historical_crosswalk,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,1.0,1.0,14.25,none,216.8399370605322,18.29589317130728,0.0,,,,,,,,8.0,19.25,1.0,22.38,8.272367630830843,8.272367630830843
00-0033106,Jared Goff,QB,DET,BUF,2026,2,13.766090335895573,00-0033106,3163,sleeper_gsis,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,1.0,1.0,16.32,none,243.8727279190936,3.767108241140459,0.0,,,,,,,,18.0,24.5,1.0,29.779999999999998,16.013909664104425,16.013909664104425
00-0033119,Jacoby Brissett,QB,ARI,SEA,2026,2,13.098945269077538,00-0033119,3257,sleeper_gsis,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,1.0,1.0,12.24,none,201.63665530386376,7.336234645130344,0.0,,,,,,,,15.0,18.5,1.0,6.500000000000001,-6.598945269077537,6.598945269077537
00-0030565,Geno Smith,QB,NYJ,GB,2026,2,12.513518629018106,00-0030565,1373,sleeper_gsis,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,1.0,1.0,14.77,none,191.2049606553552,5.558868929747639,0.0,,,,,,,,30.0,20.25,1.0,15.580000000000002,3.0664813709818954,3.0664813709818954
00-0035710,Daniel Jones,QB,IND,KC,2026,2,12.2605825189133,00-0035710,5870,sleeper_gsis,2026_02_IND_KC,2026-09-20 20:20:00-04:00,1.0,1.0,14.74,none,183.57645993891177,13.026684376559228,0.0,,,,,,,,22.0,20.5,1.0,11.4,-0.860582518913299,0.860582518913299
00-0023459,Aaron Rodgers,QB,PIT,NE,2026,2,11.269749170234237,00-0023459,96,sleeper_gsis,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,1.0,1.0,16.1,none,186.43095599698935,0.7309284672304664,0.0,,,,,,,,10.0,18.25,1.0,5.98,-5.289749170234236,5.289749170234236
00-0029604,Kirk Cousins,QB,LV,LAC,2026,2,10.91982535906139,00-0029604,1166,sleeper_gsis,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,2.0,1.0,13.24,none,222.65737653172536,1.7276186452296274,0.0,,,,,,,,31.0,18.25,1.0,20.220000000000002,9.300174640938613,9.300174640938613
00-0040676,Cam Ward,QB,TEN,PHI,2026,2,10.856708491619496,00-0040676,12522,historical_crosswalk,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,1.0,1.0,12.05,none,183.5175106208852,9.088389503531364,0.0,,,,,,,,27.0,16.25,1.0,20.02,9.163291508380503,9.163291508380503
00-0038128,Malik Willis,QB,MIA,SF,2026,2,10.356261540606567,00-0038128,8161,historical_crosswalk,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,1.0,1.0,17.94,none,165.23404993121213,32.50666029065588,0.0,,,,,,,,26.0,16.25,1.0,12.479999999999999,2.123738459393431,2.123738459393431
00-0033537,Deshaun Watson,QB,CLE,TB,2026,2,9.548787882536644,00-0033537,4017,sleeper_gsis,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,1.0,1.0,14.18,none,181.5374111353562,14.795520290918024,0.0,,,,,,,,29.0,16.0,1.0,19.72,10.171212117463355,10.171212117463355
00-0035704,Drew Lock,QB,SEA,ARI,2026,2,8.070801557432912,00-0035704,5854,sleeper_gsis,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,2.0,1.0,12.93,none,227.1607365343236,8.386555580896003,0.0,,,,,,,,16.0,23.0,1.0,21.4,13.329198442567087,13.329198442567087
00-0033662,Cooper Rush,QB,ATL,CAR,2026,2,6.961628730046924,00-0033662,4574,sleeper_gsis,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,1.0,1.0,,none,194.36325857759604,5.333152366136671,0.0,,,,,,,,19.0,21.0,1.0,-0.56,-7.521628730046924,7.521628730046924
00-0033280,Christian McCaffrey,RB,SF,MIA,2026,2,18.10573828607551,00-0033280,4034,sleeper_gsis,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,1.0,1.0,17.28,none,,,,81.42002180106262,32.57741213196849,3.739254977217296,,,,,13.0,29.25,1.0,20.6,2.494261713924491,2.494261713924491
00-0038542,Bijan Robinson,RB,ATL,CAR,2026,2,16.092788055499433,00-0038542,9509,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,1.0,1.0,20.14,none,,,,71.61974506084982,33.998737658599964,4.544911315618383,,,,,19.0,21.0,1.0,9.6,-6.4927880554994335,6.4927880554994335
00-0032764,Derrick Henry,RB,BAL,NO,2026,2,15.220787316229634,00-0032764,3198,sleeper_gsis,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,1.0,1.0,14.09,none,,,,76.82737167586029,4.138350849628008,0.7654781737519238,,,,,2.0,27.75,1.0,16.2,0.9792126837703652,0.9792126837703652
00-0037248,James Cook,RB,BUF,DET,2026,2,14.705160891922189,00-0037248,8138,historical_crosswalk,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,1.0,1.0,15.75,none,,,,68.3170312666151,13.251828929150538,1.6939247695042523,,,,,6.0,29.0,1.0,20.4,5.69483910807781,5.69483910807781
00-0040666,Omarion Hampton,RB,LAC,LV,2026,2,13.6700640577359,00-0040666,12507,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,1.0,1.0,12.05,none,,,,50.97739949899088,16.35680689684947,2.296087036170278,,,,,28.0,25.25,1.0,16.5,2.8299359422641004,2.8299359422641004
00-0037840,Kyren Williams,RB,LA,NYG,2026,2,13.246327594737268,00-0037840,8150,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,1.0,1.0,15.98,none,,,,52.66699002953221,17.02603365240557,2.0910806105870576,,,,,4.0,27.75,1.0,14.7,1.453672405262731,1.453672405262731
00-0034844,Saquon Barkley,RB,PHI,TEN,2026,2,12.67268358724583,00-0034844,4866,sleeper_gsis,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,1.0,1.0,15.38,none,,,,70.70994739076667,12.985989282061094,2.206266846179457,,,,,14.0,23.25,1.0,2.5,-10.17268358724583,10.17268358724583
00-0039139,Jahmyr Gibbs,RB,DET,BUF,2026,2,12.579660260688462,00-0039139,9221,historical_crosswalk,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,1.0,1.0,24.2,none,,,,58.19674070700946,33.836029647429875,4.222694882632449,,,,,18.0,24.5,1.0,20.3,7.720339739311539,7.720339739311539
00-0038597,Chase Brown,RB,CIN,HOU,2026,2,12.367105910371992,00-0038597,9224,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,1.0,1.0,13.37,none,,,,51.4466692088241,25.65592341259132,3.1132594471050314,,,,,5.0,21.75,1.0,9.7,-2.6671059103719923,2.6671059103719923
00-0040122,Ashton Jeanty,RB,LV,LAC,2026,2,11.916693108969785,00-0040122,12527,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,1.0,1.0,12.79,none,,,,65.97367456819138,20.65505142180876,2.8799983755633183,,,,,31.0,18.25,1.0,8.3,-3.616693108969784,3.616693108969784
00-0036275,D'Andre Swift,RB,CHI,MIN,2026,2,11.89950467532046,00-0036275,6790,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,1.0,1.0,10.12,none,,,,54.94054646816124,14.270366747192265,1.926017322004857,,,,,7.0,27.5,1.0,10.4,-1.499504675320459,1.499504675320459
00-0036223,Jonathan Taylor,RB,IND,KC,2026,2,11.54431869549975,00-0036223,6813,historical_crosswalk,2026_02_IND_KC,2026-09-20 20:20:00-04:00,1.0,1.0,17.17,none,,,,55.32642702449432,17.462982500197647,2.894632202246559,,,,,22.0,20.5,1.0,27.200000000000003,15.655681304500252,15.655681304500252
00-0033293,Aaron Jones,RB,MIN,CHI,2026,2,11.354367539236632,00-0033293,4199,sleeper_gsis,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,2.0,2.0,8.8,none,,,,40.66844228127482,18.420711852179743,2.693155325651316,,,,,23.0,22.0,1.0,10.5,-0.8543675392366321,0.8543675392366321
