player_id,player_display_name,position,breakout_prob,breakout_type
00-0036212,Tua Tagovailoa,QB,0.9451124,none
00-0039919,Rome Odunze,WR,0.8597072,none
00-0035719,Deebo Samuel Sr.,WR,0.8579982,bounce_back
00-0037247,George Pickens,WR,0.8153548,bounce_back
00-0037261,Khalil Shakir,WR,0.8138335,none
00-0039894,Xavier Worthy,WR,0.7404024,none
00-0038621,DeMario Douglas,WR,0.6257261,none
00-0038134,Kenneth Walker III,RB,0.593476,bounce_back
00-0033090,Hunter Henry,TE,0.5741568,bounce_back
00-0037746,Brian Robinson,RB,0.5330585,none
00-0038783,Nate Adkins,TE,0.51365143,none
00-0038935,Brenton Strange,TE,0.50376695,none
00-0037816,Romeo Doubs,WR,0.49894965,first_time
00-0039918,Caleb Williams,QB,0.48513922,first_time
00-0035229,T.J. Hockenson,TE,0.4076428,none
00-0039150,Bryce Young,QB,0.3513045,none
00-0031503,Jameis Winston,QB,0.3489577,none
00-0038933,Dalton Kincaid,TE,0.34595516,none
00-0039032,Tyjae Spears,RB,0.336748,none
00-0039855,Jalen McMillan,WR,0.33121228,none
00-0034975,Justice Hill,RB,0.32471544,none
00-0037239,Chris Olave,WR,0.32413092,bounce_back
00-0038794,Jaleel McLaughlin,RB,0.3185165,none
00-0039851,Drake Maye,QB,0.31741711,first_time
00-0036613,Jaylen Waddle,WR,0.30428728,bounce_back
00-0037267,Jerome Ford,RB,0.3038036,none
00-0038608,Kayshon Boutte,WR,0.29403734,none
00-0033699,Austin Ekeler,RB,0.28964722,none
00-0039164,Anthony Richardson,QB,0.27516145,none
00-0038547,Luke Schoonmaker,TE,0.26553223,none
00-0035644,Noah Fant,TE,0.26367444,none
00-0033921,Chris Godwin Jr.,WR,0.26294386,none
00-0033662,Cooper Rush,QB,0.24988697,none
00-0039342,Xavier Legette,WR,0.24695975,none
00-0023459,Aaron Rodgers,QB,0.23582263,none
00-0037545,Rashid Shaheed,WR,0.23320147,none
00-0038555,Tank Bigsby,RB,0.22850744,none
00-0036875,Rhamondre Stevenson,RB,0.22505113,none
00-0036158,J.K. Dobbins,RB,0.22427507,none
00-0032392,Austin Hooper,TE,0.22210808,none
00-0039738,Blake Corum,RB,0.21887809,none
00-0037664,Alec Pierce,WR,0.2185337,first_time
00-0039163,C.J. Stroud,QB,0.2054414,none
00-0038558,Darnell Washington,TE,0.19990785,none
00-0036973,Travis Etienne,RB,0.18634495,bounce_back
00-0039901,Keon Coleman,WR,0.1649444,none
00-0036988,Josh Palmer,WR,0.15762767,none
00-0038041,Jake Ferguson,TE,0.15305546,bounce_back
00-0036252,Michael Pittman,WR,0.14896147,bounce_back
00-0030035,Adam Thielen,WR,0.144494,none
00-0039530,Brevyn Spann-Ford,TE,0.13405658,none
00-0038124,Christian Watson,WR,0.13114567,none
00-0038102,Kenny Pickett,QB,0.12414709,none
00-0034383,Dalton Schultz,TE,0.1218788,bounce_back
00-0033881,Evan Engram,TE,0.11581925,none
00-0038979,Cedric Tillman,WR,0.11555076,none
00-0036971,Trevor Lawrence,QB,0.10377567,bounce_back
00-0038606,Parker Washington,WR,0.100751065,first_time
00-0036919,Kenneth Gainwell,RB,0.09810566,first_time
00-0037263,Tyler Allgeier,RB,0.09793631,none
00-0035537,Ty Johnson,RB,0.09731085,none
00-0036980,Elijah Moore,WR,0.0955006,none
00-0039491,Jalen Coker,WR,0.09086748,none
00-0033246,Johnny Mundt,TE,0.090856194,none
