Position,Name,Salary,TeamAbbrev,AvgPointsPerGame,Game Info
QB,Brock Purdy,8800,SF,20.45,SF@LA 2025-11-09 01:00PM ET
QB,Josh Allen,8600,BUF,18.99,BUF@MIA 2025-11-09 01:00PM ET
QB,Bo Nix,8400,DEN,17.89,DEN@LV 2025-11-09 01:00PM ET
QB,Drake Maye,8200,NE,16.81,NE@TB 2025-11-09 01:00PM ET
QB,Jared Goff,8100,DET,16.12,DET@WAS 2025-11-09 01:00PM ET
QB,Lamar Jackson,8100,BAL,16.12,BAL@MIN 2025-11-09 01:00PM ET
QB,Jalen Hurts,8100,PHI,15.9,PHI@GB 2025-11-09 01:00PM ET
QB,Kyler Murray,8000,ARI,15.87,ARI@SEA 2025-11-09 01:00PM ET
QB,Trevor Lawrence,8000,JAX,15.84,JAX@HOU 2025-11-09 01:00PM ET
QB,Jordan Love,8000,GB,15.63,GB@PHI 2025-11-09 01:00PM ET
QB,Daniel Jones,8000,IND,15.53,IND@ATL 2025-11-09 01:00PM ET
QB,J.J. McCarthy,7900,MIN,15.23,MIN@BAL 2025-11-09 01:00PM ET
QB,Jacoby Brissett,7900,ARI,15.19,ARI@SEA 2025-11-09 01:00PM ET
QB,Caleb Williams,7900,CHI,14.69,CHI@NYG 2025-11-09 01:00PM ET
QB,Matthew Stafford,7800,LA,14.47,LA@SF 2025-11-09 01:00PM ET
QB,Carson Wentz,7800,MIN,14.45,MIN@BAL 2025-11-09 01:00PM ET
QB,Russell Wilson,7800,NYG,14.21,NYG@CHI 2025-11-09 01:00PM ET
QB,Justin Fields,7700,NYJ,13.97,NYJ@CLE 2025-11-09 01:00PM ET
QB,Jaxson Dart,7700,NYG,13.82,NYG@CHI 2025-11-09 01:00PM ET
QB,Tyler Shough,7700,NO,13.81,NO@CAR 2025-11-09 01:00PM ET
QB,Marcus Mariota,7700,WAS,13.69,WAS@DET 2025-11-09 01:00PM ET
QB,Anthony Richardson,7600,IND,13.43,IND@ATL 2025-11-09 01:00PM ET
QB,Jameis Winston,7600,NYG,13.4,NYG@CHI 2025-11-09 01:00PM ET
QB,Spencer Rattler,7600,NO,12.99,NO@CAR 2025-11-09 01:00PM ET
QB,Philip Rivers,7600,IND,12.97,IND@ATL 2025-11-09 01:00PM ET
QB,Aaron Rodgers,7600,PIT,12.94,PIT@LAC 2025-11-09 01:00PM ET
QB,Kirk Cousins,7500,ATL,12.85,ATL@IND 2025-11-09 01:00PM ET
QB,Sam Darnold,7500,SEA,12.83,SEA@ARI 2025-11-09 01:00PM ET
QB,Tyrod Taylor,7500,NYJ,12.81,NYJ@CLE 2025-11-09 01:00PM ET
QB,Mac Jones,7500,SF,12.61,SF@LA 2025-11-09 01:00PM ET
QB,Derek Carr,7500,NO,12.38,NO@CAR 2025-11-09 01:00PM ET
QB,Justin Herbert,7500,LAC,12.29,LAC@PIT 2025-11-09 01:00PM ET
QB,Shedeur Sanders,7400,CLE,12.2,CLE@NYJ 2025-11-09 01:00PM ET
QB,Tua Tagovailoa,7400,MIA,12.1,MIA@BUF 2025-11-09 01:00PM ET
QB,Joshua Dobbs,7400,NE,12.07,NE@TB 2025-11-09 01:00PM ET
QB,Jarrett Stidham,7400,DEN,12.0,DEN@LV 2025-11-09 01:00PM ET
QB,Baker Mayfield,7400,TB,11.84,TB@NE 2025-11-09 01:00PM ET
QB,Riley Leonard,7300,IND,11.46,IND@ATL 2025-11-09 01:00PM ET
QB,Tyler Huntley,7300,BAL,11.39,BAL@MIN 2025-11-09 01:00PM ET
QB,Davis Mills,7300,HOU,11.21,HOU@JAX 2025-11-09 01:00PM ET
QB,Michael Penix Jr.,7200,ATL,10.85,ATL@IND 2025-11-09 01:00PM ET
QB,Deshaun Watson,7200,CLE,10.52,CLE@NYJ 2025-11-09 01:00PM ET
QB,Dillon Gabriel,7200,CLE,10.46,CLE@NYJ 2025-11-09 01:00PM ET
QB,Josh Johnson,7100,WAS,10.12,WAS@DET 2025-11-09 01:00PM ET
QB,Drew Lock,7100,SEA,10.06,SEA@ARI 2025-11-09 01:00PM ET
QB,Bryce Young,7000,CAR,9.79,CAR@NO 2025-11-09 01:00PM ET
QB,Geno Smith,7000,LV,9.55,LV@DEN 2025-11-09 01:00PM ET
QB,Quinn Ewers,6800,MIA,8.43,MIA@BUF 2025-11-09 01:00PM ET
QB,Tim Boyle,6800,MIA,8.42,MIA@BUF 2025-11-09 01:00PM ET
QB,Kenny Pickett,6800,LV,8.01,LV@DEN 2025-11-09 01:00PM ET
QB,Zach Wilson,6700,MIA,7.45,MIA@BUF 2025-11-09 01:00PM ET
QB,Trey Lance,6700,LAC,7.4,LAC@PIT 2025-11-09 01:00PM ET
QB,Tanner McKee,6600,PHI,7.22,PHI@GB 2025-11-09 01:00PM ET
QB,Jimmy Garoppolo,6500,LA,6.61,LA@SF 2025-11-09 01:00PM ET
QB,Mitchell Trubisky,6500,BUF,6.43,BUF@MIA 2025-11-09 01:00PM ET
QB,Malik Willis,6400,GB,6.07,GB@PHI 2025-11-09 01:00PM ET
QB,Tommy DeVito,6400,NYG,5.97,NYG@CHI 2025-11-09 01:00PM ET
QB,Desmond Ridder,6400,LV,5.79,LV@DEN 2025-11-09 01:00PM ET
QB,Jalen Milroe,6400,SEA,5.79,SEA@ARI 2025-11-09 01:00PM ET
QB,Brandon Allen,6400,SF,5.66,SF@LA 2025-11-09 01:00PM ET
QB,Jake Haener,6300,NO,5.57,NO@CAR 2025-11-09 01:00PM ET
QB,Brady Cook,6300,NYJ,5.53,NYJ@CLE 2025-11-09 01:00PM ET
QB,Max Brosmer,6300,MIN,5.2,MIN@BAL 2025-11-09 01:00PM ET
QB,Tyson Bagent,6200,CHI,4.73,CHI@NYG 2025-11-09 01:00PM ET
QB,Clayton Tune,6200,GB,4.72,GB@PHI 2025-11-09 01:00PM ET
QB,Cooper Rush,6200,BAL,4.67,BAL@MIN 2025-11-09 01:00PM ET
QB,Andy Dalton,6200,CAR,4.56,CAR@NO 2025-11-09 01:00PM ET
QB,Dorian Thompson-Robinson,6100,CLE,4.28,CLE@NYJ 2025-11-09 01:00PM ET
QB,Teddy Bridgewater,6100,TB,4.27,TB@NE 2025-11-09 01:00PM ET
QB,Taylor Heinicke,6100,LAC,3.93,LAC@PIT 2025-11-09 01:00PM ET
QB,Hendon Hooker,6000,DET,3.38,DET@WAS 2025-11-09 01:00PM ET
QB,Skylar Thompson,6000,MIA,3.28,MIA@BUF 2025-11-09 01:00PM ET
QB,Mason Rudolph,6000,PIT,3.24,PIT@LAC 2025-11-09 01:00PM ET
QB,Kyle Trask,5800,TB,2.08,TB@NE 2025-11-09 01:00PM ET
QB,Kyle Allen,5700,DET,1.72,DET@WAS 2025-11-09 01:00PM ET
