player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,ceiling_pts,projection_units
00-0036355,Justin Herbert,QB,LAC,ARI,2026,1,17.851650000000003,26.151650000000004,direct_dk_points
00-0036971,Trevor Lawrence,QB,JAX,CLE,2026,1,17.8958,26.195800000000002,direct_dk_points
00-0034857,Josh Allen,QB,BUF,HOU,2026,1,20.686080000000004,28.986080000000005,direct_dk_points
00-0039918,Caleb Williams,QB,CHI,CAR,2026,1,19.08785,27.38785,direct_dk_points
00-0036442,Joe Burrow,QB,CIN,TB,2026,1,19.9267,28.2267,direct_dk_points
00-0036389,Jalen Hurts,QB,PHI,WAS,2026,1,19.502860000000002,27.802860000000003,direct_dk_points
00-0033106,Jared Goff,QB,DET,NO,2026,1,18.10772,26.40772,direct_dk_points
00-0034796,Lamar Jackson,QB,BAL,IND,2026,1,20.138620000000003,28.438620000000004,direct_dk_points
00-0037834,Brock Purdy,QB,SF,LA,2026,1,18.89359,27.19359,direct_dk_points
00-0026498,Matthew Stafford,QB,LA,SF,2026,1,17.19823,25.49823,direct_dk_points
00-0033077,Dak Prescott,QB,DAL,NYG,2026,1,18.78763,27.08763,direct_dk_points
00-0040691,Jaxson Dart,QB,NYG,DAL,2026,1,19.22913,27.529130000000002,direct_dk_points
00-0033873,Patrick Mahomes,QB,KC,DEN,2026,1,17.11876,25.418760000000002,direct_dk_points
00-0039851,Drake Maye,QB,NE,SEA,2026,1,18.999550000000003,27.299550000000004,direct_dk_points
00-0039732,Bo Nix,QB,DEN,KC,2026,1,18.09889,26.39889,direct_dk_points
00-0035228,Kyler Murray,QB,MIN,GB,2026,1,17.295360000000002,25.595360000000003,direct_dk_points
00-0034855,Baker Mayfield,QB,TB,CIN,2026,1,17.63973,25.93973,direct_dk_points
00-0040743,Tyler Shough,QB,NO,DET,2026,1,17.41015,25.710150000000002,direct_dk_points
00-0035710,Daniel Jones,QB,IND,BAL,2026,1,16.050330000000002,24.350330000000003,direct_dk_points
00-0039150,Bryce Young,QB,CAR,CHI,2026,1,16.147460000000002,24.447460000000003,direct_dk_points
00-0034869,Sam Darnold,QB,SEA,NE,2026,1,17.63973,25.93973,direct_dk_points
00-0023459,Aaron Rodgers,QB,PIT,ATL,2026,1,15.71479,24.01479,direct_dk_points
00-0040676,Cam Ward,QB,TEN,NYJ,2026,1,15.264460000000001,23.564460000000004,direct_dk_points
00-0033119,Jacoby Brissett,QB,ARI,LAC,2026,1,15.299780000000002,23.599780000000003,direct_dk_points
00-0039910,Jayden Daniels,QB,WAS,PHI,2026,1,18.54039,26.84039,direct_dk_points
00-0039163,C.J. Stroud,QB,HOU,BUF,2026,1,16.43885,24.73885,direct_dk_points
00-0036264,Jordan Love,QB,GB,MIN,2026,1,17.569090000000003,25.869090000000003,direct_dk_points
00-0029604,Kirk Cousins,QB,LV,MIA,2026,1,15.167330000000002,23.467330000000004,direct_dk_points
00-0038128,Malik Willis,QB,MIA,LV,2026,1,16.73907,25.039070000000002,direct_dk_points
00-0030565,Geno Smith,QB,NYJ,TEN,2026,1,14.708169999999999,23.00817,direct_dk_points
00-0033537,Deshaun Watson,QB,CLE,JAX,2026,1,14.54923,22.84923,direct_dk_points
00-0032764,Derrick Henry,RB,BAL,IND,2026,1,16.64507,21.36507,direct_dk_points
00-0033280,Christian McCaffrey,RB,SF,LA,2026,1,20.4736,25.1936,direct_dk_points
00-0036223,Jonathan Taylor,RB,IND,BAL,2026,1,19.563090000000003,24.28309,direct_dk_points
