target_season,validation_season,n_train_seasons,n_val_rows,mse
2018,2016,2,32,0.006117514749471386
2018,2017,3,32,0.005479593524527225
2019,2016,2,32,0.006383030359022512
2019,2017,3,32,0.00545442496721916
2019,2018,4,32,0.006249719906122033
2020,2016,2,32,0.006233260372557533
2020,2017,3,32,0.005425518767357522
2020,2018,4,32,0.006783686296627083
2020,2019,5,32,0.007399014086650477
2021,2016,2,32,0.006233260372557533
2021,2017,3,32,0.005425518767357522
2021,2018,4,32,0.006783686296627083
2021,2019,5,32,0.007399014086650477
2021,2020,6,32,0.005691626310878349
2022,2016,2,32,0.006233260372557533
2022,2017,3,32,0.005425518767357522
2022,2018,4,32,0.006783686296627083
2022,2019,5,32,0.007399014086650477
2022,2020,6,32,0.005691626310878349
2022,2021,7,32,0.005989025923572016
2023,2016,2,32,0.006233260372557533
2023,2017,3,32,0.005425518767357522
2023,2018,4,32,0.006783686296627083
2023,2019,5,32,0.007399014086650477
2023,2020,6,32,0.005691626310878349
2023,2021,7,32,0.005989025923572016
2023,2022,8,32,0.0057495161794601
2024,2016,2,32,0.006233260372557534
2024,2017,3,32,0.005425518767357522
2024,2018,4,32,0.006783686296627083
2024,2019,5,32,0.007399014086650477
2024,2020,6,32,0.005691626310878349
2024,2021,7,32,0.005989025923572016
2024,2022,8,32,0.005749516179460101
2024,2023,9,32,0.006865222556367033
2025,2016,2,32,0.006174536298081074
2025,2017,3,32,0.005517444358475541
2025,2018,4,32,0.007050138456791007
2025,2019,5,32,0.007308853845382158
2025,2020,6,32,0.00555086410733905
2025,2021,7,32,0.006017746697221777
2025,2022,8,32,0.005702856639662509
2025,2023,9,32,0.007063959764677139
2025,2024,10,32,0.008394356113724681
2026,2016,2,32,0.006233260372557534
2026,2017,3,32,0.005425518767357522
2026,2018,4,32,0.006783686296627083
2026,2019,5,32,0.007399014086650477
2026,2020,6,32,0.005691626310878349
2026,2021,7,32,0.005989025923572016
2026,2022,8,32,0.005749516179460101
2026,2023,9,32,0.006865222556367033
2026,2024,10,32,0.008780854062682432
2026,2025,11,32,0.006398190337103173
