season,team,wiki_article,nominal_oc,oc_candidates,n_oc_named,oc_status,oc_raw,actual_play_caller,play_caller_status,hc_is_playcaller
2013,ARI,2013 Arizona Cardinals season,Harold Goodwin,Harold Goodwin,1,named,* Offensive coordinator/offensive line – [[Harold Goodwin (American football),,unknown_no_source,
2013,ATL,2013 Atlanta Falcons season,Dirk Koetter,Dirk Koetter,1,named,* Offensive coordinator – [[Dirk Koetter,,unknown_no_source,
2013,BAL,2013 Baltimore Ravens season,Jim Caldwell,Jim Caldwell,1,named,* Offensive coordinator – [[Jim Caldwell (American football),,unknown_no_source,
2013,BUF,2013 Buffalo Bills season,Nathaniel Hackett,Nathaniel Hackett,1,named,*Offensive coordinator – [[Nathaniel Hackett,,unknown_no_source,
2013,CAR,2013 Carolina Panthers season,Mike Shula,Mike Shula,1,named,* Offensive coordinator – [[Mike Shula,,unknown_no_source,
2013,CHI,2013 Chicago Bears season,Aaron Kromer,Aaron Kromer,1,named,* Offensive coordinator/offensive line – [[Aaron Kromer,,unknown_no_source,
2013,CIN,2013 Cincinnati Bengals season,Jay Gruden,Jay Gruden,1,named,* Offensive coordinator – [[Jay Gruden,,unknown_no_source,
2013,CLE,2013 Cleveland Browns season,Norv Turner,Norv Turner,1,named,* Offensive coordinator – [[Norv Turner,,unknown_no_source,
2013,DAL,2013 Dallas Cowboys season,Bill Callahan,Bill Callahan,1,named,*Offensive coordinator/offensive line – [[Bill Callahan (American football coach),,unknown_no_source,
2013,DEN,2013 Denver Broncos season,Adam Gase,Adam Gase,1,named,* Offensive coordinator – [[Adam Gase,,unknown_no_source,
2013,DET,2013 Detroit Lions season,Scott Linehan,Scott Linehan,1,named,*Offensive coordinator – [[Scott Linehan,,unknown_no_source,
2013,GB,2013 Green Bay Packers season,Tom Clements,Tom Clements,1,named,* Offensive coordinator – [[Tom Clements,,unknown_no_source,
2013,HOU,2013 Houston Texans season,Rick Dennison,Rick Dennison,1,named,* Offensive coordinator – [[Rick Dennison,,unknown_no_source,
2013,IND,2013 Indianapolis Colts season,Pep Hamilton,Pep Hamilton,1,named,*Offensive coordinator – [[Pep Hamilton,,unknown_no_source,
2013,JAX,2013 Jacksonville Jaguars season,Jedd Fisch,Jedd Fisch,1,named,* Offensive coordinator – [[Jedd Fisch,,unknown_no_source,
2013,KC,2013 Kansas City Chiefs season,Doug Pederson,Doug Pederson,1,named,* Offensive coordinator – [[Doug Pederson,,unknown_no_source,
2013,LA,2013 St. Louis Rams season,Brian Schottenheimer,Brian Schottenheimer,1,named,* Offensive coordinator – [[Brian Schottenheimer,,unknown_no_source,
2013,LAC,2013 San Diego Chargers season,Ken Whisenhunt,Ken Whisenhunt,1,named,* Offensive coordinator – [[Ken Whisenhunt,,unknown_no_source,
2013,LV,2013 Oakland Raiders season,Greg Olson,Greg Olson,1,named,* Offensive coordinator – [[Greg Olson (American football),,unknown_no_source,
2013,MIA,2013 Miami Dolphins season,Mike Sherman,Mike Sherman,1,named,* Offensive coordinator – [[Mike Sherman,,unknown_no_source,
2013,MIN,2013 Minnesota Vikings season,Bill Musgrave,Bill Musgrave,1,named,* Offensive coordinator – [[Bill Musgrave,,unknown_no_source,
2013,NE,2013 New England Patriots season,Josh McDaniels,Josh McDaniels,1,named,* Offensive coordinator/quarterbacks – [[Josh McDaniels,,unknown_no_source,
2013,NO,2013 New Orleans Saints season,"Pete Carmichael, Jr.","Pete Carmichael, Jr.",1,named,"* Offensive coordinator – [[Pete Carmichael, Jr.",,unknown_no_source,
2013,NYG,2013 New York Giants season,Kevin Gilbride,Kevin Gilbride,1,named,* Offensive coordinator – [[Kevin Gilbride,,unknown_no_source,
2013,NYJ,2013 New York Jets season,,Ledger|Marty Mornhinweg,2,ambiguous_multi,"*Offensive coordinator [[Tony Sparano]] was fired on January 7, 2013.<ref>{{cite news|title=Tony Sparano fired as Jets offensive coordinator, report says |url=h",,unknown_no_source,
2013,PHI,2013 Philadelphia Eagles season,Pat Shurmur,Pat Shurmur,1,named,* Offensive coordinator – [[Pat Shurmur,,unknown_no_source,
2013,PIT,2013 Pittsburgh Steelers season,Todd Haley,Todd Haley,1,named,* Offensive coordinator – [[Todd Haley,,unknown_no_source,
2013,SEA,2013 Seattle Seahawks season,Darrell Bevell,Darrell Bevell,1,named,*Offensive coordinator – [[Darrell Bevell,,unknown_no_source,
2013,SF,2013 San Francisco 49ers season,Greg Roman,Greg Roman,1,named,* Offensive coordinator – [[Greg Roman,,unknown_no_source,
2013,TB,2013 Tampa Bay Buccaneers season,Mike Sullivan,Mike Sullivan,1,named,* Offensive coordinator – [[Mike Sullivan (American football coach),,unknown_no_source,
2013,TEN,2013 Tennessee Titans season,Dowell Loggains,Dowell Loggains,1,named,* Offensive coordinator – [[Dowell Loggains,,unknown_no_source,
2013,WAS,2013 Washington Redskins season,Kyle Shanahan,Kyle Shanahan,1,named,* Offensive coordinator – [[Kyle Shanahan,,unknown_no_source,
2014,ARI,2014 Arizona Cardinals season,Harold Goodwin,Harold Goodwin,1,named,* Offensive coordinator/offensive line – [[Harold Goodwin (American football),,unknown_no_source,
2014,ATL,2014 Atlanta Falcons season,Dirk Koetter,Dirk Koetter,1,named,* Offensive coordinator – [[Dirk Koetter,,unknown_no_source,
2014,BAL,2014 Baltimore Ravens season,Gary Kubiak,Gary Kubiak,1,named,* Offensive coordinator – [[Gary Kubiak,,unknown_no_source,
2014,BUF,2014 Buffalo Bills season,Nathaniel Hackett,Nathaniel Hackett,1,named,*Offensive coordinator – [[Nathaniel Hackett,,unknown_no_source,
2014,CAR,2014 Carolina Panthers season,Mike Shula,Mike Shula,1,named,* Offensive coordinator – [[Mike Shula,,unknown_no_source,
