season,posteam,drives,ppd_buggy,ppd_fixed,rz,rztd_buggy,rztd_fixed,ppd_delta,rz_rate_buggy,rz_rate_fixed,rz_delta,rank_buggy,rank_fixed,rank_moved
2014,ARI,187,1.7005347593582887,1.4759358288770053,55,32,27,-0.22459893048128343,0.5818181818181818,0.4909090909090909,-0.09090909090909088,26.0,27.0,1.0
2014,ATL,181,2.287292817679558,1.977900552486188,59,42,39,-0.30939226519337026,0.711864406779661,0.6610169491525424,-0.05084745762711862,10.0,10.0,0.0
2014,BAL,187,2.1871657754010694,2.1122994652406417,79,46,44,-0.07486631016042766,0.5822784810126582,0.5569620253164557,-0.025316455696202556,11.0,8.0,3.0
2014,BUF,203,1.7241379310344827,1.5517241379310345,65,35,31,-0.17241379310344818,0.5384615384615384,0.47692307692307695,-0.061538461538461486,25.0,24.0,1.0
2014,CAR,185,1.9837837837837837,1.718918918918919,62,36,33,-0.2648648648648648,0.5806451612903226,0.532258064516129,-0.048387096774193616,17.0,17.0,0.0
2014,CHI,184,1.8315217391304348,1.6793478260869565,58,41,39,-0.15217391304347827,0.7068965517241379,0.6724137931034483,-0.03448275862068961,20.0,18.0,2.0
2014,CIN,193,2.0,1.854922279792746,69,40,39,-0.14507772020725396,0.5797101449275363,0.5652173913043478,-0.01449275362318847,16.0,15.0,1.0
2014,CLE,200,1.53,1.39,58,32,29,-0.14000000000000012,0.5517241379310345,0.5,-0.051724137931034475,29.0,28.0,1.0
2014,DAL,183,2.6939890710382515,2.4644808743169397,76,56,53,-0.22950819672131173,0.7368421052631579,0.6973684210526315,-0.03947368421052633,2.0,2.0,0.0
2014,DEN,202,2.4702970297029703,2.262376237623762,83,58,55,-0.2079207920792081,0.6987951807228916,0.6626506024096386,-0.03614457831325302,4.0,4.0,0.0
2014,DET,186,1.7634408602150538,1.6505376344086022,58,35,33,-0.11290322580645151,0.603448275862069,0.5689655172413793,-0.03448275862068961,24.0,20.0,4.0
2014,GB,176,2.852272727272727,2.534090909090909,87,59,53,-0.3181818181818179,0.6781609195402298,0.6091954022988506,-0.06896551724137923,1.0,1.0,0.0
2014,HOU,201,1.935323383084577,1.6567164179104477,66,40,34,-0.2786069651741294,0.6060606060606061,0.5151515151515151,-0.09090909090909094,19.0,19.0,0.0
2014,IND,209,2.397129186602871,2.1626794258373208,83,53,51,-0.23444976076555024,0.6385542168674698,0.6144578313253012,-0.02409638554216864,7.0,7.0,0.0
2014,JAX,198,1.4494949494949494,1.1313131313131313,47,27,24,-0.3181818181818181,0.574468085106383,0.5106382978723404,-0.06382978723404265,30.0,32.0,2.0
2014,KC,178,1.9831460674157304,1.904494382022472,62,40,38,-0.0786516853932584,0.6451612903225806,0.6129032258064516,-0.032258064516129004,18.0,14.0,4.0
2014,LA,194,2.0309278350515463,1.5257731958762886,62,36,31,-0.5051546391752577,0.5806451612903226,0.5,-0.08064516129032262,14.0,25.0,11.0
2014,LAC,178,2.0224719101123596,1.8258426966292134,66,41,37,-0.19662921348314621,0.6212121212121212,0.5606060606060606,-0.06060606060606066,15.0,16.0,1.0
2014,LV,206,1.4320388349514563,1.1941747572815533,38,28,26,-0.23786407766990303,0.7368421052631579,0.6842105263157895,-0.05263157894736836,31.0,31.0,0.0
2014,MIA,188,2.101063829787234,1.952127659574468,81,42,39,-0.14893617021276584,0.5185185185185185,0.48148148148148145,-0.037037037037037035,13.0,11.0,2.0
2014,MIN,183,1.7978142076502732,1.5683060109289617,53,34,29,-0.2295081967213115,0.6415094339622641,0.5471698113207547,-0.09433962264150941,23.0,22.0,1.0
2014,NE,187,2.5828877005347595,2.358288770053476,83,52,48,-0.22459893048128343,0.6265060240963856,0.5783132530120482,-0.048192771084337394,3.0,3.0,0.0
2014,NO,177,2.4180790960451977,2.2598870056497176,78,51,49,-0.1581920903954801,0.6538461538461539,0.6282051282051282,-0.02564102564102566,5.0,5.0,0.0
2014,NYG,196,2.1479591836734695,1.933673469387755,71,44,43,-0.2142857142857144,0.6197183098591549,0.6056338028169014,-0.014084507042253502,12.0,13.0,1.0
2014,NYJ,186,1.6720430107526882,1.521505376344086,61,27,27,-0.15053763440860224,0.4426229508196721,0.4426229508196721,0.0,27.0,26.0,1.0
2014,PHI,216,2.3564814814814814,1.9351851851851851,86,54,45,-0.4212962962962963,0.627906976744186,0.5232558139534884,-0.10465116279069764,8.0,12.0,4.0
2014,PIT,179,2.4022346368715084,2.206703910614525,77,49,44,-0.1955307262569832,0.6363636363636364,0.5714285714285714,-0.06493506493506496,6.0,6.0,0.0
2014,SEA,179,2.3072625698324023,2.111731843575419,73,43,40,-0.1955307262569832,0.589041095890411,0.547945205479452,-0.04109589041095896,9.0,9.0,0.0
2014,SF,183,1.825136612021858,1.5573770491803278,59,33,30,-0.26775956284153013,0.559322033898305,0.5084745762711864,-0.05084745762711862,21.0,23.0,2.0
2014,TB,183,1.6065573770491803,1.3770491803278688,53,31,28,-0.2295081967213115,0.5849056603773585,0.5283018867924528,-0.05660377358490565,28.0,29.0,1.0
2014,TEN,197,1.3705583756345177,1.2284263959390862,49,28,26,-0.14213197969543145,0.5714285714285714,0.5306122448979592,-0.04081632653061218,32.0,30.0,2.0
2014,WAS,195,1.8205128205128205,1.6051282051282052,59,33,33,-0.21538461538461529,0.559322033898305,0.559322033898305,0.0,22.0,21.0,1.0
2018,ARI,193,1.3005181347150259,1.0466321243523315,38,27,24,-0.2538860103626943,0.7105263157894737,0.631578947368421,-0.07894736842105265,32.0,32.0,0.0
2018,ATL,172,2.552325581395349,2.3488372093023258,69,49,47,-0.20348837209302317,0.7101449275362319,0.6811594202898551,-0.02898550724637683,5.0,4.0,1.0
2018,BAL,181,2.2044198895027622,2.0110497237569063,71,41,37,-0.19337016574585597,0.5774647887323944,0.5211267605633803,-0.05633802816901412,13.0,15.0,2.0
2018,BUF,194,1.5824742268041236,1.402061855670103,49,29,29,-0.18041237113402064,0.5918367346938775,0.5918367346938775,0.0,30.0,30.0,0.0
2018,CAR,175,2.2457142857142856,2.2057142857142855,68,46,46,-0.040000000000000036,0.6764705882352942,0.6764705882352942,0.0,12.0,9.0,3.0
2018,CHI,189,2.328042328042328,2.0317460317460316,69,50,44,-0.2962962962962963,0.7246376811594203,0.6376811594202898,-0.08695652173913049,10.0,13.0,3.0
2018,CIN,176,2.1931818181818183,1.9147727272727273,59,45,40,-0.27840909090909105,0.7627118644067796,0.6779661016949152,-0.0847457627118644,14.0,19.0,5.0
2018,CLE,203,1.8571428571428572,1.7881773399014778,62,44,44,-0.06896551724137945,0.7096774193548387,0.7096774193548387,0.0,24.0,22.0,2.0
2018,DAL,171,2.0409356725146197,1.95906432748538,63,36,35,-0.08187134502923965,0.5714285714285714,0.5555555555555556,-0.015873015873015817,21.0,17.0,4.0
2018,DEN,189,1.835978835978836,1.687830687830688,59,39,37,-0.14814814814814814,0.6610169491525424,0.6271186440677966,-0.03389830508474578,25.0,25.0,0.0
2018,DET,176,2.0681818181818183,1.8295454545454546,59,35,33,-0.23863636363636376,0.5932203389830508,0.559322033898305,-0.03389830508474578,20.0,21.0,1.0
2018,GB,182,2.1373626373626373,2.021978021978022,62,41,39,-0.11538461538461542,0.6612903225806451,0.6290322580645161,-0.032258064516129004,15.0,14.0,1.0
2018,HOU,192,2.109375,1.9635416666666667,73,42,38,-0.14583333333333326,0.5753424657534246,0.5205479452054794,-0.0547945205479452,17.0,16.0,1.0
2018,IND,184,2.494565217391304,2.342391304347826,75,52,52,-0.15217391304347805,0.6933333333333334,0.6933333333333334,0.0,6.0,6.0,0.0
2018,JAX,187,1.3315508021390374,1.1818181818181819,48,25,22,-0.14973262032085555,0.5208333333333334,0.4583333333333333,-0.06250000000000006,31.0,31.0,0.0
2018,KC,179,3.2458100558659218,2.9720670391061454,92,71,66,-0.2737430167597763,0.7717391304347826,0.717391304347826,-0.05434782608695654,1.0,1.0,0.0
2018,LA,190,2.8105263157894735,2.5894736842105264,97,61,55,-0.22105263157894717,0.6288659793814433,0.5670103092783505,-0.061855670103092786,3.0,3.0,0.0
