season,team,week,game_id,head_coach,hc_person_id,pc_person_id
1999,ARI,1,1999_01_ARI_PHI,Vince Tobin,vince_tobin,
1999,ATL,1,1999_01_MIN_ATL,Dan Reeves,dan_reeves,
1999,BAL,1,1999_01_BAL_STL,Brian Billick,brian_billick,
1999,BUF,1,1999_01_BUF_IND,Wade Phillips,wade_phillips,
1999,CAR,1,1999_01_CAR_NO,George Seifert,george_seifert,
1999,CHI,1,1999_01_KC_CHI,Dick Jauron,dick_jauron,
1999,CIN,1,1999_01_CIN_TEN,Bruce Coslet,bruce_coslet,
1999,CLE,1,1999_01_PIT_CLE,Chris Palmer,chris_palmer,
1999,DAL,1,1999_01_DAL_WAS,Chan Gailey,chan_gailey,
1999,DEN,1,1999_01_MIA_DEN,Mike Shanahan,mike_shanahan,
1999,DET,1,1999_01_DET_SEA,Bobby Ross,bobby_ross,
1999,GB,1,1999_01_OAK_GB,Ray Rhodes,ray_rhodes,
1999,IND,1,1999_01_BUF_IND,Jim Mora,jim_mora,
1999,JAX,1,1999_01_SF_JAX,Tom Coughlin,tom_coughlin,
1999,KC,1,1999_01_KC_CHI,Gunther Cunningham,gunther_cunningham,
1999,LA,1,1999_01_BAL_STL,Dick Vermeil,dick_vermeil,
1999,LV,1,1999_01_OAK_GB,Jon Gruden,jon_gruden,
1999,MIA,1,1999_01_MIA_DEN,Jimmy Johnson,jimmy_johnson,
1999,MIN,1,1999_01_MIN_ATL,Dennis Green,dennis_green,
1999,NE,1,1999_01_NE_NYJ,Pete Carroll,pete_carroll,
1999,NO,1,1999_01_CAR_NO,Mike Ditka,mike_ditka,
1999,NYG,1,1999_01_NYG_TB,Jim Fassel,jim_fassel,
1999,NYJ,1,1999_01_NE_NYJ,Bill Parcells,bill_parcells,
1999,PHI,1,1999_01_ARI_PHI,Andy Reid,andy_reid,
1999,PIT,1,1999_01_PIT_CLE,Bill Cowher,bill_cowher,
1999,SEA,1,1999_01_DET_SEA,Mike Holmgren,mike_holmgren,
1999,SF,1,1999_01_SF_JAX,Steve Mariucci,steve_mariucci,
1999,TB,1,1999_01_NYG_TB,Tony Dungy,tony_dungy,
1999,TEN,1,1999_01_CIN_TEN,Jeff Fisher,jeff_fisher,
1999,WAS,1,1999_01_DAL_WAS,Norv Turner,norv_turner,
1999,ARI,2,1999_02_ARI_MIA,Vince Tobin,vince_tobin,
1999,ATL,2,1999_02_ATL_DAL,Dan Reeves,dan_reeves,
1999,BAL,2,1999_02_PIT_BAL,Brian Billick,brian_billick,
1999,BUF,2,1999_02_NYJ_BUF,Wade Phillips,wade_phillips,
1999,CAR,2,1999_02_JAX_CAR,George Seifert,george_seifert,
1999,CHI,2,1999_02_SEA_CHI,Dick Jauron,dick_jauron,
1999,CIN,2,1999_02_SD_CIN,Bruce Coslet,bruce_coslet,
1999,CLE,2,1999_02_CLE_TEN,Chris Palmer,chris_palmer,
