season,week,team,head_coach,game_id
1999,1,ARI,Vince Tobin,1999_01_ARI_PHI
1999,1,ATL,Dan Reeves,1999_01_MIN_ATL
1999,1,BAL,Brian Billick,1999_01_BAL_STL
1999,1,BUF,Wade Phillips,1999_01_BUF_IND
1999,1,CAR,George Seifert,1999_01_CAR_NO
1999,1,CHI,Dick Jauron,1999_01_KC_CHI
1999,1,CIN,Bruce Coslet,1999_01_CIN_TEN
1999,1,CLE,Chris Palmer,1999_01_PIT_CLE
1999,1,DAL,Chan Gailey,1999_01_DAL_WAS
1999,1,DEN,Mike Shanahan,1999_01_MIA_DEN
1999,1,DET,Bobby Ross,1999_01_DET_SEA
1999,1,GB,Ray Rhodes,1999_01_OAK_GB
1999,1,IND,Jim Mora,1999_01_BUF_IND
1999,1,JAX,Tom Coughlin,1999_01_SF_JAX
1999,1,KC,Gunther Cunningham,1999_01_KC_CHI
1999,1,LA,Dick Vermeil,1999_01_BAL_STL
1999,1,LV,Jon Gruden,1999_01_OAK_GB
1999,1,MIA,Jimmy Johnson,1999_01_MIA_DEN
1999,1,MIN,Dennis Green,1999_01_MIN_ATL
1999,1,NE,Pete Carroll,1999_01_NE_NYJ
1999,1,NO,Mike Ditka,1999_01_CAR_NO
1999,1,NYG,Jim Fassel,1999_01_NYG_TB
1999,1,NYJ,Bill Parcells,1999_01_NE_NYJ
1999,1,PHI,Andy Reid,1999_01_ARI_PHI
1999,1,PIT,Bill Cowher,1999_01_PIT_CLE
1999,1,SEA,Mike Holmgren,1999_01_DET_SEA
1999,1,SF,Steve Mariucci,1999_01_SF_JAX
1999,1,TB,Tony Dungy,1999_01_NYG_TB
1999,1,TEN,Jeff Fisher,1999_01_CIN_TEN
1999,1,WAS,Norv Turner,1999_01_DAL_WAS
1999,2,ARI,Vince Tobin,1999_02_ARI_MIA
1999,2,ATL,Dan Reeves,1999_02_ATL_DAL
1999,2,BAL,Brian Billick,1999_02_PIT_BAL
1999,2,BUF,Wade Phillips,1999_02_NYJ_BUF
1999,2,CAR,George Seifert,1999_02_JAX_CAR
1999,2,CHI,Dick Jauron,1999_02_SEA_CHI
1999,2,CIN,Bruce Coslet,1999_02_SD_CIN
1999,2,CLE,Chris Palmer,1999_02_CLE_TEN
1999,2,DAL,Chan Gailey,1999_02_ATL_DAL
1999,2,DEN,Mike Shanahan,1999_02_DEN_KC
1999,2,DET,Bobby Ross,1999_02_GB_DET
1999,2,GB,Ray Rhodes,1999_02_GB_DET
1999,2,IND,Jim Mora,1999_02_IND_NE
1999,2,JAX,Tom Coughlin,1999_02_JAX_CAR
1999,2,KC,Gunther Cunningham,1999_02_DEN_KC
1999,2,LAC,Mike Riley,1999_02_SD_CIN
1999,2,LV,Jon Gruden,1999_02_OAK_MIN
1999,2,MIA,Jimmy Johnson,1999_02_ARI_MIA
1999,2,MIN,Dennis Green,1999_02_OAK_MIN
1999,2,NE,Pete Carroll,1999_02_IND_NE
1999,2,NO,Mike Ditka,1999_02_NO_SF
1999,2,NYG,Jim Fassel,1999_02_WAS_NYG
1999,2,NYJ,Bill Parcells,1999_02_NYJ_BUF
1999,2,PHI,Andy Reid,1999_02_TB_PHI
1999,2,PIT,Bill Cowher,1999_02_PIT_BAL
1999,2,SEA,Mike Holmgren,1999_02_SEA_CHI
1999,2,SF,Steve Mariucci,1999_02_NO_SF
1999,2,TB,Tony Dungy,1999_02_TB_PHI
1999,2,TEN,Jeff Fisher,1999_02_CLE_TEN
1999,2,WAS,Norv Turner,1999_02_WAS_NYG
1999,3,ARI,Vince Tobin,1999_03_SF_ARI
1999,3,ATL,Dan Reeves,1999_03_ATL_STL
1999,3,BAL,Brian Billick,1999_03_CLE_BAL
1999,3,BUF,Wade Phillips,1999_03_PHI_BUF
1999,3,CAR,George Seifert,1999_03_CIN_CAR
1999,3,CHI,Dick Jauron,1999_03_CHI_OAK
1999,3,CIN,Bruce Coslet,1999_03_CIN_CAR
1999,3,CLE,Chris Palmer,1999_03_CLE_BAL
1999,3,DEN,Mike Shanahan,1999_03_DEN_TB
1999,3,DET,Bobby Ross,1999_03_DET_KC
1999,3,GB,Ray Rhodes,1999_03_MIN_GB
1999,3,IND,Jim Mora,1999_03_IND_SD
1999,3,JAX,Tom Coughlin,1999_03_TEN_JAX
1999,3,KC,Gunther Cunningham,1999_03_DET_KC
1999,3,LA,Dick Vermeil,1999_03_ATL_STL
1999,3,LAC,Mike Riley,1999_03_IND_SD
1999,3,LV,Jon Gruden,1999_03_CHI_OAK
1999,3,MIN,Dennis Green,1999_03_MIN_GB
1999,3,NE,Pete Carroll,1999_03_NYG_NE
1999,3,NYG,Jim Fassel,1999_03_NYG_NE
1999,3,NYJ,Bill Parcells,1999_03_WAS_NYJ
1999,3,PHI,Andy Reid,1999_03_PHI_BUF
1999,3,PIT,Bill Cowher,1999_03_SEA_PIT
1999,3,SEA,Mike Holmgren,1999_03_SEA_PIT
1999,3,SF,Steve Mariucci,1999_03_SF_ARI
1999,3,TB,Tony Dungy,1999_03_DEN_TB
1999,3,TEN,Jeff Fisher,1999_03_TEN_JAX
1999,3,WAS,Norv Turner,1999_03_WAS_NYJ
1999,4,ARI,Vince Tobin,1999_04_ARI_DAL
1999,4,ATL,Dan Reeves,1999_04_BAL_ATL
1999,4,BAL,Brian Billick,1999_04_BAL_ATL
1999,4,BUF,Wade Phillips,1999_04_BUF_MIA
1999,4,CAR,George Seifert,1999_04_CAR_WAS
1999,4,CHI,Dick Jauron,1999_04_NO_CHI
1999,4,CIN,Bruce Coslet,1999_04_STL_CIN
1999,4,CLE,Chris Palmer,1999_04_NE_CLE
1999,4,DAL,Chan Gailey,1999_04_ARI_DAL
1999,4,DEN,Mike Shanahan,1999_04_NYJ_DEN
1999,4,JAX,Tom Coughlin,1999_04_JAX_PIT
1999,4,KC,Gunther Cunningham,1999_04_KC_SD
1999,4,LA,Dick Vermeil,1999_04_STL_CIN
1999,4,LAC,Mike Riley,1999_04_KC_SD
1999,4,LV,Jon Gruden,1999_04_OAK_SEA
1999,4,MIA,Jimmy Johnson,1999_04_BUF_MIA
1999,4,MIN,Dennis Green,1999_04_TB_MIN
1999,4,NE,Pete Carroll,1999_04_NE_CLE
1999,4,NO,Mike Ditka,1999_04_NO_CHI
1999,4,NYG,Jim Fassel,1999_04_PHI_NYG
1999,4,NYJ,Bill Parcells,1999_04_NYJ_DEN
1999,4,PHI,Andy Reid,1999_04_PHI_NYG
1999,4,PIT,Bill Cowher,1999_04_JAX_PIT
1999,4,SEA,Mike Holmgren,1999_04_OAK_SEA
