season,team_name,evidence,source_url
2013,Dallas Cowboys,Controversy followed the game for the Cowboys giving up a 23-point halftime lead and the play-calling of the coaching staff.,https://en.wikipedia.org/wiki/2013_Dallas_Cowboys_season
2013,New England Patriots,"Brady threw a seemingly game deciding interception with just 2:16 remaining but once again, the Patriots defense managed to hold the Saints to a 3-and-out (mostly due to the Saints erratic play calling).",https://en.wikipedia.org/wiki/2013_New_England_Patriots_season
2014,Indianapolis Colts,{{cite web |last=Wells|first=Mike|title=Bad play call and bad no-call cost Colts|url=https://www.,https://en.wikipedia.org/wiki/2014_Indianapolis_Colts_season
2014,Indianapolis Colts,"com/blog/indianapolis-colts/post/_/id/7678/a-bad-play-call-and-bad-no-call-cost-the-colts|work=ESPN|date=September 16, 2014|access-date=September 21, 2014}} After a three and out on the next Colts possession, the Eagles took possession of the ball at their own forty yard line.",https://en.wikipedia.org/wiki/2014_Indianapolis_Colts_season
2014,New England Patriots,com/nfl/superbowl/history/winners | access-date=2025-01-19}} Pete Carroll suffered severe backlash for failing to change Darrell Bevell's final play call on the goal line.,https://en.wikipedia.org/wiki/2014_New_England_Patriots_season
2015,Green Bay Packers,This was the first game Mike McCarthy took back play-calling duties after relinquishing it to Tom Clements.,https://en.wikipedia.org/wiki/2015_Green_Bay_Packers_season
2015,Green Bay Packers,{{Cite web|title=Mike McCarthy takes back Packers' playcalling duties|url=https://www.,https://en.wikipedia.org/wiki/2015_Green_Bay_Packers_season
2015,Green Bay Packers,com/news/mike-mccarthy-takes-back-packers-playcalling-duties-0ap3000000599611|website=NFL.,https://en.wikipedia.org/wiki/2015_Green_Bay_Packers_season
2015,Green Bay Packers,"com|date=December 13, 2015}}{{Cite web|title=Mike McCarthy calls plays for offense in win over Cowboys|url=https://www.",https://en.wikipedia.org/wiki/2015_Green_Bay_Packers_season
2015,Green Bay Packers,com/nfl/story/_/id/14356004/mike-mccarthy-green-bay-packers-coach-reclaims-play-calling-responsibilities|website=[[ESPN.,https://en.wikipedia.org/wiki/2015_Green_Bay_Packers_season
2015,Indianapolis Colts,"This game was notorious for a terrible playcall by the Colts, now known as the Colts Catastrophe.",https://en.wikipedia.org/wiki/2015_Indianapolis_Colts_season
2015,Indianapolis Colts,The playcall was universally criticized and was considered by many to be the worst play in NFL history.,https://en.wikipedia.org/wiki/2015_Indianapolis_Colts_season
2017,Kansas City Chiefs,"During this stretch, the Chiefs offense struggled, leading to head coach Andy Reid giving play calling duties during games to offensive coordinator Matt Nagy.",https://en.wikipedia.org/wiki/2017_Kansas_City_Chiefs_season
2018,Carolina Panthers,"Ron Rivera would also take over defensive play calling duties, although Washington would retain the title of defensive coordinator.",https://en.wikipedia.org/wiki/2018_Carolina_Panthers_season
2018,Chicago Bears,"html|title=5 observations from rewatching Bears-Packers, including Mitch Trubisky's inconsistencies and Matt Nagy's play-calling|newspaper=Chicago Tribune|date=September 11, 2018|access-date=December 3, 2018}} Chicago eventually scored on a two-yard touchdown run by Trubisky to cap off an 86-yard series.",https://en.wikipedia.org/wiki/2018_Chicago_Bears_season
2018,Chicago Bears,""" Chicago increased the lead on the ensuing drive on a trick play called ""Santa's Sleigh"": Trubisky faked the hand-off to Hicks before throwing a two-yard touchdown pass to Bradley Sowell.",https://en.wikipedia.org/wiki/2018_Chicago_Bears_season
