season,team,projection_cutoff,expected_opening_caller_id,eligible_at_cutoff,unknown_reason,fact_known_date,evidence_source_url,evidence_publisher,evidence_source_raw_date,evidence_source_date,evidence_source_precision,evidence_source_upper_bound,evidence_source_class,evidence_statement,conflict_status,n_evidence_items,attributing_source_key,attributing_source_upper_bound,attributing_source_precision,attributing_source_clears_cutoff,recovered_by_targeted_research,research_status,research_complete,retrospective_opening_caller_id,expectation_matched_actual
2014,ARI,2014-09-03,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,not_individually_researched,False,,
2014,ATL,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2014atl,2014-11-25,exact_day,False,False,not_individually_researched,False,dirk_koetter,
2014,BAL,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,balsun2014bal,2014-12-20,exact_day,False,False,not_individually_researched,False,gary_kubiak,
2014,BUF,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2016jax,2016-10-29,exact_day,False,False,not_individually_researched,False,nathaniel_hackett,
2014,CAR,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2015car,2016-01-20,exact_day,False,False,not_individually_researched,False,mike_shula,
2014,CHI,2014-09-03,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,not_individually_researched,False,,
2014,CIN,2014-09-03,hue_jackson,True,,2014-01-09,https://nfl.com/news/story/0ap2000000311090/article/hue-jackson-to-be-cincinnati-bengals-offensive-coordinator,NFL.com,2014-01-09,2014-01-09,exact_day,2014-01-09,attributing_source,"Attributing source, published before the cutoff.",none,1,nfl2014cin,2014-01-09,exact_day,True,False,recovered_eligible,True,hue_jackson,True
2014,CLE,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,cle2014,2014-10-15,exact_day,False,False,not_individually_researched,False,kyle_shanahan,
2014,DAL,2014-09-03,scott_linehan,True,,2014-01-20,https://www.nfl.com/news/dallas-cowboys-hire-scott-linehan-as-play-caller-0ap2000000318629,NFL.com,2014-01-20,2014-01-20,exact_day,2014-01-20,attributing_source,"Attributing source, published before the cutoff.",none,1,nfl2014dal,2014-01-20,exact_day,True,False,recovered_eligible,True,scott_linehan,True
2014,DEN,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2014den,2014-12-31,exact_day,False,False,not_individually_researched,False,adam_gase,
2014,DET,2014-09-03,joe_lombardi,True,,2014-02-07,https://www.cbsnews.com/detroit/news/joe-lombardi-brings-saints-playbook-to-lions-expects-to-call-plays/,CBS Detroit,2014-02-07,2014-02-07,exact_day,2014-02-07,attributing_source,"Attributing source, published before the cutoff.",none,1,cbs2014det,2014-02-07,exact_day,True,False,recovered_eligible,True,joe_lombardi,True
2014,GB,2014-09-03,,False,missing_or_uncertain_date,,,,,,,,,,none,0,fox2015gb,,missing,False,False,not_individually_researched,False,mike_mccarthy,
2014,HOU,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2016hou,2016-09-30,exact_day,False,False,not_individually_researched,False,bill_obrien,
2014,IND,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2016ind,2016-06-14,exact_day,False,False,not_individually_researched,False,pep_hamilton,
2014,JAX,2014-09-03,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,not_individually_researched,False,,
2014,KC,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2017kc,2017-12-03,exact_day,False,False,not_individually_researched,False,andy_reid,
2014,LA,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,nbc2014la,2014-12-31,exact_day,False,False,not_individually_researched,False,brian_schottenheimer,
2014,LAC,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,fox2016lac,2016-01-18,exact_day,False,False,not_individually_researched,False,frank_reich,
2014,LV,2014-09-03,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,not_individually_researched,False,,
2014,MIA,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2015mia,2015-11-30,exact_day,False,False,not_individually_researched,False,bill_lazor,
2014,MIN,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,vikings2016min,2016-11-02,exact_day,False,False,not_individually_researched,False,norv_turner,
2014,NE,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2015ne,2015-02-02,exact_day,False,False,not_individually_researched,False,josh_mcdaniels,
2014,NO,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2016nopc,2016-09-13,exact_day,False,False,not_individually_researched,False,sean_payton,
2014,NYG,2014-09-03,ben_mcadoo,True,,2014-01-14,https://www.giants.com/news/ben-mcadoo-named-offensive-coordinator-12437489,New York Giants (official),2014-01-14,2014-01-14,exact_day,2014-01-14,attributing_source,"Attributing source, published before the cutoff.",none,1,giants2014nyg,2014-01-14,exact_day,True,False,recovered_eligible,True,ben_mcadoo,True
2014,NYJ,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,nbc2014nyj,2014-09-15,exact_day,False,False,not_individually_researched,False,marty_mornhinweg,
2014,PHI,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2014phi,2014-09-30,exact_day,False,False,not_individually_researched,False,chip_kelly,
2014,PIT,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2018pit,2018-01-17,exact_day,False,False,not_individually_researched,False,todd_haley,
2014,SEA,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2015sb49,2015-02-02,exact_day,False,False,not_individually_researched,False,darrell_bevell,
2014,SF,2014-09-03,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,not_individually_researched,False,,
2014,TB,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,si2014tb,2014-12-05,exact_day,False,False,not_individually_researched,False,marcus_arroyo,
2014,TEN,2014-09-03,ken_whisenhunt,True,,2014-01-17,https://nfl.com/news/story/0ap2000000314683/article/jason-michael-hired-as-tennessee-titans-oc,NFL.com,2014-01-17,2014-01-17,exact_day,2014-01-17,attributing_source,"Attributing source, published before the cutoff.",none,1,nfl2014ten,2014-01-17,exact_day,True,False,recovered_eligible,True,ken_whisenhunt,True
2014,WAS,2014-09-03,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2017was,2017-01-12,exact_day,False,False,not_individually_researched,False,jay_gruden,
2015,ARI,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2016ari,2016-08-12,exact_day,False,False,not_individually_researched,False,bruce_arians,
2015,ATL,2015-09-09,kyle_shanahan,True,,2015-01-18,https://www.nfl.com/news/atlanta-falcons-plan-to-hire-dan-quinn-kyle-shanahan-0ap3000000459983,NFL.com,2015-01-18,2015-01-18,exact_day,2015-01-18,attributing_source,"Attributing source, published before the cutoff.",none,1,nfl2015atl,2015-01-18,exact_day,True,False,recovered_eligible,True,kyle_shanahan,True
2015,BAL,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,ravens2016bal,2016-10-10,exact_day,False,False,not_individually_researched,False,marc_trestman,
2015,BUF,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2016buf,2016-09-16,exact_day,False,False,not_individually_researched,False,greg_roman,
2015,CAR,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2015car,2016-01-20,exact_day,False,False,not_individually_researched,False,mike_shula,
2015,CHI,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2015chi,2015-11-20,exact_day,False,False,not_individually_researched,False,adam_gase,
2015,CIN,2015-09-09,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,not_individually_researched,False,,
2015,CLE,2015-09-09,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,not_individually_researched,False,,
2015,DAL,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,ringer2019dal_linehan,2019-08-15,exact_day,False,False,not_individually_researched,False,scott_linehan,
2015,DEN,2015-09-09,gary_kubiak,True,,2015-08-13,https://www.espn.com/blog/denver-broncos/post/_/id/14196/gary-kubiak-outlines-how-play-calling-will-go-for-broncos,ESPN,2015-08-13,2015-08-13,exact_day,2015-08-13,attributing_source,"Attributing source, published before the cutoff.",none,1,espn2015den,2015-08-13,exact_day,True,False,recovered_eligible,True,gary_kubiak,True
2015,DET,2015-09-09,,False,missing_or_uncertain_date,,,,,,,,,,none,0,,,missing,False,False,not_individually_researched,False,joe_lombardi,
2015,GB,2015-09-09,,False,missing_or_uncertain_date,,,,,,,,,,none,0,,,missing,False,False,not_individually_researched,False,tom_clements,
2015,HOU,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2016hou,2016-09-30,exact_day,False,False,not_individually_researched,False,george_godsey,
2015,IND,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2016ind,2016-06-14,exact_day,False,False,not_individually_researched,False,pep_hamilton,
2015,JAX,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2016jax,2016-10-29,exact_day,False,False,not_individually_researched,False,greg_olson,
2015,KC,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2017kc,2017-12-03,exact_day,False,False,not_individually_researched,False,andy_reid,
2015,LA,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,yahoo2015la,2015-12-07,exact_day,False,False,not_individually_researched,False,frank_cignetti,
2015,LAC,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,fox2016lac,2016-01-18,exact_day,False,False,not_individually_researched,False,frank_reich,
2015,LV,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,cbs2017lv,2017-01-10,exact_day,False,False,not_individually_researched,False,bill_musgrave,
2015,MIA,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2015mia,2015-11-30,exact_day,False,False,not_individually_researched,False,bill_lazor,
2015,MIN,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,vikings2016min,2016-11-02,exact_day,False,False,not_individually_researched,False,norv_turner,
2015,NE,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,ne2016afc,2016-01-25,exact_day,False,False,not_individually_researched,False,josh_mcdaniels,
2015,NO,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2016nopc,2016-09-13,exact_day,False,False,not_individually_researched,False,sean_payton,
2015,NYG,2015-09-09,ben_mcadoo,True,,2014-01-14,https://www.giants.com/news/ben-mcadoo-named-offensive-coordinator-12437489,New York Giants (official),2014-01-14,2014-01-14,exact_day,2014-01-14,attributing_source,"Attributing source, published before the cutoff.",none,1,giants2014nyg,2014-01-14,exact_day,True,False,recovered_eligible,True,ben_mcadoo,True
2015,NYJ,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2017nyj,2017-01-03,exact_day,False,False,not_individually_researched,False,chan_gailey,
2015,PHI,2015-09-09,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2015phi,2015-09-12,exact_day,False,False,not_individually_researched,False,chip_kelly,
