source_key,source_kind,publisher,source_date,source_date_raw,source_date_precision,source_date_lower_bound,source_date_upper_bound,source_date_provenance,source_date_note,seasons,url,note
balsun2014bal,per_row,Baltimore Sun,2014-12-20,2014-12-20,exact_day,2014-12-20,2014-12-20,page_byline,full date established from the article byline or page metadata at the time the source was read,event,http://www.baltimoresun.com/sports/bs-sp-ravens-kubiak-flacco-1221-20141219-story.html,
bucs2016tb,per_row,Tampa Bay Buccaneers (official),2016-01-18,2016-01-18,exact_day,2016-01-18,2016-01-18,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.buccaneers.com/news/dirk-koetter-to-retain-play-calling-duties-16704120,
cbs2014det,per_row,CBS Detroit,2014-02-07,2014-02-07,exact_day,2014-02-07,2014-02-07,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.cbsnews.com/detroit/news/joe-lombardi-brings-saints-playbook-to-lions-expects-to-call-plays/,
cbs2017kc,season_table,CBS Sports,2017-12-03,2017-12-03,exact_day,2017-12-03,2017-12-03,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.cbssports.com/nfl/news/andy-reid-reportedly-cedes-play-calling-duties-to-offensive-coordinator-matt-nagy/,"Reid handed play-calling to Nagy for the Week 13 Jets game, retaining oversight."
cbs2017lv,per_row,CBS Sacramento,2017-01-10,2017-01-10,exact_day,2017-01-10,2017-01-10,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.cbsnews.com/sacramento/news/oakland-raiders-replacing-offensive-coordinator-bill-musgrave/,
cbs2020nyj,per_row,CBS Sports,2020-10-26,2020-10-26,exact_day,2020-10-26,2020-10-26,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.cbssports.com/nfl/news/adam-gase-explains-why-he-gave-up-play-calling-duties-for-the-first-time-as-jets-fell-to-0-7,
cbs2020ten,per_row,CBS Sports,2020-01-19,2020-01-19,exact_day,2020-01-19,2020-01-19,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.cbssports.com/nfl/news/arthur-smiths-ascent-as-titans-offensive-coordinator-in-2019-hasnt-surprised-the-organization,
cbs2022phi,season_table,CBS Sports,,,missing,,,inferred,"Stored 2022-01-01 was an inferred placeholder; no byline was ever captured. Treated as MISSING -> never eligible without separate dated evidence. It remains valid as historical attribution evidence (it is a CONFLICT marker, not an attribution).",event,https://www.cbssports.com/nfl/news/eagles-shane-steichen-takes-over-full-time-play-calling-duties-under-nick-sirianni-for-2022,Reports Steichen took full-time play-calling for 2022 -- CONFLICTS with Yardbarker 2022.
cle2014,per_row,Cleveland Browns (official),2014-10-15,2014-10-15,exact_day,2014-10-15,2014-10-15,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.clevelandbrowns.com/news/brian-hoyer-and-kyle-shanahan-constantly-swapping-ideas-14011288,
espn2014atl,per_row,ESPN,2014-11-25,2014-11-25,exact_day,2014-11-25,2014-11-25,page_byline,full date established from the article byline or page metadata at the time the source was read,event,http://www.espn.com/blog/nfcsouth/post/_/id/58793/falcons-oc-dirk-koetter-on-third-down-call-sure-wed-change-it,
espn2014den,per_row,ESPN,2014-12-31,2014-12-31,exact_day,2014-12-31,2014-12-31,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/playoffs/2014/story/_/id/12104203/peyton-manning-denver-broncos-backs-adam-gase-jobs,
espn2014phi,per_row,ESPN,2014-09-30,2014-09-30,exact_day,2014-09-30,2014-09-30,page_byline,full date established from the article byline or page metadata at the time the source was read,event,http://www.espn.com/blog/philadelphia-eagles/post/_/id/8119/second-guessing-chip-kellys-play-calls-at-the-goal-line,
espn2015car,per_row,ESPN,2016-01-20,2016-01-20,exact_day,2016-01-20,2016-01-20,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/carolina-panthers/post/_/id/21536/genius-mike-shula-focused-on-keeping-cam-newton-panthers-offense-unpredictable,
espn2015chi,per_row,ESPN,2015-11-20,2015-11-20,exact_day,2015-11-20,2015-11-20,page_byline,full date established from the article byline or page metadata at the time the source was read,event,http://www.espn.com/blog/chicago-bears/post/_/id/4700924/adam-gase-jay-cutler-key-parts-of-bears-resurgence,
espn2015den,per_row,ESPN,2015-08-13,2015-08-13,exact_day,2015-08-13,2015-08-13,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/denver-broncos/post/_/id/14196/gary-kubiak-outlines-how-play-calling-will-go-for-broncos,
espn2015mia,per_row,ESPN,2015-11-30,2015-11-30,exact_day,2015-11-30,2015-11-30,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/14258236/miami-dolphins-fire-offensive-coordinator-bill-lazor-promote-zac-taylor,
espn2015ne,per_row,ESPN,2015-02-02,2015-02-02,exact_day,2015-02-02,2015-02-02,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://africa.espn.com/nfl/playoffs/2014/story/_/page/lastcall-superbowlxlix/seattle-seahawks-last-call-memorable-moments-super-bowl-xlix-clayton-last-call,
espn2015phi,per_row,ESPN,2015-09-12,2015-09-12,exact_day,2015-09-12,2015-09-12,page_byline,full date established from the article byline or page metadata at the time the source was read,event,http://www.espn.com/nfl/story/_/id/13637802/pat-shurmur-philadelphia-eagles-prefers-stay-spotlight-nfl,
espn2015sb49,per_row,ESPN,2015-02-02,2015-02-02,exact_day,2015-02-02,2015-02-02,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/playoffs/2014/story/_/id/12266535/super-bowl-xlix-darrell-bevell-seattle-seahawks-play-call-made-kill-clock,
espn2015ten,per_row,ESPN,2015-11-03,2015-11-03,exact_day,2015-11-03,2015-11-03,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/tennessee-titans/post/_/id/16730/rookie-play-caller-jason-michael-about-to-debut-for-titans,
espn2016ari,per_row,ESPN,2016-08-12,2016-08-12,exact_day,2016-08-12,2016-08-12,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/arizona-cardinals/post/_/id/21412/harold-goodwin-to-call-cardinals-plays-knows-bruce-arians-will-be-watching,
espn2016buf,per_row,ESPN,2016-09-16,2016-09-16,exact_day,2016-09-16,2016-09-16,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/17565671/rex-ryan-firing-buffalo-bills-offensive-coordinator-my-move,
espn2016det,per_row,ESPN,2016-01-05,2016-01-05,exact_day,2016-01-05,2016-01-05,page_byline,full date established from the article byline or page metadata at the time the source was read,event,http://www.espn.com/blog/detroit-lions/post/_/id/21523/matthew-staffords-last-eight-games-gave-answers-about-his-lions-future,
espn2016hou,per_row,ESPN,2016-09-30,2016-09-30,exact_day,2016-09-30,2016-09-30,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/17676861/houston-texans-coach-bill-obrien-take-play-calling-duties-offense,
espn2016ind,per_row,ESPN,2016-06-14,2016-06-14,exact_day,2016-06-14,2016-06-14,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/indianapolis-colts/post/_/id/17058/colts-oc-rob-chudzinski-putting-his-prints-on-offense-in-first-full-season,
espn2016jax,per_row,ESPN,2016-10-29,2016-10-29,exact_day,2016-10-29,2016-10-29,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/17919123/jacksonville-jaguars-fire-offensive-coordinator-greg-olson-promote-qb-coach-nathaniel-hackett,
espn2016no,per_row,ESPN,2016-09-14,2016-09-14,exact_day,2016-09-14,2016-09-14,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/espn/wire/_/section/nfl/id/17549941,
espn2016nopc,per_row,ESPN,2016-09-13,2016-09-13,exact_day,2016-09-13,2016-09-13,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/blog/new-orleans-saints/post/_/id/23341/sean-payton-not-earth-shattering-that-pete-carmichael-jr-now-calls-plays,
espn2017,season_table,ESPN,2017-11-15,2017-11-15,exact_day,2017-11-15,2017-11-15,page_byline,full date established from the article byline or page metadata at the time the source was read,2017,https://www.espn.com/nfl/story/_/page/32for32x17115/nfl-2017-playcallers-all-32-nfl-teams-how-their-offense-ranks,"'The playcallers for all 32 teams and where their offenses rank' — all 32, 2017."
espn2017kc,per_row,ESPN,2017-12-03,2017-12-03,exact_day,2017-12-03,2017-12-03,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/21651814/andy-reid-kansas-city-chiefs-gives-playcalling-duty,
espn2017ne,per_row,ESPN,2017-02-06,2017-02-06,exact_day,2017-02-06,2017-02-06,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://africa.espn.com/nfl/story/_/id/18628898/how-new-england-patriots-converted-two-point-tries-super-bowl-li,
espn2017nygsull,per_row,ESPN,2017-10-19,2017-10-19,exact_day,2017-10-19,2017-10-19,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story?id=21082776,
espn2017nyj,per_row,ESPN,2017-01-03,2017-01-03,exact_day,2017-01-03,2017-01-03,page_byline,full date established from the article byline or page metadata at the time the source was read,event,https://www.espn.com/nfl/story/_/id/18400965/chan-gailey-new-york-jets-retires-5-other-assistants-fired,
