season,team,status,reason,blocks_gate
2014,ARI,unknown_no_source,no qualifying 32-team source located for this season,PRIOR 2014-2017
2014,CHI,unknown_no_source,no qualifying 32-team source located for this season,PRIOR 2014-2017
2014,JAX,unknown_no_source,no qualifying 32-team source located for this season,PRIOR 2014-2017
2014,LV,unknown_no_source,no qualifying 32-team source located for this season,PRIOR 2014-2017
2014,SF,unresolved,no qualifying 32-team source located for this season,PRIOR 2014-2017
2015,CIN,unknown_no_source,no qualifying 32-team source located for this season,PRIOR 2014-2017
2015,CLE,unknown_no_source,no qualifying 32-team source located for this season,PRIOR 2014-2017
2016,CHI,unknown_no_source,no qualifying 32-team source located for this season,PRIOR 2014-2017
2016,CIN,unknown_no_source,no qualifying 32-team source located for this season,PRIOR 2014-2017
2016,DEN,unknown_no_source,no qualifying 32-team source located for this season,PRIOR 2014-2017
2016,LAC,unknown_no_source,no qualifying 32-team source located for this season,PRIOR 2014-2017
2016,NO,unresolved,no qualifying 32-team source located for this season,PRIOR 2014-2017
2019,ARI,unknown_no_source,no qualifying 32-team source located for this season,OUTER 2018-2025
2019,ATL,unknown_no_source,no qualifying 32-team source located for this season,OUTER 2018-2025
2019,BAL,unknown_no_source,no qualifying 32-team source located for this season,OUTER 2018-2025
2019,BUF,unknown_no_source,no qualifying 32-team source located for this season,OUTER 2018-2025
2019,DET,unknown_no_source,no qualifying 32-team source located for this season,OUTER 2018-2025
2019,NE,unknown_no_source,no qualifying 32-team source located for this season,OUTER 2018-2025
2019,NO,unknown_no_source,no qualifying 32-team source located for this season,OUTER 2018-2025
2019,NYG,unknown_no_source,no qualifying 32-team source located for this season,OUTER 2018-2025
2021,DET,unresolved_midseason,Lynn stripped of play-calling after an 0-8 start; successor not reliably attributable -> ambiguous.,OUTER 2018-2025
2021,MIA,unresolved,co-play-callers George Godsey / Eric Studesville; no single attributable person,OUTER 2018-2025
2022,NE,unresolved,Matt Patricia / Joe Judge shared offensive duties; no single attributable play-caller,OUTER 2018-2025
2022,PHI,unresolved,"CONFLICT: Yardbarker names Nick Sirianni, CBS reports Shane Steichen took full-time play-calling for 2022",OUTER 2018-2025
