season,team,projection_cutoff,expected_opening_caller_id,eligible_at_cutoff,unknown_reason,fact_known_date,evidence_source_url,evidence_publisher,evidence_source_raw_date,evidence_source_date,evidence_source_precision,evidence_source_upper_bound,evidence_source_class,evidence_statement,conflict_status,n_evidence_items,attributing_source_key,attributing_source_upper_bound,attributing_source_precision,attributing_source_clears_cutoff,recovered_by_targeted_research,research_status,research_complete,retrospective_opening_caller_id,expectation_matched_actual
2018,CLE,2018-09-05,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,newsweek2018cle,2018-10-29,exact_day,False,False,not_individually_researched,False,todd_haley,
2019,ARI,2019-09-04,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,source_date_unverifiable,True,,
2019,ATL,2019-09-04,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,source_date_unverifiable,True,,
2019,BAL,2019-09-04,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,searched_no_qualifying_source,True,,
2019,BUF,2019-09-04,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,searched_no_qualifying_source,True,,
2019,CHI,2019-09-04,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2020chi,2020-01-13,exact_day,False,False,searched_no_qualifying_source,True,matt_nagy,
2019,CIN,2019-09-04,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2020cin,2020-11-12,exact_day,False,False,source_date_unverifiable,True,zac_taylor,
2019,DEN,2019-09-04,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,si2019den,2019-12-09,exact_day,False,False,source_date_unverifiable,True,rich_scangarello,
2019,DET,2019-09-04,,False,unresolved_historical_attribution,,,,,,,,,,none,0,,,missing,False,False,source_date_unverifiable,True,,
2019,HOU,2019-09-04,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,espn2020hou,2020-02-25,exact_day,False,False,searched_no_qualifying_source,True,bill_obrien,
2019,IND,2019-09-04,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,nbcp2021ind,2021-01-22,exact_day,False,False,searched_no_qualifying_source,True,frank_reich,
2019,JAX,2019-09-04,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,si2020jax,2020-01-16,exact_day,False,False,source_date_unverifiable,True,john_defilippo,
2019,KC,2019-09-04,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,forbes2026kc,2026-01-27,exact_day,False,False,searched_no_qualifying_source,True,andy_reid,
2019,LA,2019-09-04,,False,post_cutoff_evidence_only,,,,,,,,,,none,0,nbcla2019la,2019-09-16,exact_day,False,False,searched_no_qualifying_source,True,sean_mcvay,
2019,LAC,2019-09-04,,False,missing_or_uncertain_date,,,,,,,,,,none,0,,,missing,False,False,searched_no_qualifying_source,True,ken_whisenhunt,
