season,team,week,plays,games,epa_sum,epa_n,succ_sum,succ_n,yds_sum,yds_n,expl_sum,expl_n,pass_sum,neu_pass,neu_n,ear_pass,ear_n,rz_pass,rz_n,proe_sum,proe_n,adot_sum,adot_n,gap_sum,gap_n,drive_pts,drives,rz_td,rz_drives,car_tot,car_RB,car_WR,car_TE,car_QB,tgt_tot,tgt_RB,tgt_WR,tgt_TE,tgt_QB,rzo_tot,rzo_RB,rzo_WR,rzo_TE,rzo_QB
2013,ARI,1,70,1,3.676301265116993,70,34.0,70,390.0,70,3.0,70,44.0,28.0,47.0,30.0,56,4.0,5.0,151.88723653554916,70,385.0,40,1679.0,58,20.0,11,1.0,2.0,26,26,0.0,0.0,0.0,40,5.0,31,3.0,0.0,5.0,2.0,3.0,0.0,0.0
2013,ARI,2,64,1,-9.798835388899752,64,24.0,64,350.0,64,7.0,64,41.0,29.0,45.0,30.0,53,4.0,7.0,26.74044668674469,64,398.0,40,1498.0,51,33.0,12,1.0,3.0,23,23,0.0,0.0,0.0,39,5.0,26,7.0,0.0,6.0,3.0,3.0,0.0,0.0
2013,ARI,3,55,1,-13.230944163748063,55,23.0,55,247.0,55,5.0,55,39.0,21.0,35.0,28.0,42,2.0,3.0,403.6574527621269,55,350.0,35,1133.0,43,7.0,11,1.0,2.0,16,15,0.0,0.0,0.0,32,9.0,18,3.0,0.0,3.0,1.0,1.0,1.0,0.0
2013,ARI,4,57,1,-11.56410719086595,57,21.0,57,298.0,57,6.0,57,40.0,17.0,26.0,32.0,47,2.0,6.0,558.8705286383629,57,320.0,38,1220.0,43,13.0,13,1.0,3.0,18,16,0.0,0.0,2.0,37,11.0,23,3.0,0.0,6.0,3.0,2.0,0.0,1.0
2013,ARI,5,55,1,-6.7585423556327004,55,24.0,55,253.0,55,4.0,55,30.0,16.0,29.0,20.0,44,1.0,6.0,-286.04809679090977,55,274.0,28,1225.0,39,20.0,11,2.0,2.0,25,25,0.0,0.0,0.0,27,9.0,14,4.0,0.0,6.0,5.0,0.0,1.0,0.0
2013,ARI,6,63,1,-4.705767827574164,63,27.0,63,403.0,63,5.0,63,42.0,22.0,42.0,30.0,49,3.0,5.0,287.7505987882614,63,347.0,41,1238.0,47,19.0,15,2.0,2.0,21,20,1.0,0.0,0.0,40,7.0,26,7.0,0.0,5.0,2.0,3.0,0.0,0.0
2013,ARI,7,70,1,-20.744882243915782,70,26.0,70,234.0,70,0.0,70,54.0,13.0,21.0,39.0,53,8.0,9.0,167.36797839403152,70,293.0,45,1665.0,58,23.0,12,2.0,3.0,18,16,0.0,0.0,2.0,44,9.0,25,9.0,0.0,9.0,4.0,4.0,1.0,0.0
2013,ARI,8,51,1,4.851945156709056,51,19.0,51,348.0,51,7.0,51,22.0,8.0,14.0,15.0,41,4.0,9.0,-270.3820377588272,51,223.0,18,1238.0,39,27.0,11,2.0,4.0,30,29,0.0,0.0,1.0,18,2.0,13,1.0,0.0,8.0,5.0,3.0,0.0,0.0
2013,ARI,10,60,1,-6.781271109661894,60,26.0,60,334.0,60,4.0,60,33.0,23.0,42.0,24.0,50,5.0,7.0,192.2931171953678,60,241.0,32,1563.0,48,20.0,12,2.0,4.0,27,26,0.0,0.0,0.0,31,5.0,18,8.0,0.0,6.0,2.0,2.0,2.0,0.0
2013,ARI,11,66,1,11.161998033440916,66,29.0,66,419.0,66,6.0,66,45.0,33.0,45.0,32.0,51,7.0,9.0,1018.6927661299706,66,378.0,42,1746.0,52,27.0,13,2.0,4.0,21,21,0.0,0.0,0.0,41,5.0,23,12.0,0.0,8.0,2.0,3.0,3.0,0.0
2013,ARI,12,71,1,14.360761174727319,71,27.0,71,410.0,71,10.0,71,41.0,8.0,17.0,29.0,57,6.0,13.0,29.288068413734436,71,345.0,38,1908.0,59,36.0,10,2.0,5.0,30,28,1.0,0.0,0.0,37,6.0,24,6.0,0.0,13.0,6.0,5.0,1.0,0.0
2013,ARI,13,67,1,-3.0705588030687068,67,29.0,67,351.0,67,6.0,67,46.0,20.0,34.0,33.0,53,2.0,3.0,237.34781295061111,67,481.0,41,1578.0,54,21.0,12,1.0,1.0,21,21,0.0,0.0,0.0,41,3.0,29,9.0,0.0,3.0,1.0,1.0,1.0,0.0
2013,ARI,14,64,1,6.776130534606862,64,28.0,64,370.0,64,5.0,64,33.0,13.0,25.0,21.0,50,7.0,14.0,-154.3021012097597,64,179.0,32,1854.0,54,27.0,10,3.0,5.0,31,30,0.0,0.0,0.0,32,5.0,20,7.0,0.0,14.0,7.0,6.0,1.0,0.0
2013,ARI,15,67,1,12.534128975601707,67,30.0,67,361.0,67,8.0,67,32.0,18.0,37.0,24.0,55,7.0,15.0,-306.519353762269,67,271.0,30,1624.0,56,30.0,11,3.0,4.0,35,34,0.0,0.0,1.0,30,7.0,19,4.0,0.0,15.0,11.0,3.0,1.0,0.0
2013,ARI,16,66,1,-14.585841117958285,66,18.0,66,311.0,66,5.0,66,28.0,21.0,46.0,12.0,48,4.0,9.0,-1124.8410668224096,66,198.0,25,1666.0,48,16.0,14,1.0,4.0,39,38,0.0,0.0,1.0,25,3.0,14,8.0,0.0,9.0,5.0,1.0,3.0,0.0
2013,ARI,17,70,1,1.9888469838238034,70,29.0,70,483.0,70,9.0,70,49.0,16.0,26.0,34.0,51,6.0,7.0,59.33457762002945,70,601.0,48,1692.0,57,26.0,12,1.0,2.0,21,21,0.0,0.0,0.0,48,9.0,31,8.0,0.0,7.0,1.0,4.0,2.0,0.0
2013,ATL,1,55,1,-1.7126908491882258,55,22.0,55,367.0,55,5.0,55,42.0,24.0,35.0,30.0,43,8.0,12.0,507.0647209882736,55,205.0,38,1269.0,44,17.0,11,2.0,4.0,14,13,0.0,0.0,1.0,36,9.0,17,6.0,0.0,12.0,5.0,5.0,2.0,0.0
2013,ATL,2,61,1,7.937371374806389,61,27.0,61,393.0,61,5.0,61,45.0,15.0,19.0,33.0,48,4.0,5.0,935.7005283236504,61,251.0,43,1465.0,48,24.0,11,2.0,3.0,16,14,0.0,0.0,0.0,42,6.0,22,9.0,0.0,5.0,2.0,0.0,2.0,0.0
2013,ATL,3,68,1,12.541264509257449,68,36.0,68,377.0,68,4.0,68,38.0,26.0,50.0,29.0,57,9.0,15.0,328.70097160339355,68,287.0,38,1833.0,55,26.0,9,2.0,5.0,30,18,1.0,0.0,0.0,37,3.0,23,6.0,0.0,14.0,5.0,3.0,2.0,0.0
2013,ATL,4,71,1,3.8779303475564526,71,34.0,71,457.0,71,6.0,71,56.0,32.0,43.0,41.0,55,16.0,17.0,690.8680617809296,71,447.0,54,1585.0,60,23.0,11,1.0,6.0,15,7,0.0,0.0,0.0,53,6.0,28,16.0,0.0,15.0,1.0,7.0,5.0,0.0
2013,ATL,5,69,1,6.747813130088616,69,35.0,69,371.0,69,3.0,69,47.0,26.0,42.0,34.0,56,13.0,23.0,353.52512300014496,69,320.0,45,1877.0,58,28.0,9,4.0,5.0,22,15,0.0,0.0,0.0,45,5.0,20,16.0,0.0,23.0,7.0,6.0,6.0,0.0
2013,ATL,7,41,1,8.107024725330206,41,16.0,41,303.0,41,5.0,41,26.0,16.0,22.0,19.0,33,4.0,8.0,278.28376293182373,41,136.0,26,914.0,32,24.0,8,2.0,3.0,15,8,0.0,0.0,0.0,25,9.0,12,4.0,0.0,8.0,4.0,1.0,0.0,0.0
2013,ATL,8,78,1,-12.81667391400576,78,27.0,78,292.0,78,3.0,78,65.0,20.0,28.0,44.0,56,8.0,11.0,738.881978392601,78,391.0,60,1777.0,64,13.0,13,1.0,3.0,14,13,0.0,0.0,1.0,59,12.0,34,13.0,0.0,11.0,4.0,5.0,2.0,0.0
2013,ATL,9,47,1,-9.11047175733842,47,20.0,47,290.0,47,4.0,47,29.0,14.0,27.0,20.0,37,2.0,5.0,112.0274692773819,47,172.0,27,1023.0,35,17.0,11,1.0,2.0,19,18,0.0,0.0,1.0,27,11.0,9,7.0,0.0,5.0,4.0,0.0,1.0,0.0
2013,ATL,10,53,1,-6.430906322788337,53,18.0,53,227.0,53,4.0,53,40.0,14.0,22.0,27.0,40,4.0,4.0,84.92729067802429,53,166.0,36,1274.0,44,10.0,9,1.0,1.0,15,12,0.0,0.0,2.0,36,12.0,15,5.0,0.0,4.0,1.0,3.0,0.0,0.0
2013,ATL,11,66,1,-1.1597707903562542,66,30.0,66,420.0,66,5.0,66,46.0,12.0,17.0,38.0,57,2.0,3.0,181.43486827611923,66,315.0,43,1331.0,54,34.0,12,2.0,3.0,20,20,0.0,0.0,0.0,43,7.0,25,11.0,0.0,3.0,1.0,1.0,1.0,0.0
