position,outer_season,selected_arm,reason,n_inner_folds,inner_folds,inner_top_ARM_0,inner_top_ARM_HC,inner_top_ARM_1,inner_top_ARM_2,inner_top_ARM_3,inner_top_ARM_4,inner_top_ARM_5,inner_full_ARM_0,inner_full_ARM_HC,inner_full_ARM_1,inner_full_ARM_2,inner_full_ARM_3,inner_full_ARM_4,inner_full_ARM_5
QB,2018,ARM_3,ARM_3 selected: top-cohort MAE within 0.25 of the best (ARM_2) with the fewest added features,2,"[2014, 2015]->2016;[2014, 2015, 2016]->2017",60.244626422872344,62.29354259008855,62.29354259008855,59.385845224399255,59.385845224399255,60.244626422872344,61.323130336044315,47.95922148466901,48.850578802012436,48.850578802012436,47.58010600277419,47.58010600277419,47.95922148466901,48.46384023163823
QB,2019,ARM_3,ARM_3 selected: top-cohort MAE within 0.25 of the best (ARM_2) with the fewest added features,3,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018",57.196465853768196,58.34646636097171,58.405521581282066,56.62394505478614,56.62394505478614,57.196465853768196,58.24253808798994,50.35211688567997,50.84144234126339,50.843084442344605,50.099373231083426,50.099373231083426,50.35211688567997,50.86087232791684
QB,2020,ARM_0,best eligible arm ARM_2 improved top-cohort MAE by 0.57% < 1%,4,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019",63.813412358437034,65.02335721504518,64.67128764716253,63.45190801008517,63.81835464395091,63.85911538194942,64.29962599927326,51.841340915025114,52.39168783956799,52.14963669101253,51.67758676033299,51.769703496111006,51.88823312592524,52.034359492898126
QB,2021,ARM_0,best eligible arm ARM_4 improved top-cohort MAE by -0.01% < 1%,5,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020",67.82010339519604,69.32359680666518,69.3282307229255,67.98897333355262,68.25412735303803,67.82849796166906,67.96651284954729,51.60755607239954,52.30643797572736,52.05993573454123,51.88027775408655,51.931065885340104,51.84648810808424,51.899819557906675
QB,2022,ARM_2,ARM_2 selected: best eligible top-cohort MAE,6,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021",70.65030144627227,72.50127812605855,72.01263527884443,69.71472461309219,70.59912577290973,70.64035639277814,70.27703040498284,51.44772532052832,52.19027642070123,51.928766171629455,51.63260584110186,51.69231837220022,51.6623266578629,51.78047242313418
QB,2023,ARM_0,no coaching arm cleared the 0.25 full-panel MAE tolerance,7,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022",71.08032787257996,72.31155833437677,72.12053408131862,70.49051103504418,71.36467424412756,71.296861120462,70.19207696744878,50.44067359712045,51.3306550075086,51.153121121957625,50.84625996928952,50.78507967157278,50.71338004286424,50.78604281842971
QB,2024,ARM_5,ARM_5 selected: best eligible top-cohort MAE,8,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]->2023",70.32132687859558,71.31005484197163,70.85139630532022,69.45636132960554,70.37802933190875,70.18706603108019,69.07457304601121,51.786943852778506,52.4758550267492,52.24609808852422,51.99499002077603,52.05578839459359,51.96436806201295,51.96142104292214
QB,2025,ARM_5,ARM_5 selected: best eligible top-cohort MAE,9,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]->2023;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]->2024",69.62402080474921,70.3853314014173,69.98175956310655,68.77747276241297,69.65982031795487,69.98057908856096,68.43802570922834,51.45600448207434,52.05130454091948,51.73392171609343,51.5605325004705,51.63161346945852,51.63464652284001,51.55448111218141
RB,2018,ARM_0,best eligible arm ARM_5 improved top-cohort MAE by 0.79% < 1%,2,"[2014, 2015]->2016;[2014, 2015, 2016]->2017",75.71649330478913,76.06012309381057,76.667909359531,75.95823318756865,76.01104527022888,75.8425399159366,75.11658976679908,45.926869346972,45.807232598278006,45.86368594409258,45.687595740325946,45.81496757254594,45.85651559361564,45.65330144448299
RB,2019,ARM_0,best eligible arm ARM_2 improved top-cohort MAE by -0.24% < 1%,3,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018",76.73964666765521,77.56767959420408,78.34647541776293,76.9262051067747,77.1431491208227,77.12326311128004,77.17975260307435,46.00075616334598,45.98194812089181,46.089533829768754,45.77052575361708,45.89784501665604,45.915556937649434,46.068373138602084
RB,2020,ARM_2,ARM_2 selected: best eligible top-cohort MAE,4,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019",75.42428759619256,75.83216946808759,76.66243631699132,74.43333933492467,75.19137913986171,75.28460214563982,74.90509877094154,44.084270599836906,43.76257735813701,43.91049092911415,43.612414712009056,43.843783461088044,43.92605558451531,43.96312228141479
RB,2021,ARM_0,best eligible arm ARM_2 improved top-cohort MAE by 0.94% < 1%,5,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020",74.82526262885732,75.06434479890746,76.25046226725769,74.11959195798659,74.63682584062443,75.0501196221095,74.98405493124912,43.48067742543864,43.14347688387187,43.35691617583898,43.10888268022153,43.16588613740044,43.43495186453235,43.45302638301585
RB,2022,ARM_0,best eligible arm ARM_2 improved top-cohort MAE by 0.62% < 1%,6,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021",72.10861376254259,72.63399440023318,73.7093484900192,71.6617231138628,72.08688104539166,72.08380390688627,72.1900114742003,42.220581611277815,42.150527935513644,42.30015502960274,42.05510295652224,42.00126941829161,42.16956193433389,42.167832098834516
RB,2023,ARM_0,best eligible arm ARM_2 improved top-cohort MAE by 0.65% < 1%,7,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022",69.50391452223862,70.0406294595834,71.14915355588568,69.05061769921848,69.2962215333591,69.58675704262816,69.51921509344524,41.79276599885231,41.77433715714371,41.860906974329474,41.58337617170542,41.560444136368616,41.74842286015645,41.603899797637105
RB,2024,ARM_2,ARM_2 selected: best eligible top-cohort MAE,8,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]->2023",68.80725155922134,69.07963525220836,70.0426059490909,68.11641492147557,68.63759092647427,68.78801883649795,68.7801766545507,41.465618776966,41.35821504662448,41.49158788511777,41.24457094553961,41.255132069929886,41.532766134805996,41.38160589767851
RB,2025,ARM_2,ARM_2 selected: best eligible top-cohort MAE,9,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]->2023;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]->2024",70.25887282178496,70.49489000798592,71.1711745394433,69.185723587337,69.82992757865028,69.99984557352289,70.25326215340539,41.006403560600084,40.89305185461356,40.940207237053855,40.7310571734559,40.83906268246561,41.00093313431731,40.910385132333325
WR,2018,ARM_HC,ARM_HC selected: best eligible top-cohort MAE,2,"[2014, 2015]->2016;[2014, 2015, 2016]->2017",48.732734179337086,47.745322164632796,48.066037169499126,48.72439768533734,49.33057403579269,49.23939108889479,48.96497978704133,35.018023379412575,35.18295443948493,35.17732830828038,34.875395608705986,34.982747334730924,35.06712373662269,35.18734155544555
WR,2019,ARM_HC,ARM_HC selected: top-cohort MAE within 0.25 of the best (ARM_1) with the fewest added features,3,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018",52.248361784892836,50.74664908270962,50.51024246365432,51.94565735897547,52.50638402872025,52.57419351398368,51.43238390830705,34.428622010154335,34.435478295033676,34.36998308831043,34.3474504249709,34.455617703271194,34.5400781471968,34.5966257017219
WR,2020,ARM_HC,ARM_HC selected: top-cohort MAE within 0.25 of the best (ARM_1) with the fewest added features,4,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019",52.08184429269143,51.09310588926983,50.85196223947184,51.63671555989392,52.030600836168,52.335903364623164,51.45282578656207,34.25836720728843,34.276829702536226,34.22603762539562,34.12944075807787,34.22843932924925,34.24249047923702,34.34536728868367
WR,2021,ARM_1,ARM_1 selected: best eligible top-cohort MAE,5,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020",53.275550631225215,52.80842728192702,52.33341471256269,52.89567251445393,53.482802089350784,53.81481821493486,52.71805956679269,34.27829354507016,34.30418580649167,34.16844977593947,34.17593861079826,34.34494885219677,34.30809311389247,34.31052470710423
WR,2022,ARM_1,ARM_1 selected: best eligible top-cohort MAE,6,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021",54.029676626628905,53.41173539854327,52.74391119845544,53.40837496920102,54.207705857869904,54.147407104730114,53.43264417819305,34.28756370577485,34.323017644124896,34.17230539400823,34.306459132047316,34.37155698963196,34.29817653338236,34.39663523172527
WR,2023,ARM_1,ARM_1 selected: best eligible top-cohort MAE,7,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022",52.74063866909232,52.51406463311167,52.09050461338746,52.18714771153747,52.867048181875596,52.67166887188188,52.24928452978174,33.6138042809117,33.64105373881879,33.56533583770538,33.615986617608115,33.6784993581454,33.57648254919784,33.696259675037176
WR,2024,ARM_1,ARM_1 selected: best eligible top-cohort MAE,8,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]->2023",51.73007796125317,51.587008783062004,51.08213294089691,51.10379802964077,51.63947279322848,51.719177358411685,51.12020480586389,33.03691635328214,33.038656034943855,33.025828968988804,33.03097885126108,33.0580946491774,33.05432829971234,33.126441791348824
WR,2025,ARM_0,best eligible arm ARM_2 improved top-cohort MAE by 0.86% < 1%,9,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]->2023;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]->2024",51.08283652927677,51.136538256828565,50.731880015113674,50.641653835322,51.80806610475697,51.42554124078408,50.92491935360014,32.85285895501336,32.863777965555215,32.833819036552626,32.86967798174082,32.92384361152206,32.85416032033832,32.94322531663548
TE,2018,ARM_HC,ARM_HC selected: best eligible top-cohort MAE,2,"[2014, 2015]->2016;[2014, 2015, 2016]->2017",41.73313739973608,41.15151821201738,41.4291493403029,41.79276814250049,41.65026678546289,41.70802029626164,41.7382891041097,22.424400409631865,22.408659923947923,22.447179969617032,22.430897398780544,22.41037681268836,22.430430810041045,22.59051077563887
TE,2019,ARM_HC,ARM_HC selected: best eligible top-cohort MAE,3,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018",46.57697377495605,45.837669743841126,45.94742756784074,46.40912063100901,46.521726698773925,46.44628322150396,46.346934125935796,22.43046069992687,22.321278440706354,22.33472023296514,22.419226351413432,22.421111635297862,22.400692107492077,22.418670981506494
TE,2020,ARM_HC,ARM_HC selected: top-cohort MAE within 0.25 of the best (ARM_1) with the fewest added features,4,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019",48.06612266782373,47.641191505753454,47.55968120485407,47.67040824117274,48.17344550476873,48.04913966993327,48.51620116142911,22.88440543575305,22.76459142547759,22.755540761973197,22.835906243977973,22.897838469914042,22.89076509450311,22.92097671378476
TE,2021,ARM_0,best eligible arm ARM_2 improved top-cohort MAE by 0.94% < 1%,5,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020",47.06922230910846,46.79954912717573,46.660347048194694,46.627599394767046,47.2952178878569,47.075947070485086,47.71792922861348,22.73463015632921,22.67339793242963,22.614385779987266,22.70703754882246,22.831583344433565,22.782280193510466,22.808126293536482
TE,2022,ARM_1,ARM_1 selected: top-cohort MAE within 0.25 of the best (ARM_2) with the fewest added features,6,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021",45.73202127030925,45.541652515759246,45.36258237489766,45.135025987915164,46.16377823879876,45.93774555583557,46.81657087246154,22.57395608962517,22.42495348597255,22.38313518235441,22.545285771519733,22.602340143562085,22.56866810746915,22.58662214074055
TE,2023,ARM_2,ARM_2 selected: best eligible top-cohort MAE,7,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022",44.326574132574294,44.17659646217754,44.013037550737245,43.75898714519069,44.653206669790244,44.65465370352416,45.16983209152369,22.421345334546604,22.295383623982413,22.299326538761154,22.37109815082366,22.431803411718327,22.46254653839788,22.427466738176204
TE,2024,ARM_1,ARM_1 selected: top-cohort MAE within 0.25 of the best (ARM_2) with the fewest added features,8,"[2014, 2015]->2016;[2014, 2015, 2016]->2017;[2014, 2015, 2016, 2017]->2018;[2014, 2015, 2016, 2017, 2018]->2019;[2014, 2015, 2016, 2017, 2018, 2019]->2020;[2014, 2015, 2016, 2017, 2018, 2019, 2020]->2021;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]->2022;[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]->2023",44.22713909583304,44.01032759607581,43.52687648703927,43.31452927204465,44.57013356338135,44.580089350291985,44.51519595843554,22.442166562662663,22.248229131117085,22.234862810480756,22.29920252158522,22.45422317067858,22.469894572544558,22.386695805163242
