population,universe,panel,threshold,panel_complete_n,perm_observed,perm_null_mean,perm_null_p95,perm_p_value,perm_n,vs_model_alone_hr_a,vs_model_alone_hr_b,vs_model_alone_lift,vs_model_alone_lo,vs_model_alone_hi,vs_model_alone_n_a,vs_model_alone_n_b,vs_model_alone_boot_ok,vs_sleeper_alone_hr_a,vs_sleeper_alone_hr_b,vs_sleeper_alone_lift,vs_sleeper_alone_lo,vs_sleeper_alone_hi,vs_sleeper_alone_n_a,vs_sleeper_alone_n_b,vs_sleeper_alone_boot_ok
all_adp,A,pooled_2024_2025,0.0,866,0.798828125,0.500241015625,0.53515625,9.999000099990002e-05,512,0.798828125,0.44410876132930516,0.35471936367069484,0.29129310354447285,0.4175205211134209,512,331,10000,0.798828125,0.5830618892508144,0.21576623574918563,0.15349325122987803,0.28086396339808334,512,307,10000
all_adp,A,pooled_2024_2025,5.0,866,0.8875739644970414,0.5032855029585799,0.5473372781065089,9.999000099990002e-05,338,0.8875739644970414,0.48514851485148514,0.40242544964555627,0.3354538898153115,0.46755544381461106,338,303,10000,0.8875739644970414,0.7061855670103093,0.18138839748673208,0.1095953506427275,0.2523957963675886,338,194,10000
all_adp,A,pooled_2024_2025,7.5,866,0.9022801302931596,0.504842671009772,0.5504885993485342,9.999000099990002e-05,307,0.9022801302931596,0.4833948339483395,0.4188852963448201,0.35033251711665475,0.4869899484788703,307,271,10000,0.9022801302931596,0.7423312883435583,0.15994884194960124,0.08649494364615659,0.23540241152465477,307,163,10000
all_adp,A,pooled_2024_2025,10.0,866,0.9227799227799228,0.5049648648648648,0.555984555984556,9.999000099990002e-05,259,0.9227799227799228,0.5387931034482759,0.3839868193316469,0.3126681832722937,0.455736580291882,259,232,10000,0.9227799227799228,0.7575757575757576,0.16520416520416525,0.08691451900017026,0.2457154631538459,259,132,10000
all_adp,A,pooled_2023_2025,0.0,1150,0.7801526717557252,0.4977635114503817,0.5297709923664122,9.999000099990002e-05,655,0.7801526717557252,0.43982494529540483,0.3403277264603204,0.2850165543644145,0.39618522957710606,655,457,10000,0.7801526717557252,0.5752427184466019,0.20490995330912332,0.1477408360521479,0.26200828870426734,655,412,10000
all_adp,A,pooled_2023_2025,5.0,1150,0.8801020408163265,0.5019841836734695,0.5433673469387755,9.999000099990002e-05,392,0.8801020408163265,0.49406175771971494,0.38604028309661154,0.3285884688599612,0.44339376070491177,392,421,10000,0.8801020408163265,0.721030042918455,0.15907199789787152,0.09322535250925,0.2247792732849828,392,233,10000
all_adp,A,pooled_2023_2025,7.5,1150,0.9023668639053254,0.5036556213017751,0.5473372781065089,9.999000099990002e-05,338,0.9023668639053254,0.4973404255319149,0.4050264383734105,0.3467457093885045,0.46406621316989805,338,376,10000,0.9023668639053254,0.7562189054726368,0.14614795843268857,0.08130385922086994,0.21537283148987552,338,201,10000
all_adp,A,pooled_2023_2025,10.0,1150,0.9252669039145908,0.5036245551601424,0.5516014234875445,9.999000099990002e-05,281,0.9252669039145908,0.560126582278481,0.36514032163610977,0.3024361099051952,0.4267243240368092,281,316,10000,0.9252669039145908,0.7861635220125787,0.1391033819020121,0.07022757508428588,0.21069263957136933,281,159,10000
all_adp,A,pooled_2021_2025,0.0,1679,0.7680851063829788,0.49352819148936167,0.5202127659574468,9.999000099990002e-05,940,0.7680851063829788,0.4298375184638109,0.33824758791916787,0.2938960732796228,0.38313420081780797,940,677,10000,0.7680851063829788,0.5945072697899838,0.17357783659299497,0.12630955390442222,0.22019847078312915,940,619,10000
all_adp,A,pooled_2021_2025,5.0,1679,0.8565891472868217,0.5003903100775193,0.5368217054263565,9.999000099990002e-05,516,0.8565891472868217,0.5016077170418006,0.35498143024502105,0.3063661793353078,0.4043350298316501,516,622,10000,0.8565891472868217,0.7575757575757576,0.0990133897110641,0.04571306143024385,0.15249691431035672,516,363,10000
all_adp,A,pooled_2021_2025,7.5,1679,0.8815165876777251,0.5023890995260664,0.542654028436019,9.999000099990002e-05,422,0.8815165876777251,0.5128676470588235,0.36864894061890163,0.3163560681761327,0.4206201086883358,422,544,10000,0.8815165876777251,0.7745098039215687,0.10700678375615646,0.05089243442376254,0.16271324583986005,422,306,10000
