population,universe,panel,threshold,panel_complete_n,vs_model_alone_hr_agree,vs_model_alone_hr_no_agree,vs_model_alone_lift,vs_model_alone_ci_lo,vs_model_alone_ci_hi,vs_model_alone_n_agree,vs_model_alone_n_no_agree,vs_model_alone_boot_usable,vs_model_alone_ci_crosses_zero,vs_sleeper_alone_hr_agree,vs_sleeper_alone_hr_no_agree,vs_sleeper_alone_lift,vs_sleeper_alone_ci_lo,vs_sleeper_alone_ci_hi,vs_sleeper_alone_n_agree,vs_sleeper_alone_n_no_agree,vs_sleeper_alone_boot_usable,vs_sleeper_alone_ci_crosses_zero,perm_n,perm_observed,perm_null_mean,perm_null_p95,perm_p_value
all_adp,A,pooled_2024_2025,0.0,866,0.798828125,0.44410876132930516,0.35471936367069484,0.29063629485090575,0.41729012675656374,512,331,10000,False,0.798828125,0.5830618892508144,0.21576623574918563,0.15095087185714376,0.2807220563450553,512,307,10000,False,512,0.798828125,0.5001712890625,0.53515625,9.999000099990002e-05
all_adp,A,pooled_2024_2025,5.0,866,0.8875739644970414,0.48514851485148514,0.40242544964555627,0.33730790929537496,0.4665171566082138,338,303,10000,False,0.8875739644970414,0.7061855670103093,0.18138839748673208,0.11032683734510126,0.2532755733112539,338,194,10000,False,338,0.8875739644970414,0.5031917159763314,0.5473372781065089,9.999000099990002e-05
all_adp,A,pooled_2024_2025,7.5,866,0.9022801302931596,0.4833948339483395,0.4188852963448201,0.3493942823525835,0.48643995760678294,307,271,10000,False,0.9022801302931596,0.7423312883435583,0.15994884194960124,0.0859101266574418,0.2335457642984646,307,163,10000,False,307,0.9022801302931596,0.5044583061889251,0.5504885993485342,9.999000099990002e-05
all_adp,A,pooled_2024_2025,10.0,866,0.9227799227799228,0.5387931034482759,0.3839868193316469,0.3119950666989641,0.45344362569287605,259,232,10000,False,0.9227799227799228,0.7575757575757576,0.16520416520416525,0.08715872371097488,0.24487724487814486,259,132,10000,False,259,0.9227799227799228,0.5047223938223938,0.555984555984556,9.999000099990002e-05
all_adp,A,pooled_2023_2025,0.0,1150,0.7801526717557252,0.43982494529540483,0.3403277264603204,0.28754428610822835,0.3950062528889179,655,457,10000,False,0.7801526717557252,0.5752427184466019,0.20490995330912332,0.1475205206470058,0.2623389723833618,655,412,10000,False,655,0.7801526717557252,0.4978557251908397,0.5297709923664122,9.999000099990002e-05
all_adp,A,pooled_2023_2025,5.0,1150,0.8801020408163265,0.49406175771971494,0.38604028309661154,0.3286159495612515,0.4423654729701556,392,421,10000,False,0.8801020408163265,0.721030042918455,0.15907199789787152,0.09492955642200139,0.22406004439726374,392,233,10000,False,392,0.8801020408163265,0.5024479591836735,0.5433673469387755,9.999000099990002e-05
all_adp,A,pooled_2023_2025,7.5,1150,0.9023668639053254,0.4973404255319149,0.4050264383734105,0.3464821374941536,0.4638966173234442,338,376,10000,False,0.9023668639053254,0.7562189054726368,0.14614795843268857,0.08023210299280975,0.21318819458808927,338,201,10000,False,338,0.9023668639053254,0.5040905325443786,0.5473372781065089,9.999000099990002e-05
all_adp,A,pooled_2023_2025,10.0,1150,0.9252669039145908,0.560126582278481,0.36514032163610977,0.303620082650905,0.4280693380586417,281,316,10000,False,0.9252669039145908,0.7861635220125787,0.1391033819020121,0.07105518558956683,0.21103675654390602,281,159,10000,False,281,0.9252669039145908,0.5042811387900356,0.5516014234875445,9.999000099990002e-05
all_adp,A,pooled_2021_2025,0.0,1679,0.7680851063829788,0.4298375184638109,0.33824758791916787,0.2922077395885479,0.3823147863264535,940,677,10000,False,0.7680851063829788,0.5945072697899838,0.17357783659299497,0.12703438671202177,0.22114756008253456,940,619,10000,False,940,0.7680851063829788,0.49355787234042564,0.5202127659574468,9.999000099990002e-05
all_adp,A,pooled_2021_2025,5.0,1679,0.8565891472868217,0.5016077170418006,0.35498143024502105,0.3051957003274154,0.4038752247343532,516,622,10000,False,0.8565891472868217,0.7575757575757576,0.0990133897110641,0.046920278041541426,0.15264499729746794,516,363,10000,False,516,0.8565891472868217,0.5000959302325582,0.5348837209302325,9.999000099990002e-05
all_adp,A,pooled_2021_2025,7.5,1679,0.8815165876777251,0.5128676470588235,0.36864894061890163,0.31573218032624384,0.4195549226359906,422,544,10000,False,0.8815165876777251,0.7745098039215687,0.10700678375615646,0.053406600249065954,0.16213284246347537,422,306,10000,False,422,0.8815165876777251,0.5022054502369668,0.5402843601895735,9.999000099990002e-05
all_adp,A,pooled_2021_2025,10.0,1679,0.9123867069486404,0.5607064017660044,0.35168030518263604,0.29567526426726953,0.4056153923373863,331,453,10000,False,0.9123867069486404,0.7957446808510639,0.11664202609757657,0.058278600084876245,0.17688607914521734,331,235,10000,False,331,0.9123867069486404,0.5035549848942598,0.5468277945619335,9.999000099990002e-05
all_adp,B,pooled_2024_2025,0.0,866,0.7760314341846758,0.44242424242424244,0.33360719176043335,0.2685502197609078,0.3966513469803883,509,330,10000,False,0.7760314341846758,0.5993485342019544,0.17668289998272135,0.11179662408004903,0.24065064275332024,509,307,10000,False,509,0.7760314341846758,0.49439155206286833,0.5304518664047151,9.999000099990002e-05
all_adp,B,pooled_2024_2025,5.0,866,0.8535825545171339,0.4872611464968153,0.36632140802031865,0.2986998724973686,0.4336175545313645,321,314,10000,False,0.8535825545171339,0.698019801980198,0.15556275253693597,0.08225803570320384,0.22887065078455887,321,202,10000,False,321,0.8535825545171339,0.49406355140186914,0.5420560747663551,9.999000099990002e-05
all_adp,B,pooled_2024_2025,7.5,866,0.8695652173913043,0.506896551724138,0.3626686656671664,0.2930400032456995,0.43124516826244197,276,290,10000,False,0.8695652173913043,0.7292817679558011,0.1402834494355032,0.0647417068068871,0.21481867952923148,276,181,10000,False,276,0.8695652173913043,0.494261231884058,0.5434782608695652,9.999000099990002e-05
all_adp,B,pooled_2024_2025,10.0,866,0.8874458874458875,0.5537190082644629,0.33372687918142463,0.25781280832114734,0.4044851017484837,231,242,10000,False,0.8874458874458875,0.726027397260274,0.1614184901856135,0.07972531648908149,0.24163153697680556,231,146,10000,False,231,0.8874458874458875,0.49445627705627704,0.5497835497835498,9.999000099990002e-05
all_adp,B,pooled_2023_2025,0.0,1150,0.7576687116564417,0.4358407079646018,0.3218280036918399,0.2667324941631265,0.37788041417589635,652,452,10000,False,0.7576687116564417,0.5875299760191847,0.170138735637257,0.11357904789203939,0.22706589411824138,652,417,10000,False,652,0.7576687116564417,0.49262024539877314,0.5245398773006135,9.999000099990002e-05
all_adp,B,pooled_2023_2025,5.0,1150,0.8418230563002681,0.495260663507109,0.3465623927931591,0.28816165734678106,0.40606343343035206,373,422,10000,False,0.8418230563002681,0.708,0.13382305630026814,0.06694243522764494,0.20246553546027227,373,250,10000,False,373,0.8418230563002681,0.49373243967828423,0.5361930294906166,9.999000099990002e-05
