season,player_id,player,pos,team,grp,group,is_rookie,norm_name,adp_half_ppr,adp_overall_rank,adp_pos_rank,pred,sleeper,y,model
2021,00-0036223,Jonathan Taylor,RB,IND,vet,veteran,0,jonathan taylor,9.8,9.0,9.0,178.7,285.2,353.1,lightgbm
2021,00-0032764,Derrick Henry,RB,TEN,vet,veteran,0,derrick henry,3.0,3.0,3.0,193.8,270.2,184.3,lightgbm
2021,00-0033699,Austin Ekeler,RB,LAC,vet,veteran,0,austin ekeler,13.7,13.0,10.0,145.2,224.5,308.8,lightgbm
2021,00-0033906,Alvin Kamara,RB,NO,vet,veteran,0,alvin kamara,4.6,4.0,4.0,190.5,282.0,211.2,lightgbm
2021,00-0033280,Christian McCaffrey,RB,CAR,vet,veteran,0,christian mccaffrey,1.0,1.0,1.0,145.2,319.3,109.0,lightgbm
2021,00-0033553,James Conner,RB,ARI,vet,veteran,0,james conner,97.7,97.0,36.0,144.3,177.3,239.2,lightgbm
2021,00-0033856,Leonard Fournette,RB,TB,vet,veteran,0,leonard fournette,85.7,85.0,33.0,98.7,170.0,221.1,lightgbm
2021,00-0034791,Nick Chubb,RB,CLE,vet,veteran,0,nick chubb,6.5,6.0,6.0,193.4,263.4,205.3,lightgbm
2021,00-0033893,Dalvin Cook,RB,MIN,vet,veteran,0,dalvin cook,2.7,2.0,2.0,207.9,296.3,189.3,lightgbm
2021,00-0036275,D'Andre Swift,RB,DET,vet,veteran,0,dandre swift,36.8,37.0,19.0,155.7,232.1,177.9,lightgbm
2021,00-0035685,David Montgomery,RB,CHI,vet,veteran,0,david montgomery,26.6,26.0,15.0,175.9,236.5,174.0,lightgbm
2021,00-0033897,Joe Mixon,RB,CIN,vet,veteran,0,joe mixon,17.4,17.0,12.0,157.5,241.7,266.9,lightgbm
2021,00-0030578,Cordarrelle Patterson,RB,ATL,vet,veteran,0,cordarrelle patterson,235.8,200.0,68.0,55.5,160.5,208.6,lightgbm
2021,00-0036328,Antonio Gibson,RB,WAS,vet,veteran,0,antonio gibson,21.4,21.0,13.0,164.1,238.9,208.1,lightgbm
2021,00-0033045,Ezekiel Elliott,RB,DAL,vet,veteran,0,ezekiel elliott,5.2,5.0,5.0,128.1,276.2,228.56,lightgbm
2021,00-0033293,Aaron Jones,RB,GB,vet,veteran,0,aaron jones,7.5,7.0,7.0,219.4,252.3,203.0,lightgbm
2021,00-0035657,Damien Harris,RB,NE,vet,veteran,0,damien harris,70.3,70.0,28.0,89.5,183.8,201.1,lightgbm
2021,00-0035700,Josh Jacobs,RB,LV,vet,veteran,0,josh jacobs,31.8,31.0,17.0,173.6,227.1,199.0,lightgbm
2021,00-0033923,Kareem Hunt,RB,CLE,vet,veteran,0,kareem hunt,52.6,52.0,23.0,124.5,174.3,99.0,lightgbm
2021,00-0034750,Rashaad Penny,RB,SEA,vet,veteran,0,rashaad penny,197.3,174.0,56.0,17.9,88.4,118.7,lightgbm
2021,00-0035664,Darrell Henderson,RB,LA,vet,veteran,0,darrell henderson,41.0,41.0,21.0,113.5,186.2,148.9,lightgbm
2021,00-0032144,Melvin Gordon,RB,DEN,vet,veteran,0,melvin gordon,76.6,76.0,32.0,123.9,158.0,181.1,lightgbm
2021,00-0035831,James Robinson,RB,JAX,vet,veteran,0,james robinson,33.0,33.0,18.0,197.1,239.3,158.4,lightgbm
2021,00-0033594,Chris Carson,RB,SEA,vet,veteran,0,chris carson,29.5,29.0,16.0,133.8,191.6,45.1,lightgbm
