player_id,player,position,team,is_rookie,draft_pick,adp_pos_rank,projection,sleeper,diff
00-0034857,Josh Allen,QB,BUF,0,7.0,1.0,325.5,361.5,-36.0
00-0036389,Jalen Hurts,QB,PHI,0,53.0,6.0,322.6,310.54,12.1
00-0033873,Patrick Mahomes,QB,KC,0,10.0,12.0,293.2,278.62,14.6
00-0036355,Justin Herbert,QB,LAC,0,6.0,8.0,284.2,303.3,-19.1
00-0039732,Bo Nix,QB,DEN,0,12.0,15.0,277.4,295.72,-18.3
00-0039851,Drake Maye,QB,NE,0,3.0,3.0,269.1,320.76,-51.7
00-0039918,Caleb Williams,QB,CHI,0,1.0,9.0,261.4,299.34,-37.9
00-0023459,Aaron Rodgers,QB,PIT,0,24.0,,253.7,,
00-0034855,Baker Mayfield,QB,TB,0,1.0,19.0,253.0,274.88,-21.9
00-0036442,Joe Burrow,QB,CIN,0,1.0,4.0,249.8,306.12,-56.3
00-0026498,Matthew Stafford,QB,LA,0,1.0,14.0,249.4,280.22,-30.8
00-0040691,Jaxson Dart,QB,NYG,0,25.0,7.0,248.6,300.54,-51.9
00-0035710,Daniel Jones,QB,IND,0,6.0,26.0,232.3,231.52,0.8
00-0036971,Trevor Lawrence,QB,JAX,0,1.0,10.0,226.7,303.42,-76.7
00-0034796,Lamar Jackson,QB,BAL,0,32.0,2.0,218.5,320.0,-101.5
00-0033106,Jared Goff,QB,DET,0,1.0,17.0,217.2,283.46,-66.3
00-0033077,Dak Prescott,QB,DAL,0,135.0,11.0,214.3,303.88,-89.6
00-0040676,Cam Ward,QB,TEN,0,1.0,25.0,209.4,227.84,-18.4
00-0036264,Jordan Love,QB,GB,0,26.0,16.0,186.4,282.52,-96.1
00-0039163,C.J. Stroud,QB,HOU,0,2.0,22.0,179.2,234.2,-55.0
00-0034869,Sam Darnold,QB,SEA,0,3.0,23.0,175.6,262.74,-87.1
00-0036212,Tua Tagovailoa,QB,ATL,0,5.0,32.0,166.2,137.94,28.3
00-0037834,Brock Purdy,QB,SF,0,262.0,13.0,160.8,295.66,-134.9
00-0030565,Geno Smith,QB,NYJ,0,39.0,,156.5,,
00-0039150,Bryce Young,QB,CAR,0,1.0,27.0,155.4,225.26,-69.9
00-0033119,Jacoby Brissett,QB,ARI,0,91.0,28.0,147.0,160.0,-13.0
00-0040743,Tyler Shough,QB,NO,0,40.0,20.0,115.6,260.0,-144.4
00-0026158,Joe Flacco,QB,CIN,0,18.0,,111.2,,
00-0036945,Justin Fields,QB,KC,0,11.0,,108.8,,
00-0039910,Jayden Daniels,QB,WAS,0,2.0,5.0,102.4,313.72,-211.3
