player_id,player,position,team,is_rookie,draft_pick,adp_pos_rank,projection,sleeper,diff
00-0037248,James Cook,RB,BUF,0,63.0,5.0,243.5,245.3,-1.8
00-0039040,De'Von Achane,RB,MIA,0,84.0,6.0,216.9,222.0,-5.1
00-0039139,Jahmyr Gibbs,RB,DET,0,12.0,2.0,213.1,277.9,-64.8
00-0038542,Bijan Robinson,RB,ATL,0,8.0,1.0,208.5,292.9,-84.4
00-0040122,Ashton Jeanty,RB,LV,0,6.0,8.0,198.1,234.5,-36.4
00-0038120,Breece Hall,RB,NYJ,0,36.0,15.0,192.3,195.6,-3.3
00-0038597,Chase Brown,RB,CIN,0,163.0,10.0,189.8,205.8,-16.0
00-0037840,Kyren Williams,RB,LA,0,164.0,16.0,180.5,185.3,-4.8
00-0035700,Josh Jacobs,RB,GB,0,24.0,14.0,177.2,186.1,-8.9
00-0036973,Travis Etienne,RB,NO,0,25.0,17.0,169.1,195.9,-26.8
00-0040715,Cam Skattebo,RB,NYG,0,105.0,21.0,166.6,168.7,-2.1
00-0036223,Jonathan Taylor,RB,IND,0,41.0,3.0,164.7,254.3,-89.6
00-0041512,Jadarian Price,RB,SEA,1,32.0,25.0,155.7,160.5,-4.8
00-0036997,Javonte Williams,RB,DAL,0,35.0,18.0,154.2,185.8,-31.6
00-0041027,Jeremiyah Love,RB,ARI,1,3.0,12.0,152.7,212.5,-59.8
00-0038134,Kenneth Walker III,RB,KC,0,41.0,11.0,149.3,210.0,-60.7
00-0032764,Derrick Henry,RB,BAL,0,45.0,13.0,149.3,236.2,-86.9
00-0040666,Omarion Hampton,RB,LAC,0,22.0,9.0,142.7,217.9,-75.2
00-0040784,Quinshon Judkins,RB,CLE,0,36.0,24.0,136.2,167.8,-31.6
00-0035261,Tony Pollard,RB,TEN,0,128.0,31.0,127.4,146.1,-18.7
00-0039361,Bucky Irving,RB,TB,0,125.0,20.0,124.8,179.3,-54.5
00-0034844,Saquon Barkley,RB,PHI,0,2.0,7.0,121.7,226.0,-104.3
00-0036919,Kenneth Gainwell,RB,TB,0,150.0,37.0,120.6,116.2,4.4
00-0035685,David Montgomery,RB,HOU,0,73.0,26.0,119.8,180.4,-60.6
00-0033280,Christian McCaffrey,RB,SF,0,8.0,4.0,118.5,256.0,-137.5
00-0040734,TreVeyon Henderson,RB,NE,0,38.0,19.0,116.3,162.0,-45.7
00-0037228,Jaylen Warren,RB,PIT,0,,27.0,114.2,152.6,-38.4
00-0040236,Kyle Monangai,RB,CHI,0,233.0,30.0,107.7,143.1,-35.4
00-0036875,Rhamondre Stevenson,RB,NE,0,120.0,28.0,106.8,157.9,-51.1
00-0040730,RJ Harvey,RB,DEN,0,60.0,35.0,104.8,125.6,-20.8
00-0040242,Jacory Croskey-Merritt,RB,WAS,0,245.0,42.0,101.3,118.4,-17.1
00-0036139,Rico Dowdle,RB,PIT,0,,32.0,96.6,136.6,-40.0
00-0039165,Zach Charbonnet,RB,SEA,0,52.0,44.0,95.3,68.8,26.5
00-0039384,Tyrone Tracy Jr.,RB,NYG,0,166.0,47.0,93.0,100.8,-7.8
00-0036275,D'Andre Swift,RB,CHI,0,35.0,23.0,90.8,175.4,-84.6
00-0040692,Jarquez Hunter,RB,LA,1,117.0,76.0,90.3,8.6,81.7
00-0039738,Blake Corum,RB,LA,0,83.0,34.0,90.1,127.8,-37.7
00-0036158,J.K. Dobbins,RB,DEN,0,55.0,29.0,86.0,147.2,-61.2
00-0040878,Mike Washington,RB,LV,1,122.0,55.0,85.8,57.5,28.3
00-0040583,Woody Marks,RB,HOU,0,116.0,46.0,85.4,74.3,11.1
00-0037256,Rachaad White,RB,WAS,0,91.0,43.0,84.7,106.7,-22.0
00-0040719,Bhayshul Tuten,RB,JAX,0,104.0,22.0,80.6,152.9,-72.3
00-0041496,Jonah Coleman,RB,DEN,1,108.0,40.0,79.0,54.9,24.1
00-0039921,Trey Benson,RB,ARI,0,66.0,50.0,78.9,25.7,53.2
00-0039471,Frank Gore Jr.,RB,BUF,1,65.0,,78.1,,
00-0037525,Jordan Mason,RB,MIN,0,,48.0,77.8,118.0,-40.2
00-0033906,Alvin Kamara,RB,NO,0,67.0,51.0,76.1,40.9,35.2
00-0036555,Chuba Hubbard,RB,CAR,0,126.0,33.0,74.0,159.1,-85.1
00-0029892,Kyle Juszczyk,RB,SF,1,130.0,,70.6,,
00-0035250,Devin Singletary,RB,NYG,0,74.0,,70.2,,
00-0039032,Tyjae Spears,RB,TEN,0,81.0,52.0,69.1,97.1,-28.0
00-0038611,Chris Rodriguez Jr.,RB,JAX,0,193.0,57.0,67.9,125.0,-57.1
00-0036924,Michael Carter,RB,TEN,0,107.0,,66.5,,
00-0033553,James Conner,RB,ARI,0,105.0,41.0,63.7,53.8,9.9
00-0038797,Emanuel Wilson,RB,SEA,0,,63.0,62.7,51.0,11.7
00-0041052,Kaelon Black,RB,SF,1,90.0,,62.6,,
00-0041307,Josh Pitsenberger,RB,HOU,1,,,58.8,,
00-0041312,Noah Whittington,RB,HOU,1,,,58.8,,
00-0039391,Kimani Vidal,RB,LAC,0,181.0,56.0,58.8,32.2,26.6
00-0037263,Tyler Allgeier,RB,ARI,0,151.0,38.0,58.5,67.8,-9.3
00-0036893,Najee Harris,RB,,0,24.0,68.0,57.2,47.5,9.7
00-0038951,Sean Tucker,RB,TB,0,,61.0,56.3,48.5,7.8
00-0033293,Aaron Jones,RB,MIN,0,182.0,36.0,55.6,136.8,-81.2
00-0035537,Ty Johnson,RB,BUF,0,186.0,,55.0,,
00-0041326,C.J. Donaldson,RB,NO,1,,,54.0,,
00-0041323,Myles Montgomery,RB,NE,1,,,52.9,,
00-0037197,Isiah Pacheco,RB,DET,0,251.0,60.0,50.6,48.6,2.0
00-0033897,Joe Mixon,RB,,0,48.0,64.0,50.1,25.4,24.7
00-0037746,Brian Robinson,RB,ATL,0,98.0,45.0,49.1,63.4,-14.3
00-0039875,Ray Davis,RB,BUF,0,128.0,65.0,47.4,53.5,-6.1
00-0040998,Roman Hemby,RB,LV,1,,,47.4,,
00-0039373,Audric Estimé,RB,NO,0,147.0,75.0,46.8,21.1,25.7
00-0040964,E.J. Smith,RB,KC,1,,,46.1,,
00-0040959,Jaydn Ott,RB,KC,1,,,46.1,,
00-0038555,Tank Bigsby,RB,PHI,0,88.0,58.0,46.0,53.2,-7.2
00-0041129,Jam Miller,RB,NE,1,245.0,,46.0,,
00-0040177,Jordan James,RB,SF,1,147.0,,45.6,,
00-0038705,Emari Demercado,RB,KC,0,,,44.3,,
00-0039874,Jaylen Wright,RB,MIA,0,120.0,69.0,44.2,41.1,3.1
00-0039798,Isaiah Davis,RB,NYJ,0,173.0,,43.7,,
00-0040078,Brashard Smith,RB,KC,0,228.0,73.0,43.7,17.9,25.8
00-0039405,Jawhar Jordan,RB,HOU,0,205.0,,43.3,,
00-0041013,Emmett Johnson,RB,KC,1,161.0,49.0,43.0,59.2,-16.2
00-0041433,Kadarius Calloway,RB,TB,1,,,42.6,,
00-0038454,Keaton Mitchell,RB,LAC,0,,59.0,42.5,87.9,-45.4
00-0041376,Gregory Desrosiers,RB,LAC,1,,,42.4,,
00-0041485,Miles Davis,RB,CAR,1,,,41.9,,
00-0037563,Malik Davis,RB,DAL,0,,,41.5,,
00-0040651,Damien Martinez,RB,GB,1,223.0,,41.2,,
