player_id,player,position,team,is_rookie,draft_pick,adp_pos_rank,projection,sleeper,diff
00-0036970,Kyle Pitts,TE,ATL,0,4.0,7.0,158.8,138.6,20.2
00-0039338,Brock Bowers,TE,LV,0,13.0,1.0,152.2,188.0,-35.8
00-0033288,George Kittle,TE,SF,0,146.0,8.0,151.2,123.4,27.8
00-0037744,Trey McBride,TE,ARI,0,55.0,2.0,135.1,191.4,-56.3
00-0040128,Tyler Warren,TE,IND,0,14.0,4.0,131.1,151.2,-20.1
00-0036040,Juwan Johnson,TE,NO,0,,17.0,129.4,109.6,19.8
00-0030506,Travis Kelce,TE,KC,0,63.0,19.0,128.5,131.5,-3.0
00-0040126,Colston Loveland,TE,CHI,0,10.0,3.0,124.5,161.9,-37.4
00-0040663,Harold Fannin Jr.,TE,CLE,0,67.0,6.0,124.2,148.1,-23.9
00-0033090,Hunter Henry,TE,NE,0,35.0,12.0,118.5,119.9,-1.4
00-0034351,Dallas Goedert,TE,PHI,0,49.0,13.0,113.6,115.5,-1.9
00-0034383,Dalton Schultz,TE,HOU,0,137.0,16.0,104.7,106.0,-1.3
00-0039065,Sam LaPorta,TE,DET,0,34.0,9.0,104.3,144.1,-39.8
00-0034753,Mark Andrews,TE,BAL,0,86.0,15.0,97.0,127.8,-30.8
00-0038041,Jake Ferguson,TE,DAL,0,129.0,14.0,96.0,124.8,-28.8
00-0039793,AJ Barner,TE,SEA,0,121.0,23.0,92.5,113.4,-20.9
00-0038933,Dalton Kincaid,TE,BUF,0,25.0,10.0,91.0,125.6,-34.6
00-0039847,Theo Johnson,TE,NYG,0,107.0,30.0,90.4,61.5,28.9
00-0038996,Tucker Kraft,TE,GB,0,78.0,5.0,90.1,134.8,-44.7
00-0036894,Pat Freiermuth,TE,PIT,0,55.0,,83.3,,
00-0040189,Oronde Gadsden II,TE,LAC,0,165.0,11.0,83.3,122.1,-38.8
00-0038129,Cade Otton,TE,TB,0,106.0,31.0,80.5,100.0,-19.5
00-0041483,Eli Stowers,TE,PHI,1,54.0,28.0,74.7,65.9,8.8
00-0037809,Chig Okonkwo,TE,WAS,0,143.0,22.0,70.1,95.9,-25.8
00-0038935,Brenton Strange,TE,JAX,0,61.0,18.0,70.0,124.8,-54.8
00-0033881,Evan Engram,TE,DEN,0,23.0,,68.6,,
00-0033885,David Njoku,TE,LAC,0,29.0,25.0,68.6,64.2,4.4
00-0040736,Mason Taylor,TE,NYJ,0,42.0,27.0,67.5,60.8,6.7
00-0041084,Tanner Koziol,TE,JAX,1,164.0,,65.7,,
00-0037838,Isaiah Likely,TE,NYG,0,139.0,21.0,56.4,121.7,-65.3
00-0041032,Kenyon Sadiq,TE,NYJ,1,16.0,20.0,56.2,109.4,-53.2
00-0035229,T.J. Hockenson,TE,MIN,0,8.0,24.0,56.1,103.0,-46.9
00-0041077,Justin Joly,TE,DEN,1,152.0,,54.8,,
00-0040187,Mitchell Evans,TE,CAR,0,163.0,,52.2,,
00-0036290,Cole Kmet,TE,CHI,0,43.0,,51.6,,
00-0033110,Tyler Higbee,TE,LA,0,110.0,,47.5,,
00-0036244,Colby Parkinson,TE,LA,0,133.0,26.0,47.2,67.2,-20.0
00-0034829,Mike Gesicki,TE,CIN,0,42.0,,46.9,,
00-0040584,Gunnar Helm,TE,TEN,0,120.0,32.0,46.9,94.3,-47.4
00-0035689,Dawson Knox,TE,BUF,0,96.0,,45.4,,
00-0038558,Darnell Washington,TE,PIT,0,93.0,,44.2,,
00-0041395,Eli Raridon,TE,NE,1,95.0,,42.2,,
00-0037005,Tommy Tremble,TE,CAR,0,83.0,,42.1,,
00-0039144,Luke Musgrave,TE,GB,0,42.0,,41.4,,
00-0040739,Elijah Arroyo,TE,SEA,0,50.0,,39.7,,
00-0041510,Max Klare,TE,LA,1,61.0,34.0,39.4,45.1,-5.7
00-0037805,Jeremy Ruckert,TE,NYJ,0,101.0,,36.5,,
00-0039066,Michael Mayer,TE,LV,0,35.0,,36.4,,
00-0040737,Terrance Ferguson,TE,LA,0,46.0,29.0,36.1,63.4,-27.3
00-0041524,Will Kacmarek,TE,MIA,1,87.0,,34.3,,
00-0039912,Ben Sinnott,TE,WAS,0,53.0,,33.9,,
00-0037112,Jake Tonges,TE,SF,0,,33.0,33.2,55.8,-22.6
00-0036422,Adam Trautman,TE,DEN,0,105.0,,32.9,,
00-0037252,Greg Dulcich,TE,MIA,0,80.0,,32.3,,
00-0039356,Ja'Tavion Sanders,TE,CAR,0,101.0,,32.1,,
00-0035644,Noah Fant,TE,NO,0,20.0,,31.6,,
00-0038115,Daniel Bellinger,TE,TEN,0,112.0,,30.3,,
00-0041503,Nate Boerkircher,TE,JAX,1,56.0,,29.8,,
00-0034613,Tanner Hudson,TE,CIN,0,,,29.5,,
00-0041398,Riley Nowakowski,TE,PIT,1,169.0,,29.3,,
00-0041087,Joe Royer,TE,CLE,1,170.0,,28.8,,
00-0039074,Davis Allen,TE,LA,0,175.0,,28.0,,
00-0041252,Kenny Fletcher,TE,TB,1,,,27.8,,
00-0041131,Carsen Ryan,TE,CLE,1,248.0,,26.7,,
00-0040194,Jackson Hawes,TE,BUF,0,173.0,,26.2,,
00-0041170,Hayden Large,TE,CHI,1,,,26.1,,
00-0038547,Luke Schoonmaker,TE,DAL,0,58.0,,25.8,,
00-0036423,Albert Okwuegbunam,TE,LV,0,118.0,,25.8,,
00-0032392,Austin Hooper,TE,ATL,0,81.0,,25.5,,
