player_id,player,position,team,is_rookie,draft_pick,adp_pos_rank,projection,sleeper,diff
00-0036963,Amon-Ra St. Brown,WR,DET,0,112.0,4.0,200.0,227.5,-27.5
00-0036554,Nico Collins,WR,HOU,0,89.0,9.0,197.3,198.0,-0.7
00-0036900,Ja'Marr Chase,WR,CIN,0,5.0,1.0,195.1,250.6,-55.5
00-0038543,Jaxon Smith-Njigba,WR,SEA,0,20.0,3.0,194.6,235.1,-40.5
00-0037247,George Pickens,WR,DAL,0,52.0,12.0,187.4,197.9,-10.5
00-0037238,Drake London,WR,ATL,0,8.0,7.0,183.1,197.7,-14.6
00-0039064,Zay Flowers,WR,BAL,0,22.0,24.0,180.6,185.2,-4.6
00-0036358,CeeDee Lamb,WR,DAL,0,17.0,5.0,179.1,222.5,-43.4
00-0036410,Tee Higgins,WR,CIN,0,33.0,14.0,178.0,174.6,3.4
00-0040124,Tetairoa McMillan,WR,CAR,0,8.0,16.0,175.9,178.9,-3.0
00-0039075,Puka Nacua,WR,LA,0,177.0,2.0,174.6,259.0,-84.4
00-0037240,Jameson Williams,WR,DET,0,12.0,25.0,174.2,176.2,-2.0
00-0037239,Chris Olave,WR,NO,0,11.0,11.0,164.2,191.8,-27.6
00-0038117,Wan'Dale Robinson,WR,TEN,0,43.0,44.0,148.7,127.0,21.7
00-0039893,Brian Thomas Jr.,WR,JAX,0,23.0,31.0,147.9,152.9,-5.0
00-0039067,Rashee Rice,WR,KC,0,55.0,13.0,146.8,162.0,-15.2
00-0040129,Emeka Egbuka,WR,TB,0,19.0,20.0,144.7,163.6,-18.9
00-0035676,A.J. Brown,WR,NE,0,51.0,8.0,144.6,195.8,-51.2
00-0036322,Justin Jefferson,WR,MIN,0,22.0,6.0,143.6,202.1,-58.5
00-0041035,De'Zhaun Stribling,WR,SF,1,33.0,101.0,138.7,93.1,45.6
00-0036912,DeVonta Smith,WR,PHI,0,10.0,15.0,137.2,179.1,-41.9
00-0039915,Ladd McConkey,WR,LAC,0,34.0,18.0,137.1,171.8,-34.7
00-0040867,Makai Lemon,WR,PHI,1,20.0,39.0,132.9,138.5,-5.6
00-0037740,Garrett Wilson,WR,NYJ,0,10.0,17.0,132.0,188.1,-56.1
00-0031381,Davante Adams,WR,LA,0,53.0,26.0,130.4,157.7,-27.3
00-0038544,Quentin Johnston,WR,LAC,0,21.0,45.0,129.5,134.9,-5.4
00-0041547,K.C. Concepcion,WR,CLE,1,24.0,50.0,126.0,122.2,3.8
00-0040603,Mario Williams,WR,LA,1,1.0,,124.8,,
00-0039337,Malik Nabers,WR,NYG,0,6.0,10.0,124.0,191.6,-67.6
00-0035640,DK Metcalf,WR,PIT,0,64.0,37.0,122.1,152.3,-30.2
00-0031588,Stefon Diggs,WR,,0,146.0,53.0,121.6,134.6,-13.0
00-0038994,Jordan Addison,WR,MIN,0,23.0,47.0,116.6,134.1,-17.5
00-0036613,Jaylen Waddle,WR,DEN,0,6.0,21.0,115.9,155.0,-39.1
00-0036252,Michael Pittman,WR,PIT,0,34.0,43.0,113.0,133.5,-20.5
00-0038559,Michael Wilson,WR,ARI,0,94.0,38.0,112.2,139.9,-27.7
00-0034348,Courtland Sutton,WR,DEN,0,40.0,35.0,111.8,139.5,-27.7
00-0040900,Anthony Smith,WR,DAL,1,11.0,,109.4,,
00-0037816,Romeo Doubs,WR,NE,0,132.0,46.0,109.1,138.7,-29.6
00-0040735,Luther Burden III,WR,CHI,0,39.0,19.0,108.0,166.7,-58.7
00-0041511,Omar Cooper,WR,NYJ,1,30.0,60.0,107.6,123.8,-16.2
00-0037664,Alec Pierce,WR,IND,0,53.0,33.0,107.5,157.0,-49.5
00-0039849,Marvin Harrison Jr.,WR,ARI,0,4.0,36.0,106.8,145.7,-38.9
00-0038563,Tre Tucker,WR,LV,0,100.0,79.0,106.6,91.8,14.8
00-0038606,Parker Washington,WR,JAX,0,185.0,34.0,105.7,158.2,-52.5
00-0034827,DJ Moore,WR,BUF,0,24.0,32.0,102.0,147.5,-45.5
00-0033921,Chris Godwin Jr.,WR,TB,0,84.0,42.0,100.9,139.6,-38.7
00-0039868,Troy Franklin,WR,DEN,0,102.0,69.0,99.9,70.6,29.3
00-0041438,Carnell Tate,WR,TEN,1,4.0,28.0,98.3,154.8,-56.5
00-0038997,Josh Downs,WR,IND,0,79.0,52.0,95.7,132.1,-36.4
00-0039919,Rome Odunze,WR,CHI,0,9.0,23.0,94.5,156.7,-62.2
00-0040130,Jayden Higgins,WR,HOU,0,34.0,59.0,94.2,135.2,-41.0
00-0037261,Khalil Shakir,WR,BUF,0,148.0,48.0,92.3,132.0,-39.7
00-0038124,Christian Watson,WR,GB,0,34.0,29.0,90.9,159.9,-69.0
00-0041489,Germie Bernard,WR,PIT,1,47.0,84.0,90.5,80.9,9.6
00-0035719,Deebo Samuel Sr.,WR,,0,36.0,62.0,90.3,102.9,-12.6
00-0030279,Keenan Allen,WR,,0,76.0,94.0,90.1,76.0,14.1
00-0038608,Kayshon Boutte,WR,NE,0,187.0,67.0,89.8,79.1,10.7
00-0034960,Jakobi Meyers,WR,JAX,0,,40.0,89.0,137.3,-48.3
00-0031408,Mike Evans,WR,SF,0,7.0,22.0,87.9,173.0,-85.1
00-0041029,Jordyn Tyson,WR,NO,1,8.0,30.0,86.6,145.6,-59.0
00-0039894,Xavier Worthy,WR,KC,0,28.0,56.0,85.8,134.0,-48.2
00-0041037,Denzel Boston,WR,CLE,1,39.0,58.0,85.0,119.2,-34.2
00-0039901,Keon Coleman,WR,BUF,0,33.0,95.0,77.9,31.8,46.1
00-0040667,Matthew Golden,WR,GB,0,23.0,54.0,77.5,132.3,-54.8
00-0041040,Antonio Williams,WR,WAS,1,71.0,63.0,76.5,79.5,-3.0
00-0037545,Rashid Shaheed,WR,SEA,0,,65.0,76.3,111.2,-34.9
00-0038977,Tank Dell,WR,HOU,0,69.0,80.0,75.4,80.8,-5.4
00-0036259,Jauan Jennings,WR,MIN,0,217.0,57.0,74.7,108.1,-33.4
00-0040705,Chimere Dike,WR,TEN,0,103.0,71.0,72.3,70.4,1.9
00-0040782,Isaiah Bond,WR,CLE,0,,,72.0,,
00-0038621,DeMario Douglas,WR,NE,0,210.0,,71.0,,
00-0036407,Jerry Jeudy,WR,CLE,0,15.0,64.0,70.6,98.1,-27.5
00-0035659,Terry McLaurin,WR,WAS,0,76.0,27.0,69.0,165.6,-96.6
00-0040718,Travis Hunter,WR,JAX,0,2.0,49.0,67.0,83.1,-16.1
00-0040669,Isaac TeSlaa,WR,DET,0,70.0,76.0,66.8,88.9,-22.1
00-0040237,Tez Johnson,WR,TB,0,235.0,,66.6,,
00-0041523,Caleb Douglas,WR,MIA,1,75.0,,66.5,,
00-0040134,Pat Bryant,WR,DEN,0,74.0,70.0,66.4,78.9,-12.5
