norm_name,position,entry_class,projection,sleeper,diff
malik nabers,WR,2024,131.8,192.3,-60.5
brian thomas,WR,2024,107.6,183.2,-75.6
ladd mcconkey,WR,2024,115.2,176.6,-61.4
marvin harrison,WR,2024,116.6,196.8,-80.2
jalen mcmillan,WR,2024,52.3,56.3,-4.0
xavier worthy,WR,2024,106.5,156.0,-49.5
ricky pearsall,WR,2024,123.0,62.6,60.4
jalen coker,WR,2024,16.3,56.4,-40.1
rome odunze,WR,2024,111.9,145.8,-33.9
xavier legette,WR,2024,112.2,115.2,-3.0
devaughn vele,WR,2024,15.3,52.8,-37.5
keon coleman,WR,2024,133.6,101.3,32.3
tyrell shavers,WR,2024,0.1,,
bub means,WR,2024,18.3,53.0,-34.7
malik washington,WR,2024,31.6,30.5,1.1
troy franklin,WR,2024,60.6,85.6,-25.0
kevin austin,WR,2024,13.0,,
jordan whittington,WR,2024,13.0,97.2,-84.2
adonai mitchell,WR,2024,57.0,90.8,-33.8
ainias smith,WR,2024,20.2,26.2,-6.0
jalynn polk,WR,2024,136.4,96.7,39.7
mason tipton,WR,2024,6.8,49.1,-42.3
bryce oliver,WR,2024,10.5,,
luke mccaffrey,WR,2024,58.8,85.3,-26.5
ryan flournoy,WR,2024,15.8,,
nikko remigio,WR,2024,2.6,,
devontez walker,WR,2024,41.6,74.1,-32.5
jermaine burton,WR,2024,26.2,77.0,-50.8
jacob cowing,WR,2024,21.4,25.5,-4.1
chris blair,WR,2024,4.4,,
anthony gould,WR,2024,15.0,,
johnny wilson,WR,2024,31.5,30.2,1.3
malachi corley,WR,2024,42.3,25.5,16.8
xavier smith,WR,2024,1.7,,
jamari thrash,WR,2024,37.6,26.2,11.4
kameron johnson,WR,2024,11.6,,
isaiah williams,WR,2024,2.8,,
javon baker,WR,2024,41.0,30.8,10.2
ramel keyton,WR,2024,9.4,,
jhaquan jackson,WR,2024,12.3,,
kaden davis,WR,2024,2.1,,
kendric pryor,WR,2024,4.7,,
tyreik mcallister,WR,2024,5.7,,
bryce fordwheaton,WR,2024,9.7,,
brycen tremayne,WR,2024,1.1,,
casey washington,WR,2024,8.5,,
xavier weaver,WR,2024,1.1,,
jermaine jackson,WR,2024,8.0,,
tetairoa mcmillan,WR,2025,137.5,189.2,-51.7
emeka egbuka,WR,2025,117.8,158.2,-40.4
theo wease,WR,2025,0.6,7.4,-6.8
tory horton,WR,2025,41.9,92.0,-50.1
travis hunter,WR,2025,159.6,165.5,-5.9
luther burden,WR,2025,115.7,110.2,5.5
chimere dike,WR,2025,45.1,53.5,-8.4
elic ayomanor,WR,2025,51.0,97.2,-46.2
jayden higgins,WR,2025,113.6,128.6,-15.0
tez johnson,WR,2025,25.3,5.4,19.9
isaac teslaa,WR,2025,60.6,85.0,-24.4
matthew golden,WR,2025,98.3,164.9,-66.6
pat bryant,WR,2025,52.7,75.8,-23.1
jahdae walker,WR,2025,9.8,1.3,8.5
tre harris,WR,2025,88.2,110.6,-22.4
jaylin noel,WR,2025,47.0,65.0,-18.0
jaylin lane,WR,2025,15.7,57.1,-41.4
isaiah bond,WR,2025,25.3,54.4,-29.1
jack bech,WR,2025,50.6,68.1,-17.5
kyle williams,WR,2025,44.8,84.4,-39.6
savion williams,WR,2025,36.8,22.2,14.6
jimmy horn,WR,2025,22.6,26.8,-4.2
mitchell tinsley,WR,2025,4.9,,
efton chism,WR,2025,4.7,3.6,1.1
keandre lambertsmith,WR,2025,28.8,25.3,3.5
donte thornton,WR,2025,30.5,88.0,-57.5
konata mumpfield,WR,2025,34.9,16.4,18.5
darius cooper,WR,2025,2.3,,
dylan drummond,WR,2025,2.5,,
jordan watkins,WR,2025,3.3,2.5,0.8
gage larvadain,WR,2025,8.2,,
tai felton,WR,2025,33.1,23.5,9.6
arian smith,WR,2025,43.8,38.2,5.6
beaux collins,WR,2025,4.2,3.2,1.0
keshawn williams,WR,2025,3.5,,
jalen royals,WR,2025,37.2,51.6,-14.4
lajohntay wester,WR,2025,27.2,3.4,23.8
dominic lovett,WR,2025,10.1,,
dalen cambre,WR,2025,11.4,,
myles price,WR,2025,3.8,,
jared wayne,WR,2025,5.8,,
jalen cropper,WR,2025,16.5,,
