player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank
00-0037834,Brock Purdy,QB,SF,LA,2025-11-09,24.06,27.5,1.0,0.5,1,0.1645314529215629,0.7333333333333333,0.3858641358641358,3,26
00-0034857,Josh Allen,QB,BUF,MIA,2025-11-09,22.34,21.0,1.0,1.0,0,0.1692050266074698,0.2142857142857142,0.4848068598068598,2,14
00-0039732,Bo Nix,QB,DEN,LV,2025-11-06,21.05,16.5,1.0,1.0,1,0.1174218214754575,0.4,0.4614968364968364,8,16
00-0039851,Drake Maye,QB,NE,TB,2025-11-09,19.78,25.5,1.0,1.0,0,0.1569497663344893,0.2,0.4147435897435897,5,23
00-0033106,Jared Goff,QB,DET,WAS,2025-11-09,18.97,20.5,1.0,1.0,0,0.1573203137248841,0.4666666666666667,0.6192557442557443,4,4
00-0034796,Lamar Jackson,QB,BAL,MIN,2025-11-09,18.97,22.0,1.0,1.0,0,-0.0035963003912532,0.7857142857142857,0.4665334665334665,17,15
00-0036389,Jalen Hurts,QB,PHI,GB,2025-11-10,18.71,23.5,1.0,1.0,0,0.0590580013814779,0.2857142857142857,0.4583749583749584,13,18
00-0035228,Kyler Murray,QB,ARI,SEA,2025-11-09,18.67,25.75,1.0,1.0,0,-0.0200817692320336,0.6666666666666666,0.5669955044955045,21,5
00-0036971,Trevor Lawrence,QB,JAX,HOU,2025-11-09,18.63,18.0,1.0,1.0,0,0.1250437759787225,0.5333333333333333,0.4613719613719613,7,17
00-0036264,Jordan Love,QB,GB,PHI,2025-11-10,18.39,22.0,1.0,1.0,1,0.1529564013719251,0.8461538461538461,0.7367007992007992,6,1
00-0035710,Daniel Jones,QB,IND,ATL,2025-11-09,18.27,21.0,1.0,1.0,1,-0.1099062493798814,0.5454545454545454,0.6739094239094239,24,3
00-0039923,J.J. McCarthy,QB,MIN,BAL,2025-11-09,17.92,26.5,2.0,1.0,1,-0.0559571697535418,0.1428571428571428,0.3954170829170829,22,25
00-0033119,Jacoby Brissett,QB,ARI,SEA,2025-11-09,17.87,25.75,1.0,1.0,0,-0.0200817692320336,0.3333333333333333,0.5669955044955045,21,5
00-0039918,Caleb Williams,QB,CHI,NYG,2025-11-09,17.28,20.5,1.0,1.0,1,0.075685334949902,0.7333333333333333,0.5668914418914419,9,6
00-0026498,Matthew Stafford,QB,LA,SF,2025-11-09,17.02,22.0,1.0,1.0,0,0.2548577506652165,0.4,0.5377747252747253,1,10
00-0032950,Carson Wentz,QB,MIN,BAL,2025-11-09,17.0,26.5,2.0,1.0,1,-0.0559571697535418,0.6666666666666666,0.3954170829170829,22,25
00-0029263,Russell Wilson,QB,NYG,CHI,2025-11-09,16.72,25.0,2.0,1.0,0,-0.0875692463965452,0.8,0.5231684981684982,23,12
00-0036945,Justin Fields,QB,NYJ,CLE,2025-11-09,16.44,19.5,2.0,1.0,1,-0.2392364677490492,0.25,0.4395812520812521,28,19
