player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank,pred_qb_pass_yards,pred_qb_rush_yards,pred_rush_yards,pred_rec_yards,pred_wr_receptions,pred_wr_rec_yards,pred_te_receptions,pred_te_rec_yards
00-0037834,Brock Purdy,QB,SF,CAR,2025-11-24,24.17,20.5,1.0,1.0,1,0.1645314529215629,0.7333333333333333,0.3858641358641358,3,27,271.84,15.47,,,,,,
00-0033106,Jared Goff,QB,DET,NYG,2025-11-23,21.14,18.25,1.0,1.0,1,0.1573203137248841,0.4666666666666667,0.6192557442557443,4,4,269.65,4.58,,,,,,
00-0036264,Jordan Love,QB,GB,MIN,2025-11-23,19.8,17.5,1.0,1.0,1,0.1529564013719251,0.8461538461538461,0.7367007992007992,6,1,271.46,10.22,,,,,,
00-0035710,Daniel Jones,QB,IND,KC,2025-11-23,19.68,27.0,1.0,1.0,0,-0.1099062493798814,0.5454545454545454,0.6739094239094239,24,3,258.72,18.5,,,,,,
00-0034857,Josh Allen,QB,BUF,HOU,2025-11-20,19.67,19.0,1.0,1.0,0,0.1692050266074698,0.2142857142857142,0.4848068598068598,2,16,187.82,35.37,,,,,,
00-0039851,Drake Maye,QB,NE,CIN,2025-11-23,19.5,21.5,1.0,1.0,0,0.1569497663344893,0.2,0.4147435897435897,5,24,219.65,25.36,,,,,,
00-0035228,Kyler Murray,QB,ARI,JAX,2025-11-23,19.48,25.0,3.0,1.0,1,-0.0200817692320336,0.6666666666666666,0.5669955044955045,20,5,228.05,18.88,,,,,,
00-0036971,Trevor Lawrence,QB,JAX,ARI,2025-11-23,18.38,22.5,1.0,1.0,0,0.1250437759787225,0.5333333333333333,0.4613719613719613,7,19,233.22,18.92,,,,,,
00-0033873,Patrick Mahomes,QB,KC,IND,2025-11-23,18.08,23.5,1.0,1.0,1,-0.1152884611769509,0.5833333333333334,0.4682609057609058,25,17,265.11,14.05,,,,,,
00-0033077,Dak Prescott,QB,DAL,PHI,2025-11-23,17.97,25.25,1.0,1.0,1,0.0876025690281826,0.2666666666666666,0.5569222444222444,8,7,263.91,9.6,,,,,,
00-0033119,Jacoby Brissett,QB,ARI,JAX,2025-11-23,17.87,25.0,1.0,1.0,1,-0.0200817692320336,0.3333333333333333,0.5669955044955045,20,5,248.81,16.61,,,,,,
00-0026498,Matthew Stafford,QB,LA,TB,2025-11-23,17.69,21.25,1.0,1.0,1,0.2548577506652165,0.4,0.5377747252747253,1,11,267.5,3.12,,,,,,
