player_id,player,position,adp_half_ppr,adp_pos_rank,sleeper_pts_half_ppr,refreshed_at,adp_source,adp_matched,sleeper_matched
00-0034855,Baker Mayfield,QB,164.7,18,274.88,2026-09-08,fresh,True,True
00-0039732,Bo Nix,QB,119.0,14,295.72,2026-09-08,fresh,True,True
00-0037834,Brock Purdy,QB,127.4,15,303.2,2026-09-08,fresh,True,True
00-0039163,C.J. Stroud,QB,208.7,23,247.82,2026-09-08,fresh,True,True
00-0039918,Caleb Williams,QB,74.1,7,299.34,2026-09-08,fresh,True,True
00-0033077,Dak Prescott,QB,86.1,9,303.88,2026-09-08,fresh,True,True
00-0039851,Drake Maye,QB,52.8,3,320.76,2026-09-08,fresh,True,True
MEN516487,Fernando Mendoza,QB,209.7,24,212.16,2026-09-08,fresh,True,True
00-0036389,Jalen Hurts,QB,61.3,5,310.54,2026-09-08,fresh,True,True
00-0033106,Jared Goff,QB,142.3,16,283.46,2026-09-08,fresh,True,True
00-0040691,Jaxson Dart,QB,110.5,12,296.54,2026-09-08,fresh,True,True
00-0039910,Jayden Daniels,QB,70.6,6,308.72,2026-09-08,fresh,True,True
00-0036442,Joe Burrow,QB,53.3,4,306.12,2026-09-08,fresh,True,True
00-0036264,Jordan Love,QB,165.9,19,278.52,2026-09-08,fresh,True,True
00-0034857,Josh Allen,QB,20.9,1,361.5,2026-09-08,fresh,True,True
00-0036355,Justin Herbert,QB,79.1,8,295.48,2026-09-08,fresh,True,True
00-0035228,Kyler Murray,QB,149.9,17,283.06,2026-09-08,fresh,True,True
00-0034796,Lamar Jackson,QB,34.3,2,326.0,2026-09-08,fresh,True,True
00-0038128,Malik Willis,QB,203.3,22,270.12,2026-09-08,fresh,True,True
00-0026498,Matthew Stafford,QB,105.8,11,280.22,2026-09-08,fresh,True,True
00-0033873,Patrick Mahomes,QB,116.2,13,286.68,2026-09-08,fresh,True,True
00-0034869,Sam Darnold,QB,181.6,20,262.74,2026-09-08,fresh,True,True
00-0036971,Trevor Lawrence,QB,99.2,10,303.42,2026-09-08,fresh,True,True
00-0040743,Tyler Shough,QB,185.5,21,270.94,2026-09-08,fresh,True,True
00-0033293,Aaron Jones,RB,117.3,41,120.1,2026-09-08,fresh,True,True
