player_id,player,position,espn_id,espn_adp,espn_pos_rank,refreshed_at,adp_source,adp_matched
00-0034855,Baker Mayfield,QB,3052587,147.61,18,2026-09-07,fresh,True
00-0039732,Bo Nix,QB,4426338,104.22,13,2026-09-07,fresh,True
00-0037834,Brock Purdy,QB,4361741,109.2,14,2026-09-07,fresh,True
00-0039163,C.J. Stroud,QB,4432577,165.41,22,2026-09-07,fresh,True
00-0039918,Caleb Williams,QB,4431611,85.16,9,2026-09-07,fresh,True
00-0033077,Dak Prescott,QB,2577417,71.85,7,2026-09-07,fresh,True
00-0039851,Drake Maye,QB,4431452,46.66,3,2026-09-07,fresh,True
MEN516487,Fernando Mendoza,QB,4837248,168.8,24,2026-09-07,fresh,True
00-0036389,Jalen Hurts,QB,4040715,54.44,6,2026-09-07,fresh,True
00-0033106,Jared Goff,QB,3046779,137.51,17,2026-09-07,fresh,True
00-0040691,Jaxson Dart,QB,4689114,82.24,8,2026-09-07,fresh,True
00-0039910,Jayden Daniels,QB,4426348,52.75,4,2026-09-07,fresh,True
00-0036442,Joe Burrow,QB,3915511,53.11,5,2026-09-07,fresh,True
00-0036264,Jordan Love,QB,4036378,155.44,20,2026-09-07,fresh,True
00-0034857,Josh Allen,QB,3918298,19.06,1,2026-09-07,fresh,True
00-0036355,Justin Herbert,QB,4038941,85.43,10,2026-09-07,fresh,True
00-0035228,Kyler Murray,QB,3917315,136.7,16,2026-09-07,fresh,True
00-0034796,Lamar Jackson,QB,3916387,33.55,2,2026-09-07,fresh,True
00-0038128,Malik Willis,QB,4242512,167.49,23,2026-09-07,fresh,True
00-0026498,Matthew Stafford,QB,12483,93.11,11,2026-09-07,fresh,True
00-0033873,Patrick Mahomes,QB,3139477,109.31,15,2026-09-07,fresh,True
00-0034869,Sam Darnold,QB,3912547,162.65,21,2026-09-07,fresh,True
00-0036971,Trevor Lawrence,QB,4360310,103.77,12,2026-09-07,fresh,True
00-0040743,Tyler Shough,QB,4360689,152.61,19,2026-09-07,fresh,True
00-0033293,Aaron Jones,RB,3042519,116.66,36,2026-09-07,fresh,True
00-0033906,Alvin Kamara,RB,3054850,163.47,48,2026-09-07,fresh,True
00-0040122,Ashton Jeanty,RB,4890973,21.59,11,2026-09-07,fresh,True
00-0040719,Bhayshul Tuten,RB,4882093,61.73,23,2026-09-07,fresh,True
00-0038542,Bijan Robinson,RB,4430807,2.4,2,2026-09-07,fresh,True
00-0039738,Blake Corum,RB,4429096,127.01,38,2026-09-07,fresh,True
00-0039794,Braelon Allen,RB,4685247,171.03,60,2026-09-07,fresh,True
00-0038120,Breece Hall,RB,4427366,35.74,16,2026-09-07,fresh,True
00-0037746,Brian Robinson,RB,4241474,167.92,52,2026-09-07,fresh,True
00-0039361,Bucky Irving,RB,4596448,56.25,21,2026-09-07,fresh,True
00-0040715,Cam Skattebo,RB,4696981,44.99,18,2026-09-07,fresh,True
00-0038597,Chase Brown,RB,4362238,17.72,10,2026-09-07,fresh,True
00-0038611,Chris Rodriguez,RB,4362619,164.59,50,2026-09-07,fresh,True
00-0033280,Christian McCaffrey,RB,3117251,7.72,4,2026-09-07,fresh,True
00-0036555,Chuba Hubbard,RB,4241416,111.57,35,2026-09-07,fresh,True
00-0036275,D'Andre Swift,RB,4259545,52.62,20,2026-09-07,fresh,True
00-0035685,David Montgomery,RB,4035538,61.56,22,2026-09-07,fresh,True
