player_id,player,position,yahoo_id,yahoo_adp,yahoo_pos_rank,refreshed_at,adp_source,adp_matched
00-0034855,Baker Mayfield,QB,30971,125.5,22,2026-09-07,fresh,True
00-0039732,Bo Nix,QB,40875,98.4,13,2026-09-07,fresh,True
00-0037834,Brock Purdy,QB,34218,98.2,12,2026-09-07,fresh,True
00-0039163,C.J. Stroud,QB,40030,125.6,23,2026-09-07,fresh,True
00-0039918,Caleb Williams,QB,40900,66.0,7,2026-09-07,fresh,True
00-0033077,Dak Prescott,QB,29369,73.1,9,2026-09-07,fresh,True
00-0039851,Drake Maye,QB,40881,48.0,3,2026-09-07,fresh,True
MEN516487,Fernando Mendoza,QB,42623,117.6,18,2026-09-07,fresh,True
00-0036389,Jalen Hurts,QB,32723,55.5,5,2026-09-07,fresh,True
00-0033106,Jared Goff,QB,29235,112.5,16,2026-09-07,fresh,True
00-0040691,Jaxson Dart,QB,41810,94.1,11,2026-09-07,fresh,True
00-0039910,Jayden Daniels,QB,40896,56.4,6,2026-09-07,fresh,True
00-0036442,Joe Burrow,QB,32671,50.8,4,2026-09-07,fresh,True
00-0036264,Jordan Love,QB,32696,121.8,19,2026-09-07,fresh,True
00-0034857,Josh Allen,QB,30977,21.2,1,2026-09-07,fresh,True
00-0036355,Justin Herbert,QB,32676,70.1,8,2026-09-07,fresh,True
00-0035228,Kyler Murray,QB,31833,113.2,17,2026-09-07,fresh,True
00-0034796,Lamar Jackson,QB,31002,39.0,2,2026-09-07,fresh,True
00-0038128,Malik Willis,QB,34042,124.8,21,2026-09-07,fresh,True
00-0026498,Matthew Stafford,QB,9265,99.3,14,2026-09-07,fresh,True
00-0033873,Patrick Mahomes,QB,30123,105.0,15,2026-09-07,fresh,True
00-0034869,Sam Darnold,QB,30973,122.2,20,2026-09-07,fresh,True
00-0036971,Trevor Lawrence,QB,33389,82.5,10,2026-09-07,fresh,True
00-0040743,Tyler Shough,QB,41825,130.0,24,2026-09-07,fresh,True
00-0033293,Aaron Jones,RB,30295,124.7,43,2026-09-07,fresh,True
00-0033906,Alvin Kamara,RB,30180,125.6,46,2026-09-07,fresh,True
00-0040122,Ashton Jeanty,RB,41791,18.7,12,2026-09-07,fresh,True
00-0040719,Bhayshul Tuten,RB,41900,61.5,24,2026-09-07,fresh,True
00-0038542,Bijan Robinson,RB,40055,2.0,2,2026-09-07,fresh,True
00-0039738,Blake Corum,RB,40962,99.5,35,2026-09-07,fresh,True
00-0039794,Braelon Allen,RB,40981,126.6,48,2026-09-07,fresh,True
00-0038120,Breece Hall,RB,33991,34.4,16,2026-09-07,fresh,True
00-0037746,Brian Robinson,RB,34054,117.6,40,2026-09-07,fresh,True
00-0039361,Bucky Irving,RB,40993,53.1,20,2026-09-07,fresh,True
00-0040715,Cam Skattebo,RB,41922,42.5,18,2026-09-07,fresh,True
00-0038597,Chase Brown,RB,40196,15.5,8,2026-09-07,fresh,True
00-0038611,Chris Rodriguez,RB,40231,130.4,52,2026-09-07,fresh,True
00-0033280,Christian McCaffrey,RB,30121,6.1,4,2026-09-07,fresh,True
00-0036555,Chuba Hubbard,RB,33514,90.9,33,2026-09-07,fresh,True
00-0036275,D'Andre Swift,RB,32705,45.2,19,2026-09-07,fresh,True
00-0035685,David Montgomery,RB,31905,53.1,20,2026-09-07,fresh,True
00-0039040,De'Von Achane,RB,40118,15.5,8,2026-09-07,fresh,True
00-0032764,Derrick Henry,RB,29279,16.8,10,2026-09-07,fresh,True
00-0040162,Dylan Sampson,RB,41907,,,2026-09-07,unmatched,False
JOH224817,Emmett Johnson,RB,42796,126.2,47,2026-09-07,fresh,True
00-0037197,Isiah Pacheco,RB,34207,124.9,44,2026-09-07,fresh,True
00-0036158,J.K. Dobbins,RB,32725,94.2,34,2026-09-07,fresh,True
00-0040242,Jacory Croskey-Merritt,RB,42010,105.4,36,2026-09-07,fresh,True
