player,position,team,ppg_pred,games_pred,projected_total,vor,our_overall_rank,our_pos_rank,adp_pos_rank,adp_overall_rank,value_gap,sleeper_pts_half_ppr,age,years_exp,target_ppg,target_games
Jahmyr Gibbs,RB,DET,15.225734136286746,16.174966297743673,246.27573651284348,134.97559696674267,1.0,1.0,3.0,4.0,2.0,275.3,23.45242984257358,2,19.31764705882353,17.0
De'Von Achane,RB,MIA,14.924488912658134,16.162747575158548,241.2207469835459,129.92060743744508,2.0,2.0,8.0,15.0,6.0,233.4,23.88501026694045,2,18.08125,16.0
Bijan Robinson,RB,ATL,14.976258399770279,15.799677887857882,236.62005868169635,125.31991913559554,3.0,3.0,1.0,2.0,-2.0,280.1,23.586584531143053,2,19.488235294117647,17.0
Bucky Irving,RB,TB,13.237219238044508,16.076150759934187,212.80353211310467,101.50339256700386,4.0,4.0,10.0,23.0,6.0,224.6,23.0362765229295,1,12.35,10.0
Kyren Williams,RB,LA,13.115613855879745,15.706513916043958,206.00057154483417,94.70043199873336,5.0,5.0,11.0,24.0,6.0,223.1,25.01574264202601,3,12.265,20.0
Saquon Barkley,RB,PHI,13.886845793981845,14.572171765598359,202.36150219228057,91.06136264617976,6.0,6.0,2.0,3.0,-4.0,283.0,28.55852156057495,7,12.576470588235296,17.0
Jalen Hurts,QB,PHI,19.04276819061429,16.48732493464278,313.9643068137373,89.4890604159078,7.0,1.0,3.0,33.0,2.0,351.5,27.069130732375086,5,17.709411764705884,17.0
Brian Thomas Jr.,WR,JAX,13.961424037520462,15.697758499292004,219.16306284720653,86.32919196504523,8.0,1.0,10.0,20.0,9.0,226.3,22.899383983572896,1,7.653333333333333,15.0
Malik Nabers,WR,NYG,14.447836478125675,15.105722986703451,218.24501559575563,85.41114471359433,9.0,2.0,5.0,11.0,3.0,228.3,22.09719370294319,1,12.025,4.0
Breece Hall,RB,NYJ,12.374883558681024,15.837639932768557,195.98895001232765,84.68881046622684,10.0,7.0,15.0,34.0,8.0,192.3,24.254620123203285,3,11.85375,16.0
