player,position,team,ppg_pred,games_pred,projected_total,vor,our_overall_rank,our_pos_rank,blend_rank,blend_pos_rank,adp_pos_rank,adp_overall_rank,value_gap,sleeper_pts_half_ppr,age,years_exp,target_ppg,target_games
Jahmyr Gibbs,RB,DET,15.212317930969075,15.721080087629224,239.1540685112429,124.42989896521091,1.0,1.0,2.0,2.0,2.0,2.0,1.0,277.9,24.4517453798768,3.0,,0.0
De'Von Achane,RB,MIA,15.376971215358394,15.041702541988247,231.29582701813646,116.57165747210446,2.0,2.0,11.0,5.0,8.0,13.0,6.0,222.0,24.88432580424367,3.0,,0.0
Bijan Robinson,RB,ATL,14.588560283920696,15.39653483675925,224.6132766295474,109.88910708351541,3.0,3.0,1.0,1.0,1.0,1.0,-2.0,292.9,24.58590006844627,3.0,,0.0
Amon-Ra St. Brown,WR,DET,12.973288715665985,16.6856162920351,216.46731755539147,96.28761611329774,4.0,1.0,10.0,4.0,5.0,11.0,4.0,227.5,26.855578370978783,5.0,,0.0
Kyren Williams,RB,LA,13.009671735328219,16.15541299209077,210.1766197757576,95.45245022972559,5.0,4.0,32.0,15.0,17.0,33.0,13.0,185.3,26.015058179329227,4.0,,0.0
Puka Nacua,WR,LA,13.274566881643219,15.851173210808668,210.41745893939094,90.23775749729721,6.0,2.0,4.0,1.0,2.0,5.0,0.0,259.0,25.259411362080765,3.0,,0.0
Jaxon Smith-Njigba,WR,SEA,12.74109992223787,16.501227886713295,210.24379334423213,90.0640919021384,7.0,3.0,9.0,3.0,3.0,7.0,0.0,235.1,24.54483230663929,3.0,,0.0
Ja'Marr Chase,WR,CIN,13.814330553116962,15.170635249109168,209.57217003196192,89.39246858986819,8.0,4.0,6.0,2.0,1.0,3.0,-3.0,250.6,26.50239561943874,5.0,,0.0
Jonathan Taylor,RB,IND,13.402983146005475,14.879154381743682,199.4250554053241,84.70088585929209,9.0,5.0,5.0,3.0,3.0,4.0,-2.0,254.3,27.616700889801507,6.0,,0.0
James Cook,RB,BUF,13.047327021536706,15.140782296765344,197.54673798779106,82.82256844175906,10.0,6.0,8.0,4.0,5.0,8.0,-1.0,245.3,26.93497604380561,4.0,,0.0
Chase Brown,RB,CIN,12.143855535406887,15.316437750278272,186.0006073564318,71.2764378103998,11.0,7.0,17.0,9.0,12.0,19.0,5.0,205.8,26.4476386036961,3.0,,0.0
Caleb Williams,QB,CHI,17.473062713986543,16.778539282687593,293.1724691354871,69.2111557326946,12.0,1.0,24.0,4.0,9.0,90.0,8.0,299.34,24.78576317590691,2.0,,0.0
Bo Nix,QB,DEN,17.23300859489013,16.72347425769567,288.19577561929333,64.23446221650082,13.0,2.0,38.0,8.0,15.0,121.0,13.0,295.72,26.5160848733744,2.0,,0.0
Tetairoa McMillan,WR,CAR,11.83264523084571,15.494366672536312,183.3393439127615,63.15964247066778,14.0,5.0,37.0,12.0,15.0,35.0,10.0,178.9,23.408624229979463,1.0,,0.0
Kenneth Walker III,RB,KC,11.525651820657858,15.42443655601286,177.77668527443126,63.05251572839926,15.0,8.0,14.0,8.0,6.0,9.0,-2.0,210.0,25.86447638603696,4.0,,0.0
Javonte Williams,RB,DAL,11.601090905461962,15.222663006289485,176.5994973591772,61.875327813145205,16.0,9.0,36.0,17.0,19.0,39.0,10.0,185.8,26.35181382614648,5.0,,0.0
Breece Hall,RB,NYJ,11.771981558821667,14.949558664719902,175.98592891360533,61.26175936757333,17.0,10.0,27.0,13.0,16.0,32.0,6.0,195.6,25.253935660506503,4.0,,0.0
Jalen Hurts,QB,PHI,17.149083778757614,16.596312500058744,284.6115534819496,60.6502400791571,18.0,3.0,15.0,3.0,6.0,67.0,3.0,310.54,28.0684462696783,6.0,,0.0
