season,player,position,team,ffc_adp,fmt,norm_name,ffc_overall_rank,ffc_pos_rank
2008,LaDainian Tomlinson,RB,LAC,1.4,standard,ladainian tomlinson,1,1
2008,Adrian Peterson,RB,MIN,2.4,standard,adrian peterson,2,2
2008,Brian Westbrook,RB,PHI,2.8,standard,brian westbrook,3,3
2008,Joseph Addai,RB,IND,4.7,standard,joseph addai,4,4
2008,Steven Jackson,RB,LAR,5.2,standard,steven jackson,5,5
2008,Tom Brady,QB,NE,5.7,standard,tom brady,6,1
2008,Marion Barber,RB,DAL,6.8,standard,marion barber,7,6
2008,Randy Moss,WR,NE,8.4,standard,randy moss,8,1
2008,Frank Gore,RB,SF,9.3,standard,frank gore,9,7
2008,Clinton Portis,RB,WAS,10.2,standard,clinton portis,10,8
2008,Marshawn Lynch,RB,,11.7,standard,marshawn lynch,11,9
2008,Terrell Owens,WR,DAL,11.7,standard,terrell owens,11,2
2008,Reggie Wayne,WR,IND,14.1,standard,reggie wayne,13,3
2008,Peyton Manning,QB,IND,14.7,standard,peyton manning,14,2
2008,Braylon Edwards,WR,CLE,16.3,standard,braylon edwards,15,4
2008,Larry Johnson,RB,KC,16.6,standard,larry johnson,16,10
2008,Tony Romo,QB,DAL,18.2,standard,tony romo,17,3
2008,Andre Johnson,WR,HOU,18.7,standard,andre johnson,18,5
2008,Larry Fitzgerald,WR,ARI,18.9,standard,larry fitzgerald,19,6
2008,Ryan Grant,RB,GB,19.6,standard,ryan grant,20,11
2008,Marques Colston,WR,NO,20.4,standard,marques colston,21,7
2008,Maurice Jones-Drew,RB,JAX,21.5,standard,maurice jonesdrew,22,12
2008,Drew Brees,QB,NO,24.4,standard,drew brees,23,4
2008,T.J. Houshmandzadeh,WR,CIN,24.6,standard,tj houshmandzadeh,24,8
2008,Jamal Lewis,RB,CLE,26.6,standard,jamal lewis,25,13
2008,Chad Johnson,WR,CIN,28.3,standard,chad johnson,26,9
2008,Willis McGahee,RB,BAL,28.4,standard,willis mcgahee,27,14
2008,Plaxico Burress,WR,NYG,28.6,standard,plaxico burress,28,10
2008,Steve Smith,WR,CAR,30.2,standard,steve smith,29,11
2008,Reggie Bush,RB,NO,30.9,standard,reggie bush,30,15
2008,Torry Holt,WR,LAR,31.5,standard,torry holt,31,12
2008,Wes Welker,WR,NE,33.6,standard,wes welker,32,13
2008,Brandon Jacobs,RB,NYG,34.0,standard,brandon jacobs,33,16
2008,Thomas Jones,RB,NYJ,34.9,standard,thomas jones,34,17
2008,Santonio Holmes,WR,PIT,35.4,standard,santonio holmes,35,14
2008,Brandon Marshall,WR,DEN,35.5,standard,brandon marshall,36,15
2008,Anquan Boldin,WR,ARI,36.7,standard,anquan boldin,37,16
2008,Laurence Maroney,RB,NE,39.4,standard,laurence maroney,38,18
2008,Carson Palmer,QB,CIN,39.5,standard,carson palmer,39,5
2008,Willie Parker,RB,PIT,40.0,standard,willie parker,40,19
2008,Roy Williams,WR,DAL,41.8,standard,roy williams,41,17
2008,Calvin Johnson,WR,DET,42.6,standard,calvin johnson,42,18
2008,Michael Turner,RB,ATL,43.1,standard,michael turner,43,20
2008,Jason Witten,TE,DAL,44.1,standard,jason witten,44,1
2008,Darren McFadden,RB,LV,44.6,standard,darren mcfadden,45,21
2008,Marvin Harrison,WR,IND,45.5,standard,marvin harrison,46,19
2008,Ben Roethlisberger,QB,PIT,46.2,standard,ben roethlisberger,47,6
2008,Earnest Graham,RB,TB,48.5,standard,earnest graham,48,22
2008,Greg Jennings,WR,GB,49.6,standard,greg jennings,49,20
2008,Todd Heap,TE,BAL,50.3,standard,todd heap,50,2
2008,Antonio Gates,TE,LAC,51.1,standard,antonio gates,51,3
2008,Derek Anderson,QB,CLE,51.3,standard,derek anderson,52,7
2008,Kellen Winslow,TE,CLE,53.2,standard,kellen winslow,53,4
2008,Jerricho Cotchery,WR,NYJ,56.0,standard,jerricho cotchery,54,21
2008,Jonathan Stewart,RB,CAR,56.1,standard,jonathan stewart,55,23
2008,Dwayne Bowe,WR,KC,57.1,standard,dwayne bowe,56,22
2008,Edgerrin James,RB,ARI,57.7,standard,edgerrin james,57,24
2008,Selvin Young,RB,DEN,58.6,standard,selvin young,58,25
2008,Donovan McNabb,QB,PHI,59.9,standard,donovan mcnabb,59,8
2008,Hines Ward,WR,PIT,60.5,standard,hines ward,60,23
2008,Dallas Clark,TE,IND,61.2,standard,dallas clark,61,5
2008,Chris Chambers,WR,LAC,62.0,standard,chris chambers,62,24
2008,Tony Gonzalez,TE,KC,62.1,standard,tony gonzalez,63,6
2008,Lee Evans,WR,,64.0,standard,lee evans,64,25
2008,Laveranues Coles,WR,NYJ,64.2,standard,laveranues coles,65,26
2008,Roddy White,WR,ATL,65.3,standard,roddy white,66,27
2008,LenDale White,RB,TEN,66.9,standard,lendale white,67,26
2008,Kevin Smith,RB,DET,67.7,standard,kevin smith,68,27
2008,Matt Forte,RB,CHI,69.9,standard,matt forte,69,28
2008,Julius Jones,RB,SEA,72.4,standard,julius jones,70,29
2008,Matt Hasselbeck,QB,SEA,72.4,standard,matt hasselbeck,70,9
2008,Donald Driver,WR,GB,72.8,standard,donald driver,72,28
2008,Chris Cooley,TE,WAS,73.1,standard,chris cooley,73,7
2008,Jeremy Shockey,TE,NO,74.1,standard,jeremy shockey,74,8
2008,Anthony Gonzalez,WR,IND,74.2,standard,anthony gonzalez,75,29
2008,Santana Moss,WR,WAS,75.5,standard,santana moss,76,30
2008,Joey Galloway,WR,TB,78.4,standard,joey galloway,77,31
2008,Fred Taylor,RB,JAX,79.2,standard,fred taylor,78,30
2008,Brett Favre,QB,NYJ,80.1,standard,brett favre,79,10
2008,DeAngelo Williams,RB,CAR,81.7,standard,deangelo williams,80,31
2008,Rashard Mendenhall,RB,PIT,82.9,standard,rashard mendenhall,81,32
2008,Ricky Williams,RB,MIA,84.4,standard,ricky williams,82,33
2008,David Garrard,QB,JAX,84.6,standard,david garrard,83,11
2008,Jay Cutler,QB,DEN,85.1,standard,jay cutler,84,12
2008,Chester Taylor,RB,MIN,85.2,standard,chester taylor,85,34
2008,Nate Burleson,WR,SEA,86.6,standard,nate burleson,86,32
2008,Vince Young,QB,TEN,87.6,standard,vince young,87,13
2008,Chris Johnson,RB,TEN,88.5,standard,chris johnson,88,35
2008,Bernard Berrian,WR,MIN,88.7,standard,bernard berrian,89,33
2008,Deuce McAllister,RB,NO,89.0,standard,deuce mcallister,90,36
2008,JaMarcus Russell,QB,LV,89.3,standard,jamarcus russell,91,14
2008,Patrick Crayton,WR,DAL,90.4,standard,patrick crayton,92,34
2008,Marc Bulger,QB,LAR,91.6,standard,marc bulger,93,15
2008,Vernon Davis,TE,SF,92.9,standard,vernon davis,94,9
2008,Felix Jones,RB,DAL,93.2,standard,felix jones,95,37
