season,player,position,adp_pos_rank,estimate,estimate_source,is_unprojected,band_confidence,p10,p25,p50,p75,p90,p_top12,p_top24,p_bust,powered_by,signal_status,player_id,team,is_rookie,population,value_gap
2026,Josh Allen,QB,1,361.5,sleeper,False,NORMAL,189.8,261.7,317.1,360.3,393.0,0.703,0.932,0.136,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0034857,BUF,0,stable_role,0.0
2026,Lamar Jackson,QB,2,320.0,sleeper,False,NORMAL,148.3,220.2,275.6,318.8,351.5,0.517,0.89,0.254,powered by Sleeper's projections vs the draft market,signal unvalidated for volatile QB/TE; threshold tiers unvalidated,00-0034796,BAL,0,volatile_qb_te,-1.0
2026,Drake Maye,QB,3,320.8,sleeper,False,NORMAL,149.0,221.0,276.4,319.5,352.3,0.517,0.89,0.237,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0039851,NE,0,stable_role,1.0
2026,Joe Burrow,QB,4,306.1,sleeper,False,NORMAL,134.4,206.3,261.7,304.9,337.7,0.441,0.839,0.322,powered by Sleeper's projections vs the draft market,signal unvalidated for volatile QB/TE; threshold tiers unvalidated,00-0036442,CIN,0,volatile_qb_te,-2.0
2026,Jayden Daniels,QB,5,313.7,sleeper,False,NORMAL,142.0,213.9,269.3,312.5,345.3,0.492,0.864,0.28,powered by Sleeper's projections vs the draft market,signal unvalidated for volatile QB/TE; threshold tiers unvalidated,00-0039910,WAS,0,volatile_qb_te,1.0
2026,Jalen Hurts,QB,6,310.5,sleeper,False,NORMAL,138.8,210.8,266.1,309.3,342.1,0.449,0.847,0.297,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0036389,PHI,0,stable_role,1.0
2026,Jaxson Dart,QB,7,300.5,sleeper,False,NORMAL,128.8,200.8,256.1,299.3,332.1,0.407,0.814,0.347,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0040691,NYG,0,stable_role,-3.0
2026,Justin Herbert,QB,8,303.3,sleeper,False,NORMAL,131.6,203.5,258.9,302.1,334.8,0.424,0.822,0.339,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0036355,LAC,0,stable_role,-1.0
2026,Caleb Williams,QB,9,299.3,sleeper,False,NORMAL,127.6,199.6,254.9,298.1,330.9,0.407,0.814,0.347,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0039918,CHI,0,stable_role,-2.0
2026,Trevor Lawrence,QB,10,303.4,sleeper,False,NORMAL,131.7,203.6,259.0,302.2,335.0,0.424,0.822,0.339,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0036971,JAX,0,stable_role,2.0
2026,Dak Prescott,QB,11,303.9,sleeper,False,NORMAL,132.2,204.1,259.5,302.7,335.4,0.432,0.822,0.339,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0033077,DAL,0,stable_role,4.0
2026,Patrick Mahomes,QB,12,278.6,sleeper,False,NORMAL,106.9,178.8,234.2,277.4,310.2,0.263,0.78,0.441,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0033873,KC,0,stable_role,-5.0
2026,Brock Purdy,QB,13,295.7,sleeper,False,NORMAL,123.9,195.9,251.3,294.4,327.2,0.39,0.805,,powered by Sleeper's projections vs the draft market,signal unvalidated for volatile QB/TE; threshold tiers unvalidated,00-0037834,SF,0,volatile_qb_te,0.0
2026,Matthew Stafford,QB,14,280.2,sleeper,False,NORMAL,108.5,180.4,235.8,279.0,311.8,0.271,0.78,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0026498,LA,0,stable_role,-2.0
2026,Bo Nix,QB,15,295.7,sleeper,False,NORMAL,124.0,195.9,251.3,294.5,327.3,0.39,0.805,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0039732,DEN,0,stable_role,3.0
2026,Jordan Love,QB,16,282.5,sleeper,False,NORMAL,110.8,182.7,238.1,281.3,314.1,0.271,0.78,,powered by Sleeper's projections vs the draft market,"disagreement signal validated in aggregate and freshness-controlled (verified against a dated contemporaneous market — Underdog, best ball; format delta on the wording); threshold tiers unvalidated",00-0036264,GB,0,stable_role,1.0
