team,qb1,qb1_id,qb1_ambiguous,qb1_candidates,snapshot_dt,prior_passer,prior_passer_id,prior_attempts,prior_ambiguous,qb_changed,qb_changed_status
ARI,Jacoby Brissett,00-0033119,False,,2026-08-02 09:06:30+00:00,Jacoby Brissett,00-0033119,485.0,False,0,unchanged
ATL,Tua Tagovailoa,00-0036212,False,,2026-08-02 09:06:30+00:00,Michael Penix Jr.,00-0039917,276.0,False,1,changed
BAL,Lamar Jackson,00-0034796,False,,2026-08-02 09:06:30+00:00,Lamar Jackson,00-0034796,302.0,False,0,unchanged
BUF,Josh Allen,00-0034857,False,,2026-08-02 09:06:30+00:00,Josh Allen,00-0034857,534.0,False,0,unchanged
CAR,Bryce Young,00-0039150,False,,2026-08-02 09:06:30+00:00,Bryce Young,00-0039150,518.0,False,0,unchanged
CHI,Caleb Williams,00-0039918,False,,2026-08-02 09:06:30+00:00,Caleb Williams,00-0039918,658.0,False,0,unchanged
CIN,Joe Burrow,00-0036442,False,,2026-08-02 09:06:30+00:00,Joe Burrow,00-0036442,259.0,False,0,unchanged
CLE,Deshaun Watson,00-0033537,False,,2026-08-02 09:06:30+00:00,Shedeur Sanders,00-0040668,212.0,False,1,changed
DAL,Dak Prescott,00-0033077,False,,2026-08-02 09:06:30+00:00,Dak Prescott,00-0033077,600.0,False,0,unchanged
DEN,Bo Nix,00-0039732,False,,2026-08-02 09:06:30+00:00,Bo Nix,00-0039732,658.0,False,0,unchanged
DET,Jared Goff,00-0033106,False,,2026-08-02 09:06:30+00:00,Jared Goff,00-0033106,578.0,False,0,unchanged
GB,Jordan Love,00-0036264,False,,2026-08-02 09:06:30+00:00,Jordan Love,00-0036264,485.0,False,0,unchanged
HOU,C.J. Stroud,00-0039163,False,,2026-08-02 09:06:30+00:00,C.J. Stroud,00-0039163,502.0,False,0,unchanged
IND,Daniel Jones,00-0035710,False,,2026-08-02 09:06:30+00:00,Daniel Jones,00-0035710,384.0,False,0,unchanged
JAX,Trevor Lawrence,00-0036971,False,,2026-08-02 09:06:30+00:00,Trevor Lawrence,00-0036971,590.0,False,0,unchanged
KC,Patrick Mahomes,00-0033873,False,,2026-08-02 09:06:30+00:00,Patrick Mahomes,00-0033873,502.0,False,0,unchanged
LA,Matthew Stafford,00-0026498,False,,2026-08-02 09:06:30+00:00,Matthew Stafford,00-0026498,716.0,False,0,unchanged
LAC,Justin Herbert,00-0036355,False,,2026-08-02 09:06:30+00:00,Justin Herbert,00-0036355,543.0,False,0,unchanged
LV,Kirk Cousins,00-0029604,False,,2026-08-02 09:06:30+00:00,Geno Smith,00-0030565,448.0,False,1,changed
MIA,Malik Willis,00-0038128,False,,2026-08-02 09:06:30+00:00,Tua Tagovailoa,00-0036212,384.0,False,1,changed
MIN,Kyler Murray,00-0035228,False,,2026-08-02 09:06:30+00:00,J.J. McCarthy,00-0039923,243.0,False,1,changed
NE,Drake Maye,00-0039851,False,,2026-08-02 09:06:30+00:00,Drake Maye,00-0039851,612.0,False,0,unchanged
NO,Tyler Shough,00-0040743,False,,2026-08-02 09:06:30+00:00,Tyler Shough,00-0040743,327.0,False,0,unchanged
NYG,Jaxson Dart,00-0040691,False,,2026-08-02 09:06:30+00:00,Jaxson Dart,00-0040691,339.0,False,0,unchanged
NYJ,Geno Smith,00-0030565,False,,2026-08-02 09:06:30+00:00,Justin Fields,00-0036945,204.0,False,1,changed
PHI,Jalen Hurts,00-0036389,False,,2026-08-02 09:06:30+00:00,Jalen Hurts,00-0036389,489.0,False,0,unchanged
PIT,Aaron Rodgers,00-0023459,False,,2026-08-02 09:06:30+00:00,Aaron Rodgers,00-0023459,531.0,False,0,unchanged
SEA,Sam Darnold,00-0034869,False,,2026-08-02 09:06:30+00:00,Sam Darnold,00-0034869,568.0,False,0,unchanged
SF,Brock Purdy,00-0037834,False,,2026-08-02 09:06:30+00:00,Brock Purdy,00-0037834,342.0,False,0,unchanged
TB,Baker Mayfield,00-0034855,False,,2026-08-02 09:06:30+00:00,Baker Mayfield,00-0034855,543.0,False,0,unchanged
TEN,Cam Ward,00-0040676,False,,2026-08-02 09:06:30+00:00,Cam Ward,00-0040676,540.0,False,0,unchanged
WAS,Jayden Daniels,00-0039910,False,,2026-08-02 09:06:30+00:00,Marcus Mariota,00-0032268,227.0,False,1,changed
