player_id,season,team,team_qb_quality,team_qb_delta
00-0023459,2014,GB,2.7668265195587325,0.08191890218584641
00-0020531,2014,NO,2.9699978970431706,0.45041411949973975
00-0029668,2014,IND,1.138721161422339,0.27748800525747275
00-0010346,2014,DEN,4.526150402256417,1.8611246029193507
00-0022924,2014,PIT,1.0738950585919267,-0.46872920680609953
00-0026143,2014,ATL,0.6993249011039431,-1.6205603930196075
00-0029701,2014,MIA,0.2676222746207986,0.8982418065389108
00-0029263,2014,SEA,1.616281370292811,-0.2378214888424386
00-0021429,2014,ARI,,
00-0024226,2014,CHI,0.5853365023100913,1.1034931808510855
00-0022803,2014,NYG,-1.017598558506663,-1.7953309014976364
00-0022942,2014,LAC,2.5804480108688232,2.7015207839415223
00-0027974,2014,SF,1.3234375417633397,0.05950605361859718
00-0021678,2014,DAL,1.3821801102459954,-0.08552844616008026
00-0027939,2014,CAR,1.385716405557465,-0.5760015292047203
00-0026898,2014,PHI,3.0343578022196755,3.648622290928211
00-0023682,2014,HOU,0.7407439828235203,-0.1698219492110341
00-0030520,2014,TB,2.666399245260067,
00-0029567,2014,PHI,3.0343578022196755,3.648622290928211
00-0026498,2014,DET,1.2485286198450423,0.26493784217601735
00-0029604,2014,WAS,0.6506186239265392,-2.0233056723322393
00-0023541,2014,BUF,-0.47073216866582834,
00-0023436,2014,KC,0.9257594455045306,0.3556918569462013
00-0019596,2014,NE,1.0443449783374212,-2.0784009893379523
00-0026158,2014,BAL,-0.39782361024990986,-0.7989139932423015
00-0031237,2014,MIN,,
00-0027973,2014,CIN,1.50038604566715,1.0796102401710634
00-0027688,2014,WAS,0.6506186239265392,-2.0233056723322393
00-0024296,2014,TEN,,
00-0031407,2014,JAX,,
00-0031280,2014,LV,,
00-0030526,2014,BUF,-0.47073216866582834,
00-0021206,2014,TB,2.666399245260067,
00-0026625,2014,CLE,-0.09694034765535141,3.2506928100002566
00-0030565,2014,NYJ,-0.9968629077558966,
00-0028957,2014,LA,,
00-0025430,2014,ARI,,
00-0031266,2014,TEN,,
00-0026197,2014,JAX,,
00-0020679,2014,LA,,
00-0029665,2014,WAS,0.6506186239265392,-2.0233056723322393
00-0027946,2014,TEN,,
00-0023645,2014,CAR,1.385716405557465,-0.5760015292047203
00-0023662,2014,MIN,,
00-0028012,2014,HOU,0.7407439828235203,-0.1698219492110341
00-0029531,2014,ARI,,
00-0020245,2014,NYJ,-0.9968629077558966,
00-0007091,2014,IND,1.138721161422339,0.27748800525747275
00-0029677,2014,DAL,1.3821801102459954,-0.08552844616008026
00-0027659,2014,CHI,0.5853365023100913,1.1034931808510855
00-0026544,2014,KC,0.9257594455045306,0.3556918569462013
00-0031409,2014,CLE,-0.09694034765535141,3.2506928100002566
00-0031345,2014,NE,1.0443449783374212,-2.0784009893379523
00-0029682,2014,DEN,4.526150402256417,1.8611246029193507
00-0030586,2014,NYG,-1.017598558506663,-1.7953309014976364
00-0027796,2014,CAR,1.385716405557465,-0.5760015292047203
00-0023460,2014,CIN,1.50038604566715,1.0796102401710634
00-0026349,2014,GB,2.7668265195587325,0.08191890218584641
00-0022787,2014,LV,,
00-0022864,2014,,,
00-0023578,2014,,,
00-0024264,2014,LAC,2.5804480108688232,2.7015207839415223
00-0024279,2014,SEA,1.616281370292811,-0.2378214888424386
00-0024408,2014,PIT,1.0738950585919267,-0.46872920680609953
00-0025592,2014,TEN,,
00-0025708,2014,MIA,0.2676222746207986,0.8982418065389108
00-0026300,2014,,,
00-0026993,2014,,,
00-0027854,2014,,,
00-0027948,2014,SF,1.3234375417633397,0.05950605361859718
00-0027950,2014,MIN,,
00-0028090,2014,ATL,0.6993249011039431,-1.6205603930196075
00-0028118,2014,BAL,-0.39782361024990986,-0.7989139932423015
00-0028595,2014,,,
00-0028986,2014,HOU,0.7407439828235203,-0.1698219492110341
00-0029151,2014,NYJ,-0.9968629077558966,
00-0030419,2014,LV,,
00-0030533,2014,PHI,3.0343578022196755,3.648622290928211
00-0030661,2014,CLE,-0.09694034765535141,3.2506928100002566
00-0031064,2014,HOU,0.7407439828235203,-0.1698219492110341
00-0030496,2014,PIT,1.0738950585919267,-0.46872920680609953
00-0026796,2014,HOU,0.7407439828235203,-0.1698219492110341
00-0026184,2014,CHI,0.5853365023100913,1.1034931808510855
00-0028009,2014,DAL,1.3821801102459954,-0.08552844616008026
00-0026213,2014,KC,0.9257594455045306,0.3556918569462013
00-0025399,2014,SEA,1.616281370292811,-0.2378214888424386
00-0030485,2014,GB,2.7668265195587325,0.08191890218584641
00-0027966,2014,NO,2.9699978970431706,0.45041411949973975
00-0025637,2014,IND,1.138721161422339,0.27748800525747275
00-0029615,2014,MIA,0.2676222746207986,0.8982418065389108
00-0030287,2014,ARI,,
00-0026373,2014,BAL,-0.39782361024990986,-0.7989139932423015
00-0029854,2014,DEN,4.526150402256417,1.8611246029193507
00-0030456,2014,CIN,1.50038604566715,1.0796102401710634
00-0031301,2014,CIN,1.50038604566715,1.0796102401710634
00-0027029,2014,PHI,3.0343578022196755,3.648622290928211
00-0028198,2014,MIN,,
00-0027218,2014,DET,1.2485286198450423,0.26493784217601735
00-0027155,2014,NYG,-1.017598558506663,-1.7953309014976364
00-0029141,2014,WAS,0.6506186239265392,-2.0233056723322393
00-0024204,2014,BUF,-0.47073216866582834,
00-0031391,2014,LA,,
00-0027864,2014,LAC,2.5804480108688232,2.7015207839415223
00-0029683,2014,DEN,4.526150402256417,1.8611246029193507
00-0023500,2014,SF,1.3234375417633397,0.05950605361859718
00-0023564,2014,PHI,3.0343578022196755,3.648622290928211
00-0024813,2014,NO,2.9699978970431706,0.45041411949973975
00-0031277,2014,LAC,2.5804480108688232,2.7015207839415223
00-0027531,2014,NYJ,-0.9968629077558966,
00-0026153,2014,CAR,1.385716405557465,-0.5760015292047203
00-0022736,2014,ATL,0.6993249011039431,-1.6205603930196075
00-0031055,2014,NYG,-1.017598558506663,-1.7953309014976364
00-0028011,2014,NE,1.0443449783374212,-2.0784009893379523
00-0029104,2014,NE,1.0443449783374212,-2.0784009893379523
00-0029384,2014,TB,2.666399245260067,
00-0030656,2014,CLE,-0.09694034765535141,3.2506928100002566
00-0030547,2014,JAX,,
00-0031375,2014,CLE,-0.09694034765535141,3.2506928100002566
00-0028043,2014,WAS,0.6506186239265392,-2.0233056723322393
00-0026988,2014,MIA,0.2676222746207986,0.8982418065389108
00-0027994,2014,NE,1.0443449783374212,-2.0784009893379523
00-0031376,2014,MIN,,
00-0024217,2014,DET,1.2485286198450423,0.26493784217601735
00-0026855,2014,ATL,0.6993249011039431,-1.6205603930196075
00-0030280,2014,KC,0.9257594455045306,0.3556918569462013
00-0030513,2014,LV,,
00-0027861,2014,BUF,-0.47073216866582834,
00-0029613,2014,TB,2.666399245260067,
00-0029795,2014,LA,,
00-0029675,2014,IND,1.138721161422339,0.27748800525747275
00-0026164,2014,NYJ,-0.9968629077558966,
00-0026144,2014,LV,,
00-0030522,2014,DEN,4.526150402256417,1.8611246029193507
00-0031390,2014,TB,2.666399245260067,
