position,finish_rank,mean_pts
QB,1,401.4
QB,2,372.7
QB,3,363.8
QB,4,349.5
QB,5,325.7
QB,6,311.8
QB,7,305.4
QB,8,300.4
QB,9,296.3
QB,10,288.5
QB,11,284.3
QB,12,271.4
QB,13,252.5
QB,14,250.3
QB,15,241.7
QB,16,237.7
QB,17,228.1
QB,18,220.5
QB,19,216.2
QB,20,205.9
QB,21,197.2
QB,22,183.5
QB,23,175.8
QB,24,171.9
QB,25,163.3
QB,26,159.5
QB,27,151.6
QB,28,142.2
QB,29,132.8
QB,30,125.6
QB,31,118.1
QB,32,113.9
QB,33,105.4
QB,34,98.3
QB,35,91.5
QB,36,89.9
QB,37,83.3
QB,38,74.6
QB,39,68.2
QB,40,63.7
QB,41,60.5
QB,42,55.3
QB,43,52.2
QB,44,47.8
QB,45,44.1
QB,46,41.3
QB,47,38.1
QB,48,29.6
QB,49,28.0
QB,50,25.5
QB,51,21.2
QB,52,19.6
QB,53,18.5
QB,54,16.0
QB,55,15.0
QB,56,13.5
QB,57,10.8
QB,58,9.6
QB,59,7.7
QB,60,6.1
QB,61,4.9
QB,62,3.3
RB,1,346.9
RB,2,310.8
RB,3,296.1
RB,4,288.4
RB,5,262.5
RB,6,253.9
RB,7,242.7
RB,8,232.5
RB,9,225.2
RB,10,221.9
RB,11,217.2
RB,12,212.5
RB,13,209.4
RB,14,206.8
RB,15,201.1
RB,16,195.7
RB,17,193.9
RB,18,189.1
RB,19,184.5
RB,20,181.5
RB,21,177.3
RB,22,174.9
RB,23,171.3
RB,24,167.6
RB,25,160.7
RB,26,157.0
RB,27,155.4
RB,28,151.1
RB,29,145.5
RB,30,143.2
RB,31,138.5
RB,32,135.3
RB,33,129.9
RB,34,124.7
RB,35,123.0
RB,36,120.9
RB,37,117.4
RB,38,113.6
RB,39,111.0
RB,40,107.9
RB,41,107.0
RB,42,104.9
RB,43,102.4
RB,44,97.8
RB,45,94.2
RB,46,92.4
RB,47,89.4
RB,48,88.2
RB,49,87.7
RB,50,85.5
RB,51,83.2
RB,52,80.3
RB,53,79.3
RB,54,78.4
RB,55,76.3
RB,56,72.1
RB,57,70.3
RB,58,65.3
RB,59,64.6
RB,60,62.6
RB,61,59.1
RB,62,56.4
RB,63,54.8
RB,64,53.3
RB,65,51.7
RB,66,50.9
RB,67,49.5
RB,68,48.4
RB,69,45.1
RB,70,43.7
RB,71,42.8
RB,72,40.2
RB,73,38.8
RB,74,37.5
RB,75,36.9
RB,76,36.0
RB,77,35.4
RB,78,34.9
RB,79,34.2
RB,80,33.1
RB,81,32.5
RB,82,32.1
RB,83,31.1
RB,84,30.4
RB,85,29.0
RB,86,28.4
RB,87,26.2
RB,88,25.0
RB,89,24.4
RB,90,23.9
RB,91,23.0
RB,92,21.8
RB,93,21.0
RB,94,19.8
RB,95,19.1
RB,96,18.7
RB,97,18.1
RB,98,17.0
RB,99,16.2
RB,100,15.2
RB,101,14.5
RB,102,13.4
RB,103,12.7
RB,104,12.2
RB,105,11.9
RB,106,11.1
RB,107,10.4
RB,108,10.1
RB,109,9.6
RB,110,9.3
RB,111,8.2
RB,112,7.5
RB,113,6.9
RB,114,5.8
RB,115,5.6
RB,116,4.9
RB,117,4.5
RB,118,4.0
RB,119,3.6
RB,120,3.3
RB,121,2.7
RB,122,2.6
TE,1,233.0
TE,2,185.8
TE,3,171.3
TE,4,164.3
TE,5,153.5
TE,6,148.4
TE,7,140.6
TE,8,137.9
TE,9,135.8
TE,10,131.5
TE,11,123.3
TE,12,120.2
TE,13,118.3
TE,14,114.5
TE,15,110.0
TE,16,105.3
TE,17,102.1
TE,18,101.6
TE,19,99.0
TE,20,95.3
TE,21,91.5
TE,22,89.3
TE,23,87.9
TE,24,85.0
TE,25,82.8
TE,26,79.1
TE,27,75.0
TE,28,72.8
TE,29,70.3
TE,30,68.3
TE,31,66.7
TE,32,63.3
TE,33,61.9
TE,34,60.9
TE,35,59.5
TE,36,56.8
TE,37,54.4
TE,38,53.4
TE,39,51.1
TE,40,50.1
TE,41,48.6
TE,42,47.0
TE,43,46.0
TE,44,45.5
TE,45,43.9
TE,46,42.7
TE,47,41.2
TE,48,40.3
TE,49,39.1
TE,50,38.1
TE,51,35.7
TE,52,34.7
TE,53,33.9
TE,54,32.2
TE,55,31.7
TE,56,31.0
TE,57,30.3
TE,58,29.8
TE,59,28.6
TE,60,27.4
TE,61,26.6
TE,62,26.0
TE,63,24.6
TE,64,24.1
TE,65,23.6
TE,66,22.7
TE,67,22.5
TE,68,20.4
TE,69,19.7
TE,70,18.8
TE,71,17.9
TE,72,17.4
TE,73,16.9
TE,74,16.5
TE,75,16.1
TE,76,15.4
TE,77,14.8
TE,78,14.0
TE,79,13.6
TE,80,13.3
TE,81,12.9
TE,82,12.7
TE,83,12.0
TE,84,11.2
TE,85,10.7
TE,86,10.3
TE,87,9.5
TE,88,9.2
TE,89,8.6
TE,90,8.1
TE,91,7.5
TE,92,7.0
TE,93,6.5
TE,94,6.2
TE,95,5.9
TE,96,5.2
TE,97,4.6
TE,98,4.4
TE,99,4.1
TE,100,3.7
TE,101,3.5
TE,102,3.3
TE,103,2.9
TE,104,2.8
TE,105,2.6
TE,106,2.2
TE,107,1.8
TE,108,1.7
TE,109,1.5
TE,110,1.3
TE,111,1.2
TE,112,1.1
TE,113,0.8
TE,114,0.6
TE,115,0.4
TE,116,0.4
TE,117,0.3
TE,118,0.2
TE,119,0.2
WR,1,331.5
WR,2,293.8
WR,3,272.0
WR,4,255.3
WR,5,247.8
WR,6,234.5
WR,7,222.3
WR,8,214.2
WR,9,208.9
WR,10,205.3
WR,11,201.1
WR,12,200.3
WR,13,199.3
WR,14,197.4
WR,15,191.3
WR,16,187.0
WR,17,184.5
WR,18,183.5
WR,19,180.1
WR,20,177.8
WR,21,176.2
WR,22,175.0
WR,23,174.2
WR,24,171.7
WR,25,169.6
WR,26,166.1
WR,27,162.6
WR,28,160.3
WR,29,156.2
WR,30,155.7
WR,31,153.6
WR,32,152.4
WR,33,150.9
WR,34,148.8
WR,35,146.8
WR,36,142.9
WR,37,140.6
WR,38,137.6
WR,39,135.5
WR,40,134.2
WR,41,131.6
WR,42,128.8
WR,43,125.4
WR,44,124.3
WR,45,123.0
WR,46,119.4
WR,47,117.7
WR,48,115.8
WR,49,114.7
WR,50,112.2
WR,51,110.5
WR,52,107.2
WR,53,105.8
