player,position,team,our_proj,our_rank,adp_rank,value,call,tier,reason,contested,injury_return,years_exp,age,sleeper_rank,sleeper_agrees,actual_rank,actual_total,injured
Josh Allen,QB,BUF,258.99238551516703,4.0,1.0,-3.0,,,,,,7,29.281314168377826,2.0,1.0,1.0,364.62000000000006,False
Lamar Jackson,QB,BAL,262.5849440404994,1.0,2.0,1.0,,,,,,7,28.648870636550303,1.0,1.0,14.0,214.85999999999996,False
Jalen Hurts,QB,PHI,261.0804327470177,2.0,3.0,1.0,,,,,,5,27.069130732375086,4.0,0.0,8.0,301.06,False
Jayden Daniels,QB,WAS,260.47944509876794,3.0,4.0,1.0,,,,,,1,24.70362765229295,3.0,1.0,23.0,114.28000000000002,True
Joe Burrow,QB,CIN,240.97796061762878,7.0,5.0,-2.0,,,,,,5,28.725530458590008,5.0,0.0,20.0,134.46,True
Patrick Mahomes,QB,KC,223.26977819448976,11.0,6.0,-5.0,,,,,,8,29.95756331279945,6.0,0.0,11.0,285.18,False
Baker Mayfield,QB,TB,208.37776174906998,16.0,7.0,-9.0,,,,,,7,30.38466803559206,9.0,1.0,12.0,271.92,False
Bo Nix,QB,DEN,252.0270727268779,5.0,8.0,3.0,,,,,,1,25.516769336071185,10.0,0.0,7.0,304.84000000000003,False
Kyler Murray,QB,ARI,241.39397810007384,6.0,9.0,3.0,,,,,,6,28.0684462696783,7.0,1.0,24.0,77.78,True
Jared Goff,QB,DET,236.15557240623772,9.0,10.0,1.0,,,,,,9,30.882956878850106,18.0,0.0,9.0,297.06,False
Dak Prescott,QB,DAL,201.47895288731914,18.0,11.0,-7.0,,,,,returning from injury,9,32.09308692676249,15.0,1.0,6.0,313.78,False
Justin Herbert,QB,LAC,238.57157500684804,8.0,12.0,4.0,,,,,,5,27.479808350444905,14.0,0.0,10.0,286.88,False
Brock Purdy,QB,SF,206.82419110987516,17.0,13.0,-4.0,,,,,,3,25.68104038329911,8.0,0.0,17.0,177.38,False
C.J. Stroud,QB,HOU,215.8266232907592,14.0,14.0,0.0,,,,,,2,23.91238877481177,16.0,,15.0,208.54,False
Drake Maye,QB,NE,198.04552821262297,19.0,15.0,-4.0,,,,,,1,23.006160164271048,11.0,0.0,2.0,351.4600000000001,False
Caleb Williams,QB,CHI,226.74947548492813,10.0,16.0,6.0,BUY,MEDIUM,,,,1,23.786447638603697,13.0,1.0,5.0,317.18,False
Jordan Love,QB,GB,213.66043742147326,15.0,17.0,2.0,,,,,,4,26.830937713894592,19.0,0.0,13.0,235.14,False
Justin Fields,QB,NYJ,190.5824805240231,20.0,18.0,-2.0,,,,,,4,26.494182067077343,23.0,1.0,19.0,142.66000000000003,True
J.J. McCarthy,QB,MIN,182.59448992501822,22.0,19.0,-3.0,,,,,,0,22.61464750171116,24.0,1.0,21.0,125.38,True
