week,position,slp_proj,name,norm_name
14,QB,27.68,Josh Allen,josh allen
13,QB,26.71,Josh Allen,josh allen
8,QB,26.51,Josh Allen,josh allen
6,QB,26.18,Josh Allen,josh allen
13,QB,26.11,Patrick Mahomes,patrick mahomes
15,QB,26.05,Josh Allen,josh allen
12,QB,25.94,Josh Allen,josh allen
12,QB,25.74,Jalen Hurts,jalen hurts
3,QB,25.65,Josh Allen,josh allen
10,QB,25.64,Josh Allen,josh allen
3,QB,25.52,Lamar Jackson,lamar jackson
2,QB,25.51,Lamar Jackson,lamar jackson
5,QB,25.28,Josh Allen,josh allen
12,QB,25.26,Drake Maye,drake maye
4,QB,25.24,Josh Allen,josh allen
8,QB,25.21,Patrick Mahomes,patrick mahomes
10,QB,25.14,Lamar Jackson,lamar jackson
11,QB,25.13,Josh Allen,josh allen
9,QB,25.11,Patrick Mahomes,patrick mahomes
1,QB,25.07,Lamar Jackson,lamar jackson
13,QB,25.06,Jalen Hurts,jalen hurts
12,QB,24.92,Patrick Mahomes,patrick mahomes
1,QB,24.87,Jalen Hurts,jalen hurts
9,QB,24.7,Josh Allen,josh allen
16,QB,24.66,Josh Allen,josh allen
13,QB,24.64,Lamar Jackson,lamar jackson
15,QB,24.62,Lamar Jackson,lamar jackson
14,QB,24.59,Dak Prescott,dak prescott
12,QB,24.5,Lamar Jackson,lamar jackson
3,QB,24.43,Jalen Hurts,jalen hurts
9,QB,24.42,Lamar Jackson,lamar jackson
7,QB,24.38,Jayden Daniels,jayden daniels
18,QB,24.25,Jaxson Dart,jaxson dart
17,QB,24.18,Dak Prescott,dak prescott
11,QB,24.11,Jalen Hurts,jalen hurts
2,QB,24.11,Josh Allen,josh allen
10,QB,24.06,Jaxson Dart,jaxson dart
13,QB,24.04,Drake Maye,drake maye
16,QB,23.96,Jalen Hurts,jalen hurts
2,QB,23.91,Jayden Daniels,jayden daniels
1,QB,23.85,Jayden Daniels,jayden daniels
18,QB,23.69,Trevor Lawrence,trevor lawrence
2,QB,23.62,Joe Burrow,joe burrow
17,QB,23.58,Josh Allen,josh allen
2,QB,23.58,Jalen Hurts,jalen hurts
1,QB,23.54,Josh Allen,josh allen
15,QB,23.53,Drake Maye,drake maye
9,QB,23.53,Drake Maye,drake maye
6,QB,23.37,Patrick Mahomes,patrick mahomes
16,QB,23.35,Justin Herbert,justin herbert
6,QB,23.31,Dak Prescott,dak prescott
17,QB,23.24,Brock Purdy,brock purdy
13,QB,23.21,Dak Prescott,dak prescott
7,QB,23.16,Patrick Mahomes,patrick mahomes
10,QB,23.12,Jalen Hurts,jalen hurts
4,QB,23.09,Lamar Jackson,lamar jackson
6,QB,23.08,Jayden Daniels,jayden daniels
12,QB,23.07,Brock Purdy,brock purdy
11,QB,23.06,Justin Herbert,justin herbert
11,QB,23.02,Drake Maye,drake maye
14,QB,22.97,Jalen Hurts,jalen hurts
10,QB,22.96,Drake Maye,drake maye
15,QB,22.92,Patrick Mahomes,patrick mahomes
17,QB,22.91,Drake Maye,drake maye
15,QB,22.9,Jaxson Dart,jaxson dart
15,QB,22.9,Brock Purdy,brock purdy
14,QB,22.88,Patrick Mahomes,patrick mahomes
1,QB,22.87,Joe Burrow,joe burrow
14,QB,22.87,Lamar Jackson,lamar jackson
11,QB,22.82,Lamar Jackson,lamar jackson
3,QB,22.82,Patrick Mahomes,patrick mahomes
13,QB,22.81,Justin Herbert,justin herbert
17,QB,22.78,Trevor Lawrence,trevor lawrence
6,QB,22.65,Jalen Hurts,jalen hurts
16,QB,22.62,Brock Purdy,brock purdy
17,QB,22.58,Joe Burrow,joe burrow
9,QB,22.57,Dak Prescott,dak prescott
7,QB,22.54,Baker Mayfield,baker mayfield
15,QB,22.52,Dak Prescott,dak prescott
5,QB,22.51,Patrick Mahomes,patrick mahomes
18,QB,22.5,Dak Prescott,dak prescott
16,QB,22.48,Baker Mayfield,baker mayfield
5,QB,22.48,Justin Fields,justin fields
11,QB,22.45,Patrick Mahomes,patrick mahomes
13,QB,22.39,Bo Nix,bo nix
10,QB,22.39,Justin Herbert,justin herbert
18,QB,22.29,Drake Maye,drake maye
8,QB,22.28,Bo Nix,bo nix
4,QB,22.26,Brock Purdy,brock purdy
11,QB,22.25,Dak Prescott,dak prescott
15,QB,22.24,Baker Mayfield,baker mayfield
17,RB,22.19,Christian McCaffrey,christian mccaffrey
11,RB,22.18,De'Von Achane,devon achane
8,QB,22.17,Jalen Hurts,jalen hurts
11,QB,22.13,Geno Smith,geno smith
9,RB,22.12,Christian McCaffrey,christian mccaffrey
9,QB,22.12,Justin Herbert,justin herbert
8,QB,22.11,Justin Herbert,justin herbert
6,QB,22.09,Baker Mayfield,baker mayfield
14,RB,22.04,Jahmyr Gibbs,jahmyr gibbs
13,QB,22.04,Jaxson Dart,jaxson dart
4,QB,22.01,Jalen Hurts,jalen hurts
17,QB,21.99,Jalen Hurts,jalen hurts
7,QB,21.98,Dak Prescott,dak prescott
16,RB,21.97,Jahmyr Gibbs,jahmyr gibbs
10,QB,21.92,Baker Mayfield,baker mayfield
15,QB,21.9,Jalen Hurts,jalen hurts
16,QB,21.86,Drake Maye,drake maye
16,QB,21.84,Dak Prescott,dak prescott
8,QB,21.8,Baker Mayfield,baker mayfield
7,QB,21.75,Drake Maye,drake maye
14,QB,21.73,Baker Mayfield,baker mayfield
5,RB,21.73,Christian McCaffrey,christian mccaffrey
11,QB,21.69,J.J. McCarthy,jj mccarthy
5,QB,21.68,Justin Herbert,justin herbert
16,QB,21.67,Lamar Jackson,lamar jackson
16,RB,21.67,Jonathan Taylor,jonathan taylor
12,QB,21.66,Dak Prescott,dak prescott
8,RB,21.64,Christian McCaffrey,christian mccaffrey
17,QB,21.63,Justin Herbert,justin herbert
2,QB,21.6,Patrick Mahomes,patrick mahomes
13,RB,21.59,Jonathan Taylor,jonathan taylor
1,QB,21.58,Baker Mayfield,baker mayfield
5,QB,21.57,Jayden Daniels,jayden daniels
16,RB,21.57,Bijan Robinson,bijan robinson
7,QB,21.57,Jalen Hurts,jalen hurts
18,QB,21.56,Brock Purdy,brock purdy
6,QB,21.54,Drake Maye,drake maye
3,RB,21.53,Christian McCaffrey,christian mccaffrey
1,QB,21.52,Justin Fields,justin fields
17,QB,21.47,Jacoby Brissett,jacoby brissett
14,QB,21.44,Jared Goff,jared goff
15,QB,21.43,Matthew Stafford,matthew stafford
6,QB,21.42,Justin Herbert,justin herbert
13,QB,21.4,Baker Mayfield,baker mayfield
17,QB,21.4,Matthew Stafford,matthew stafford
5,QB,21.35,Jalen Hurts,jalen hurts
1,QB,21.33,Patrick Mahomes,patrick mahomes
2,QB,21.33,Justin Fields,justin fields
3,QB,21.31,Dak Prescott,dak prescott
10,QB,21.3,Jared Goff,jared goff
17,QB,21.29,Baker Mayfield,baker mayfield
13,RB,21.28,Jahmyr Gibbs,jahmyr gibbs
15,RB,21.26,Christian McCaffrey,christian mccaffrey
11,RB,21.26,Christian McCaffrey,christian mccaffrey
12,RB,21.25,Christian McCaffrey,christian mccaffrey
18,QB,21.24,Jared Goff,jared goff
18,QB,21.24,Baker Mayfield,baker mayfield
5,QB,21.22,Drake Maye,drake maye
11,QB,21.16,Brock Purdy,brock purdy
10,QB,21.14,Bo Nix,bo nix
1,QB,21.13,Brock Purdy,brock purdy
12,RB,21.12,Jonathan Taylor,jonathan taylor
9,QB,21.12,Jaxson Dart,jaxson dart
3,QB,21.11,Justin Herbert,justin herbert
10,RB,21.09,Jonathan Taylor,jonathan taylor
7,QB,21.05,Justin Herbert,justin herbert
2,QB,21.03,Baker Mayfield,baker mayfield
10,QB,21.02,Daniel Jones,daniel jones
17,QB,20.99,Tyler Shough,tyler shough
4,QB,20.94,Justin Herbert,justin herbert
16,QB,20.92,Jacoby Brissett,jacoby brissett
2,QB,20.89,Jared Goff,jared goff
8,QB,20.84,Daniel Jones,daniel jones
13,QB,20.84,Trevor Lawrence,trevor lawrence
9,QB,20.82,Jayden Daniels,jayden daniels
8,QB,20.8,Drake Maye,drake maye
11,QB,20.8,Marcus Mariota,marcus mariota
2,QB,20.79,Kyler Murray,kyler murray
18,QB,20.77,Matthew Stafford,matthew stafford
9,RB,20.75,Jonathan Taylor,jonathan taylor
15,QB,20.75,Joe Burrow,joe burrow
3,QB,20.73,Baker Mayfield,baker mayfield
16,QB,20.71,Joe Burrow,joe burrow
4,RB,20.71,Christian McCaffrey,christian mccaffrey
12,QB,20.71,Matthew Stafford,matthew stafford
18,QB,20.67,Tyler Shough,tyler shough
7,QB,20.66,Justin Fields,justin fields
13,QB,20.66,Matthew Stafford,matthew stafford
7,RB,20.63,Christian McCaffrey,christian mccaffrey
3,QB,20.63,Kyler Murray,kyler murray
4,QB,20.62,Daniel Jones,daniel jones
12,RB,20.61,Jahmyr Gibbs,jahmyr gibbs
14,QB,20.6,Jordan Love,jordan love
1,QB,20.6,Dak Prescott,dak prescott
4,QB,20.59,Baker Mayfield,baker mayfield
15,QB,20.58,Marcus Mariota,marcus mariota
9,QB,20.57,Jared Goff,jared goff
8,QB,20.57,Dak Prescott,dak prescott
