pff_player_id,gsis_id,nfl_player_id,player,norm_name,college,final_season,seasons,reached_nfl,is_2026_rookie,college_qb,score,reliability,rank_final_season,z_grades_pass,z_accuracy_pct,z_btt_rate,z_twp_rate,z_grades_run,z_pressure_grade,neff_grades_pass,neff_accuracy_pct,neff_btt_rate,neff_twp_rate,neff_grades_run,neff_pressure_grade
156927,,00-0040985,Diego Pavia,diego pavia,VANDERBILT,2025,3,False,True,1.0444,94.1,0.4911,1,1.783,1.0375,1.8474,0.98,1.3408,1.1545,666.6,666.6,666.6,666.6,256.2,245.0
183708,,,Julian Sayin,julian sayin,OHIO STATE,2025,1,False,False,0.8753,88.5,0.3198,2,2.2733,2.4256,1.0175,1.8932,-0.193,1.9026,423.0,423.0,423.0,423.0,34.0,112.0
156206,,,Byrum Brown,byrum brown,USF,2025,2,False,False,0.8096,86.3,0.4152,3,1.2429,0.6156,0.8306,0.6348,1.9177,0.3885,490.6,490.6,490.6,490.6,185.7,143.2
131687,,,Brendon Lewis,brendon lewis,MEMPHIS,2025,4,False,False,0.7328,83.8,0.4778,4,0.431,1.815,-0.291,0.3155,1.8882,0.4977,651.1,651.1,651.1,651.1,198.5,238.2
178723,,,Trinidad Chambliss,trinidad chambliss,OLE MISS,2025,1,False,False,0.6903,82.4,0.3945,5,1.4104,0.5916,1.3099,0.9033,0.9111,1.7669,486.0,486.0,486.0,486.0,130.0,111.0
173983,,,Dante Moore,dante moore,OREGON,2025,2,False,False,0.6592,81.3,0.373,6,1.7859,1.6703,1.8282,0.5918,-0.5165,0.2987,495.8,495.8,495.8,495.8,65.7,130.5
124329,,00-0041149,Haynes King,haynes king,GA TECH,2025,4,False,True,0.6547,81.2,0.4591,7,0.92,1.443,-0.3157,1.8303,0.9356,-0.0001,587.2,587.2,587.2,587.2,249.0,174.0
158323,,MEN516487,Fernando Mendoza,fernando mendoza,INDIANA,2025,3,False,True,0.6506,81.1,0.4528,8,1.4865,1.2678,0.4639,0.4409,0.5554,1.4541,669.3,669.3,669.3,669.3,102.9,209.1
184354,,,Brad Jackson,brad jackson,TEXAS ST,2025,1,False,False,0.6296,80.4,0.3879,9,0.3709,1.6821,1.1637,1.2633,0.7996,-0.7004,446.0,446.0,446.0,446.0,154.0,113.0
173383,,,Broc Lowry,broc lowry,W MICHIGAN,2025,1,False,False,0.5616,78.1,0.3411,10,0.6062,0.1951,-0.8102,2.3432,1.8429,0.8173,309.0,309.0,309.0,309.0,202.0,101.0
170131,,,Anthony Colandrea,anthony colandrea,UNLV,2025,3,False,False,0.541,77.4,0.4782,11,0.5762,0.3056,0.9905,0.3373,1.2792,0.1133,688.7,688.7,688.7,688.7,157.4,235.9
190616,,,Drew Mestemaker,drew mestemaker,N TEXAS,2025,1,False,False,0.5246,76.9,0.361,12,1.6457,1.1864,0.3595,0.8133,-0.0613,1.3176,506.0,506.0,506.0,506.0,45.0,129.0
104768,,00-0040981,Joe Fagnano,joe fagnano,UCONN,2025,2,False,True,0.504,76.2,0.381,13,0.9788,1.1254,-0.7945,1.5902,1.0147,0.3624,541.8,541.8,541.8,541.8,53.8,140.8
157008,,SIM639376,Ty Simpson,ty simpson,ALABAMA,2025,1,False,True,0.4845,75.6,0.3952,14,1.1848,0.6412,1.2368,0.4533,0.2324,0.0457,541.0,541.0,541.0,541.0,70.0,164.0
173162,,,Arch Manning,arch manning,TEXAS,2025,1,False,False,0.4761,75.3,0.376,15,1.1456,0.0712,0.0671,0.0034,1.539,1.0377,463.0,463.0,463.0,463.0,80.0,165.0
158722,,,Noah Fifita,noah fifita,ARIZONA,2025,3,False,False,0.4562,74.6,0.4815,16,1.0336,0.653,0.4215,1.2045,0.0713,1.7456,747.4,747.4,747.4,747.4,118.0,244.5
156398,,,Brendan Sorsby,brendan sorsby,CINCINNATI,2025,3,False,False,0.4517,74.5,0.4452,17,1.074,-0.3196,0.5364,1.1571,0.824,1.2254,598.1,598.1,598.1,598.1,153.7,174.0
157072,,,Gunner Stockton,gunner stockton,GEORGIA,2025,1,False,False,0.4336,73.9,0.3842,18,1.1162,2.1034,-0.7371,0.9933,-0.1727,1.8348,458.0,458.0,458.0,458.0,122.0,120.0
171556,,,Devon Dampier,devon dampier,UTAH,2025,2,False,False,0.4333,73.9,0.4335,18,0.7483,-0.7827,0.7374,0.7808,1.416,-0.6326,543.0,543.0,543.0,543.0,206.0,133.2
