player_id,gsis_id,nfl_player_id,player,norm_name,college,final_season,seasons,drafted,is_2026_rookie,weight_covered,college_te,score,rank_final_season,z_grades_pass_route,z_yprr,z_avoided_tackles_rec,z_grades_hands_drop,z_yac_per_reception,z_contested_catch_rate,neff_grades_pass_route,neff_yprr,neff_avoided_tackles_rec,neff_grades_hands_drop,neff_yac_per_reception,neff_contested_catch_rate,r_grades_pass_route,r_yprr,r_avoided_tackles_rec,r_grades_hands_drop,r_yac_per_reception,r_contested_catch_rate
159125,,00-0041403,Rohan Jones,rohan jones,ARKANSAS,2025,1,False,True,1.0,1.7396642363254429,99.0,1,2.861,6.5642,-0.199,1.1933,3.4621,0.57,106.0,106.0,20.0,25.0,20.0,3.0,0.2788,0.3132,0.2597,0.1203,0.2714,0.0456
156742,,,Terrance Carter Jr.,terrance carter,TEXAS TECH,2025,3,False,False,1.0,1.3843539450530038,93.1,2,2.2216,1.6512,2.1916,0.3756,1.0745,-0.0806,538.9,538.9,93.9,124.2,93.9,19.1,0.6628,0.6987,0.6222,0.4045,0.6361,0.2329
147013,,00-0041483,Eli Stowers,eli stowers,VANDERBILT,2025,3,False,True,1.0,1.3341266076666858,92.0,3,2.1893,2.2283,0.4168,0.7632,0.6295,-0.3523,528.8,528.8,105.0,143.2,105.0,29.2,0.6586,0.6946,0.648,0.4393,0.6615,0.3175
173261,,,Peter Clarke,peter clarke,TEMPLE,2025,1,False,False,1.0,1.1592291712546716,88.2,4,2.368,1.846,1.3217,0.8025,1.0276,0.57,210.0,210.0,30.0,42.0,30.0,9.0,0.4338,0.4746,0.3448,0.1869,0.3584,0.1252
124055,,,Izayah Cummings,izayah cummings,APP STATE,2025,1,False,False,1.0,1.146231519218732,87.9,5,2.5576,2.0189,1.3546,0.0475,1.0276,1.8041,156.0,156.0,37.0,45.0,37.0,2.0,0.3627,0.4016,0.3936,0.1976,0.4079,0.0308
174706,,,Jamari Johnson,jamari johnson,OREGON,2025,2,False,False,1.0,1.1366799388393831,87.7,6,2.2186,1.7959,0.4927,0.4799,1.7583,-0.3739,270.4,270.4,39.8,50.2,39.8,5.6,0.4966,0.5377,0.4111,0.2155,0.4257,0.0818
189695,,,DJ Vonnahme,dj vonnahme,IOWA,2025,1,False,False,1.0,1.0701048224864573,86.3,7,1.9508,3.2287,-0.1675,0.1601,1.3596,1.2741,140.0,140.0,29.0,38.0,29.0,7.0,0.3381,0.3759,0.3372,0.1721,0.3507,0.1002
156895,,00-0041084,Tanner Koziol,tanner koziol,HOUSTON,2025,4,False,True,1.0,0.9966106009911012,84.7,8,1.9571,1.308,-0.5344,1.0882,-0.8869,0.5842,747.4,747.4,150.2,201.6,150.2,57.9,0.7316,0.7628,0.7249,0.5246,0.7366,0.4795
173861,,,Bruin Fleischmann,bruin fleischmann,AIR FORCE,2025,1,False,False,1.0,0.9565181313727987,83.8,9,1.9508,2.0534,-0.2424,1.1469,2.0235,1.8041,153.0,153.0,21.0,30.0,21.0,3.0,0.3582,0.3969,0.2692,0.141,0.2811,0.0456
146410,,00-0040939,Michael Trigg,michael trigg,BAYLOR,2025,3,False,True,1.0,0.8508583692740779,81.5,10,1.2923,1.5161,1.8744,-0.4802,-0.2364,-0.2826,470.3,470.3,71.7,119.6,71.7,25.5,0.6318,0.6693,0.557,0.3955,0.5717,0.2886
158620,,00-0041077,Justin Joly,justin joly,NC STATE,2025,4,False,True,1.0,0.8457486185700778,81.4,11,1.3918,1.146,0.8334,0.4231,-0.2796,0.6084,644.6,644.6,98.8,137.8,98.8,30.8,0.7016,0.735,0.6342,0.4299,0.648,0.3288
157645,,00-0040927,Dae'Quan Wright,daequan wright,OLE MISS,2025,3,False,True,1.0,0.8263780945653706,81.0,12,1.1631,1.1925,0.9666,-0.0102,1.9681,-0.6826,541.8,541.8,65.3,95.7,65.3,7.9,0.664,0.6998,0.5338,0.3436,0.5487,0.1114
158390,,,Michael Masunas,michael masunas,MICH STATE,2025,1,False,False,1.0,0.7941066677749168,80.3,13,2.4249,1.6905,0.3292,0.3058,-0.5216,-0.049,105.0,105.0,19.0,21.0,19.0,2.0,0.2769,0.3112,0.25,0.1031,0.2613,0.0308
162467,,00-0041131,Carsen Ryan,carsen ryan,BYU,2025,3,False,True,1.0,0.7839077827137331,80.1,14,1.3705,1.0971,0.7476,0.5409,0.9338,-0.8789,416.8,416.8,55.7,74.5,55.7,12.5,0.6032,0.642,0.4941,0.2895,0.509,0.1657
156394,,,Brody Foley,brody foley,TULSA,2025,1,False,False,1.0,0.7686910985783938,79.8,15,1.3534,1.3275,0.6148,0.478,1.6362,-0.7605,266.0,266.0,37.0,50.0,37.0,13.0,0.4925,0.5337,0.3936,0.2148,0.4079,0.1714
172510,,,Jayvontay Conner,jayvontay conner,E CAROLINA,2025,1,False,False,1.0,0.6790059725636519,77.8,16,0.9552,1.9324,1.2688,-0.1512,1.9129,-0.6679,147.0,147.0,23.0,34.0,23.0,3.0,0.3491,0.3874,0.2875,0.1569,0.2999,0.0456
176648,,00-0041133,Dallen Bentley,dallen bentley,UTAH,2025,2,False,True,1.0,0.6512442286632374,77.2,17,1.2345,0.8361,0.743,1.3431,0.0593,-0.9706,369.6,369.6,49.2,79.6,49.2,16.2,0.5741,0.6139,0.4633,0.3034,0.4781,0.2049
170208,,,Dylan Wade,dylan wade,UCF,2025,2,False,False,1.0,0.6478763579159987,77.1,18,1.1293,1.1713,-0.5758,0.6777,0.9355,-0.1391,404.4,404.4,60.4,84.8,60.4,8.2,0.596,0.635,0.5145,0.3169,0.5294,0.1154
145753,,,Cole Rusk,cole rusk,ILLINOIS,2025,1,False,False,1.0,0.6111160736538022,76.4,19,1.837,1.2238,0.3292,1.1469,-1.1303,0.2142,112.0,112.0,19.0,23.0,19.0,7.0,0.2901,0.3252,0.25,0.1118,0.2613,0.1002
162884,,00-0041510,Max Klare,max klare,OHIO STATE,2025,3,False,True,1.0,0.6090248451143622,76.3,20,1.029,0.9793,0.0609,0.4,0.1522,0.288,540.8,540.8,81.5,108.4,81.5,13.3,0.6636,0.6994,0.5885,0.3723,0.6029,0.1749
184453,,,Trey'Dez Green,treydez green,LSU,2025,1,False,False,1.0,0.5928024931790526,76.0,21,1.4293,0.6881,0.5475,-0.9857,0.4743,0.3216,266.0,266.0,33.0,51.0,33.0,20.0,0.4925,0.5337,0.3666,0.2182,0.3806,0.2414
171871,,,Dorian Thomas,dorian thomas,NEW MEXICO,2025,1,False,False,1.0,0.5837697267782195,75.8,22,1.1258,0.8263,-0.1338,1.584,0.585,-0.8903,328.0,328.0,56.0,77.0,56.0,11.0,0.5447,0.5852,0.4955,0.2964,0.5105,0.1489
189710,,,Cade Keith,cade keith,NEW MEXICO,2025,1,False,False,1.0,0.5533418196449759,75.1,23,1.3155,1.3103,-0.6552,1.1469,0.6956,1.8041,127.0,127.0,20.0,22.0,20.0,1.0,0.3166,0.3533,0.2597,0.1074,0.2714,0.0157
174722,,,Ethan Davis,ethan davis,TENNESSEE,2025,1,False,False,1.0,0.5369833205685698,74.7,24,1.0405,1.0164,1.061,0.4117,0.9169,0.8776,141.0,141.0,21.0,30.0,21.0,4.0,0.3396,0.3776,0.2692,0.141,0.2811,0.0598
158070,,00-0040901,Jaren Kanak,jaren kanak,OKLAHOMA,2025,1,False,True,1.0,0.5287275514245914,74.6,25,0.8224,0.8609,0.5475,1.1204,0.4743,0.3216,306.0,306.0,44.0,57.0,44.0,5.0,0.5275,0.5683,0.4356,0.2377,0.4504,0.0737
174132,,00-0041032,Kenyon Sadiq,kenyon sadiq,OREGON,2025,2,False,True,1.0,0.5169061907872902,74.3,26,0.7707,0.9062,0.7569,-0.3501,0.4402,0.2368,433.6,433.6,66.0,83.2,66.0,13.2,0.6127,0.651,0.5366,0.3128,0.5514,0.1736
171367,,,Mason Williams,mason williams,OHIO,2025,2,False,False,1.0,0.5084339190273499,74.1,27,0.8304,0.547,1.0247,1.2139,1.1472,-0.3348,269.0,269.0,37.4,46.4,37.4,6.2,0.4953,0.5364,0.3962,0.2025,0.4105,0.0898
