pff_id,gsis_id,player,team,seasons_in_window,nfl_seasons,blend_applies,nfl_qb,college_qb,lambda,talent_qb,score,rank_qb,N_eff,z_grades_pass,z_CPOE,z_btt_rate,z_twp_rate,z_pressure_grades_pass,z_accuracy_pct,z_EPA_dropback,z_deep_CPOE,z_grades_run,neff_grades_pass,neff_CPOE,neff_btt_rate,neff_twp_rate,neff_pressure_grades_pass,neff_accuracy_pct,neff_EPA_dropback,neff_deep_CPOE,neff_grades_run
46601,00-0034857,Josh Allen,BUF,3,8,False,0.8848,0.1183,1.0,0.8848,99.0,1,1212.13,1.2481,0.3929,1.2015,0.6179,0.9276,0.7481,0.85,0.2487,1.6989,1212.1,900.8,1212.1,1212.1,1212.1,1212.1,1212.1,134.5,246.7
28022,00-0036442,Joe Burrow,CIN,3,6,False,0.675,1.0817,1.0,0.675,94.7,2,808.6575,1.7227,0.951,1.136,1.5266,2.2387,0.8251,0.5565,0.5455,-0.0167,808.7,715.0,808.7,808.7,808.7,808.7,808.7,63.6,46.5
46416,00-0034796,Lamar Jackson,BLT,3,8,False,0.6023,0.5818,1.0,0.6023,91.8,3,887.8325,0.972,-0.2158,0.3439,0.7229,0.8419,0.3633,0.81,0.5591,1.2701,887.8,678.9,887.8,887.8,887.8,887.8,887.8,101.9,205.5
77672,00-0037834,Brock Purdy,SF,3,4,False,0.5808,0.1239,1.0,0.5808,91.0,4,866.2950000000001,0.8453,1.0762,0.0142,-0.0654,1.0047,0.6877,0.8491,1.1014,1.087,866.3,668.6,866.3,866.3,866.3,866.3,866.3,81.3,99.3
143969,00-0039851,Drake Maye,NE,2,2,True,0.506,0.9196,0.9483,0.5273,88.9,5,987.1,0.325,2.1163,0.348,-0.05,-0.2753,0.6384,0.5631,0.9641,0.9406,987.1,669.6,987.1,987.1,987.1,987.1,987.1,109.2,161.7
28237,00-0036355,Justin Herbert,LAC,3,6,False,0.5236,0.2173,1.0,0.5236,88.7,6,1157.2,0.835,0.7089,0.3628,0.666,0.5893,0.3801,0.4397,0.2588,0.816,1157.2,927.1,1157.2,1157.2,1157.2,1157.2,1157.2,119.6,146.7
40291,00-0036389,Jalen Hurts,PHI,3,6,False,0.5099,0.8251,1.0,0.5099,88.2,7,1074.7525,0.5233,1.1864,0.4466,0.7314,0.0726,0.4649,0.5553,0.4452,0.8175,1074.8,805.4,1074.8,1074.8,1074.8,1074.8,1074.8,113.7,259.0
97993,00-0039910,Jayden Daniels,WAS,2,2,True,0.4433,1.1197,0.9236,0.495,87.6,8,649.8,0.9211,-0.2556,-0.0039,1.0971,0.3333,0.7518,0.5187,0.823,0.8189,649.8,444.3,649.8,649.8,649.8,649.8,649.8,48.4,158.7
11765,00-0033873,Patrick Mahomes,KC,3,9,False,0.4634,0.7814,1.0,0.4634,86.4,9,1273.415,0.5044,-0.6374,-0.1014,0.446,1.0019,0.2984,0.6219,-0.0004,1.3802,1273.4,1002.1,1273.4,1273.4,1273.4,1273.4,1273.4,115.8,137.6
10769,00-0033077,Dak Prescott,DAL,3,10,False,0.4544,0.2952,1.0,0.4544,86.0,10,1054.4775,1.0477,1.2061,0.5826,0.274,1.651,0.505,0.5544,1.032,-0.1428,1054.5,924.8,1054.5,1054.5,1054.5,1054.5,1054.5,103.3,78.9
7077,00-0029263,Russell Wilson,PIT,2,14,False,0.3454,,1.0,0.3454,81.7,11,394.625,0.4375,0.3589,1.3718,0.9821,0.1684,1.0944,0.2102,1.7062,0.3535,394.6,320.0,394.6,394.6,394.6,394.6,394.6,44.2,49.5
77632,00-0036971,Trevor Lawrence,JAX,3,5,False,0.2889,0.769,1.0,0.2889,79.5,12,1051.4625,0.7691,-0.6741,0.5418,-0.1645,0.8063,-0.3687,0.295,0.5016,0.6224,1051.5,881.3,1051.5,1051.5,1051.5,1051.5,1051.5,123.0,123.5
29048,00-0034869,Sam Darnold,SEA,2,8,False,0.2633,0.3689,1.0,0.2633,78.5,13,994.6,0.7677,0.9533,1.0232,-0.1217,0.5798,0.7164,0.4917,1.424,-0.5066,994.6,764.8,994.6,994.6,994.6,994.6,994.6,103.7,79.1
38334,00-0035228,Kyler Murray,ARZ,3,7,False,0.2538,1.2171,1.0,0.2538,78.1,14,624.6600000000001,0.3197,0.085,-0.2034,1.0716,-0.1942,0.5121,0.6186,-0.4972,0.6146,624.7,539.6,624.7,624.7,624.7,624.7,624.7,54.4,85.2
146409,00-0040691,Jaxson Dart,NYG,1,1,True,0.1478,0.9373,0.885,0.2386,77.5,15,414.0,-0.4149,-0.3961,0.7009,0.0411,0.2194,0.0246,0.203,-0.1519,0.8105,414.0,326.0,414.0,414.0,414.0,414.0,414.0,45.0,86.0
40306,00-0036264,Jordan Love,GB,3,6,False,0.2085,0.033,1.0,0.2085,76.4,16,1021.0225,1.139,0.3815,0.6901,0.4486,0.6866,0.2855,0.8331,0.5544,-0.823,1021.0,828.3,1021.0,1021.0,1021.0,1021.0,1021.0,134.7,80.1
97790,00-0039732,Bo Nix,DEN,2,2,True,0.1503,0.8728,0.9534,0.1839,75.4,17,1099.7,0.4547,-0.6547,0.3212,0.6866,-0.441,0.4103,0.396,0.5258,0.1706,1099.7,923.9,1099.7,1099.7,1099.7,1099.7,1099.7,118.3,147.8
46518,00-0034855,Baker Mayfield,TB,3,8,False,0.1816,1.0634,1.0,0.1816,75.3,18,1224.22,0.2352,-0.0492,0.1635,-0.3701,-0.1333,-0.0812,0.4716,-0.2328,0.7443,1224.2,1027.7,1224.2,1224.2,1224.2,1224.2,1224.2,122.3,111.8
144622,00-0039918,Caleb Williams,CHI,2,2,True,0.1403,0.8432,0.9539,0.1728,75.0,19,1112.1,-0.0807,-1.3556,0.5389,0.3149,0.2763,-1.177,0.2451,-0.1272,0.9779,1112.1,877.1,1112.1,1112.1,1112.1,1112.1,1112.1,136.5,130.6
123943,00-0039150,Bryce Young,CAR,3,3,True,0.1163,0.6969,0.95,0.1453,73.9,20,1021.6550000000001,-0.1957,-0.0229,0.485,0.4653,0.6402,0.0932,-0.1604,0.3795,0.1711,1021.7,843.7,1021.7,1021.7,1021.7,1021.7,1021.7,83.7,92.4
