pff_id,gsis_id,player,team,nfl_seasons,blend,lambda,NFL_RB,college_rb,Talent_RB,score,rank_rb,N_career,z_grades_run,neff_grades_run,r_grades_run,z_RYOE,neff_RYOE,r_RYOE,z_yco_attempt,neff_yco_attempt,r_yco_attempt,z_MTF_rush,neff_MTF_rush,r_MTF_rush,z_success_rate,neff_success_rate,r_success_rate,z_breakaway_pct,neff_breakaway_pct,r_breakaway_pct,z_EPA_rush,neff_EPA_rush,r_EPA_rush,z_grades_pass_route,neff_grades_pass_route,r_grades_pass_route,z_yprr,neff_yprr,r_yprr,z_receiving_EPA_target,neff_receiving_EPA_target,r_receiving_EPA_target,z_YAC_reception,neff_YAC_reception,r_YAC_reception,z_drop_rate,neff_drop_rate,r_drop_rate
123126,00-0038542,Bijan Robinson,ATL,3,True,0.9704333481378085,0.6981832517269231,1.1884112659303765,0.7126776527559701,99.0,1,805.0,1.2286,518.9,0.3073,0.864,518.9,0.1406,0.9983,518.9,0.5342,1.565,518.9,0.6567,0.5432,518.9,0.4689,0.3309,518.9,0.6872,0.36,518.9,0.4299,1.4838,778.3,0.5945,1.3236,778.3,0.5083,0.6944,162.6,0.657,0.9037,130.1,0.6675,0.3096,162.6,0.8287
122474,00-0039139,Jahmyr Gibbs,DET,3,True,0.9669690955486248,0.6097987285596241,0.7544650511884525,0.6145771880397087,97.2,2,718.0,1.0962,452.0,0.2787,0.7495,452.0,0.1247,0.0765,452.0,0.4998,1.1335,452.0,0.625,0.2778,452.0,0.4347,1.5983,452.0,0.6567,0.9049,452.0,0.3965,1.479,671.4,0.5584,1.3371,671.4,0.4713,0.5701,157.3,0.6494,0.2574,128.0,0.6638,0.2066,157.3,0.8239
124305,00-0039040,De'Von Achane,MIA,3,True,0.9572359364962832,0.5467630260269173,0.6398006493703908,0.5507416928598124,93.9,3,549.0,1.7327,382.3,0.2463,0.8228,382.3,0.1076,1.51,382.3,0.458,0.2358,382.3,0.585,0.0833,382.3,0.3941,1.7585,382.3,0.6181,1.1234,382.3,0.3572,1.1411,658.0,0.5534,0.7583,658.0,0.4663,0.0376,144.8,0.6303,0.1058,119.3,0.648,0.3216,144.8,0.8115
97199,00-0038134,Kenneth Walker III,SEA,4,False,1.0,0.5095970281803602,0.7648628387895112,0.5095970281803602,91.8,4,658.0,1.9121,436.4,0.2717,-0.3584,436.4,0.1209,0.0188,436.4,0.491,1.8742,436.4,0.6167,-0.1737,436.4,0.4261,0.8654,436.4,0.6488,0.1672,436.4,0.3881,0.7409,419.7,0.4415,1.1636,419.7,0.3579,0.8453,83.6,0.4961,0.8693,74.1,0.5334,0.1175,83.6,0.7132
11860,00-0033553,James Conner,ARZ,9,False,1.0,0.41396741788646507,0.6250223013992778,0.41396741788646507,86.9,5,444.0,1.5975,192.7,0.1414,0.7142,192.7,0.0573,0.9569,192.7,0.2987,1.5368,192.7,0.4154,0.6005,192.7,0.2469,0.8235,192.7,0.4493,0.8434,192.7,0.2188,0.4318,208.8,0.2822,0.6401,208.8,0.2171,0.2355,38.5,0.3121,0.8438,34.0,0.3442,0.3036,38.5,0.534
98692,00-0037228,Jaylen Warren,PIT,4,False,1.0,0.4079692692723072,0.3501734285568306,0.4079692692723072,86.6,6,502.0,0.2021,337.6,0.224,0.75,337.6,0.0962,0.2504,337.6,0.4273,1.4619,337.6,0.5545,0.1934,337.6,0.3648,0.2408,337.6,0.5883,0.2513,337.6,0.3291,1.1679,433.2,0.4493,1.031,433.2,0.3652,0.3958,91.2,0.518,0.6172,83.2,0.562,0.3885,91.2,0.7308
147787,00-0040715,Cam Skattebo,NYG,1,True,0.8046121593291403,0.2021542787116562,1.182485160812175,0.39369901290823567,85.8,7,101.0,0.8115,101.0,0.0795,0.1809,101.0,0.0309,-0.0423,101.0,0.1825,0.5789,101.0,0.2713,0.1054,101.0,0.1466,-0.4322,101.0,0.2995,-0.8174,101.0,0.128,1.5277,134.0,0.2015,1.3844,134.0,0.1511,0.5129,30.0,0.2611,0.1819,24.0,0.2703,0.3853,30.0,0.4716
10679,00-0032764,Derrick Henry,BLT,10,False,1.0,0.38917005481102346,0.6938956867254975,0.38917005481102346,85.6,8,954.0,1.1564,593.6,0.3366,1.6352,593.6,0.1576,0.9722,593.6,0.5674,-0.1249,593.6,0.6864,0.5612,593.6,0.5025,1.4246,593.6,0.7153,1.141,593.6,0.4631,0.032,315.3,0.3726,0.0085,315.3,0.2951,0.1359,41.0,0.3258,0.9229,33.9,0.3436,-0.1323,41.0,0.5497
162750,00-0040666,Omarion Hampton,LAC,1,True,0.8359732488560365,0.26175645090723687,0.9232248944584536,0.37025497068719715,84.6,9,125.0,1.2549,125.0,0.0965,0.6014,125.0,0.0379,0.5237,125.0,0.2165,1.3335,125.0,0.3155,0.181,125.0,0.1754,1.0913,125.0,0.346,0.443,125.0,0.1537,0.4467,185.0,0.2584,0.1554,185.0,0.1972,0.0495,34.0,0.2859,-0.2041,32.0,0.3306,0.9707,34.0,0.5028
45865,00-0034975,Justice Hill,BLT,7,False,1.0,0.32512392158939685,0.3333509868167071,0.32512392158939685,82.3,10,159.0,0.4125,62.7,0.0509,,,,0.5447,62.7,0.1217,0.8276,62.7,0.1878,0.563,62.7,0.0964,0.8221,62.7,0.2097,0.704,62.7,0.0835,1.331,229.0,0.3013,0.5683,229.0,0.2332,0.5198,42.2,0.3321,0.5667,36.7,0.3615,0.5982,42.2,0.5567
