pff_id,gsis_id,player,team,nfl_seasons,blend,lambda,NFL_TE,college_te,Talent_TE,score,rank_te,N_career,weight_covered,z_grades_pass_route,neff_grades_pass_route,r_grades_pass_route,z_yprr,neff_yprr,r_yprr,z_receiving_EPA_target,neff_receiving_EPA_target,r_receiving_EPA_target,z_avg_separation,neff_avg_separation,r_avg_separation,z_contested_catch_rate,neff_contested_catch_rate,r_contested_catch_rate,z_drop_rate,neff_drop_rate,r_drop_rate,z_YAC_over_expected,neff_YAC_over_expected,r_YAC_over_expected,z_MTF_rec,neff_MTF_rec,r_MTF_rec,z_deep_explosive,neff_deep_explosive,r_deep_explosive
11901,00-0033288,George Kittle,SF,9,False,1.0,1.0295017401851283,0.2236091817067356,1.0295017401851283,99.0,1,1290.0,1.0,2.2527,703.9,0.6871,2.2446,703.9,0.6279,1.7131,149.2,0.2199,0.2316,149.2,0.2919,0.6067,28.2,0.4548,0.3215,149.2,0.4913,1.5204,123.0,0.5906,-0.0298,123.0,0.8059,0.3956,12.6,0.324
75916,00-0037744,Trey McBride,ARZ,4,False,1.0,0.7679837336613924,1.3188525613332054,0.7679837336613924,95.8,2,1637.0,1.0,1.8245,1112.6,0.7764,1.4538,1112.6,0.7273,0.5272,271.2,0.3389,-0.5733,271.2,0.4284,0.2464,52.1,0.6065,0.8631,271.2,0.6372,0.3791,211.6,0.7128,0.6111,211.6,0.8772,0.047,14.7,0.3574
101690,00-0039065,Sam LaPorta,DET,3,True,0.9786597067628771,0.7341936912245495,1.0724110671897895,0.741411349205538,94.8,3,1342.0,1.0,1.5188,699.2,0.6857,1.2472,699.2,0.6263,0.9961,135.3,0.2037,-0.0567,135.3,0.2722,1.0442,19.2,0.3618,0.6686,135.3,0.467,0.7515,108.7,0.5604,0.4435,108.7,0.7858,1.1474,9.7,0.2684
158540,00-0040126,Colston Loveland,CHI,1,True,0.9403113258185722,0.6498096580337407,1.1329440570684326,0.6786473097635624,92.6,4,461.0,1.0,1.8211,461.0,0.5899,1.5299,461.0,0.525,0.8357,106.0,0.1669,0.6398,106.0,0.2266,-0.4627,22.0,0.3943,0.6634,106.0,0.407,0.5653,70.0,0.4509,-0.0454,70.0,0.7027,0.2252,16.0,0.3777
104034,00-0038996,Tucker Kraft,GB,3,True,0.9721107544141252,0.6662650005019269,,0.6662650005019269,92.1,5,1020.0,1.0,0.9002,572.3,0.641,1.2014,572.3,0.5784,1.5218,93.0,0.1495,1.9292,38.5,0.0962,-0.0538,7.4,0.1789,-0.0707,93.0,0.3759,2.9704,30.3,0.2619,1.1179,73.1,0.7117,0.6392,4.8,0.1542
146715,00-0039338,Brock Bowers,LV,2,True,0.971346114203257,0.5394648399516713,1.7599501144287346,0.5744364856231436,88.8,6,992.0,1.0,1.7477,725.6,0.6936,1.3115,725.6,0.635,-0.0074,164.4,0.2371,-0.5396,164.4,0.3124,0.2395,39.5,0.5389,0.3145,164.4,0.5156,0.6465,125.6,0.5957,-0.6712,125.6,0.8092,-0.2266,12.6,0.3234
91791,00-0038933,Dalton Kincaid,BUF,3,True,0.9742007331446336,0.5457459805385205,1.484023862251829,0.5699528619933301,88.6,7,1105.0,1.0,1.1651,593.9,0.6495,1.788,593.9,0.5874,0.883,135.1,0.2034,0.1982,135.1,0.2719,0.0305,20.0,0.3721,0.127,135.1,0.4666,0.4456,100.0,0.5398,-0.3186,100.0,0.7715,0.1202,15.3,0.3675
163104,00-0040663,Harold Fannin Jr.,CLV,1,True,0.93710407239819,0.43413082067767556,2.1887607499346644,0.544489897676192,87.7,8,436.0,1.0,0.9758,436.0,0.5763,0.8954,436.0,0.511,-0.7559,103.0,0.163,-1.2444,103.0,0.2216,-0.2054,21.0,0.3833,-0.1037,103.0,0.4001,1.2466,72.0,0.4579,2.1287,72.0,0.7085,0.1026,7.0,0.2098
9637,00-0031610,Darren Waller,MIA,11,False,1.0,0.3597215117802658,,0.3597215117802658,81.1,9,517.0,1.0,1.545,269.4,0.4567,0.9904,269.4,0.3924,1.3142,55.8,0.0954,-0.9011,21.8,0.0568,0.1917,12.8,0.2753,1.1225,55.8,0.2653,-0.9575,15.7,0.1558,-0.9668,39.7,0.5729,0.4206,7.1,0.2126
101694,00-0038935,Brenton Strange,JAX,3,True,0.9551359638505608,0.3559637268659683,0.2428267147123166,0.3508879438628673,80.7,10,623.0,1.0,0.7621,498.8,0.6088,0.6772,498.8,0.5446,0.7377,92.7,0.1491,0.4234,92.7,0.2039,0.033,16.1,0.322,0.0332,92.7,0.3751,-0.3805,70.0,0.4509,1.1565,70.0,0.7027,0.4855,7.7,0.2249
