pff_id,gsis_id,player,team,nfl_seasons,blend,lambda,NFL_WR,college_wr,Talent_WR,score,rank_wr,N_career,weight_covered,z_yprr,neff_yprr,r_yprr,z_grades_pass_route,neff_grades_pass_route,r_grades_pass_route,z_deep_explosive,neff_deep_explosive,r_deep_explosive,z_receiving_EPA_target,neff_receiving_EPA_target,r_receiving_EPA_target,z_avg_separation,neff_avg_separation,r_avg_separation,z_contested_catch_rate,neff_contested_catch_rate,r_contested_catch_rate,z_drop_rate,neff_drop_rate,r_drop_rate,z_YAC_over_expected,neff_YAC_over_expected,r_YAC_over_expected,z_MTF_rec,neff_MTF_rec,r_MTF_rec
100632,00-0039075,Puka Nacua,LA,3,True,0.966572520352218,1.4052236117456511,,1.4052236117456511,99.0,1,1531.0,1.0,3.3344,950.1,0.7645,2.4581,950.1,0.8009,0.5676,47.7,0.5619,1.3132,317.5,0.7079,0.1641,317.5,0.8626,0.7003,67.1,0.5323,0.3831,317.5,0.5964,1.129,237.0,0.7337,1.1027,237.0,0.8462
129758,00-0038543,Jaxon Smith-Njigba,SEA,3,True,0.9695169989697594,0.942957226566967,1.6066802434323613,0.9631894959738692,97.3,2,1684.0,1.0,2.1123,1070.0,0.7852,1.7224,1070.0,0.8192,0.8815,41.5,0.5275,0.8862,282.4,0.6831,0.5193,282.4,0.848,0.277,48.9,0.4537,0.6497,282.4,0.5678,0.2153,210.1,0.7095,0.3023,210.1,0.8298
61441,00-0036554,Nico Collins,HST,5,False,1.0,0.9052912186915594,0.3616349397835274,0.9052912186915594,95.5,3,1394.0,1.0,1.949,876.3,0.7496,1.8855,876.3,0.7877,0.5625,40.5,0.5217,0.7818,225.4,0.6324,-0.4504,225.4,0.8167,0.5779,50.7,0.4624,0.7829,225.4,0.5119,1.1365,145.5,0.6285,0.2773,145.5,0.7716
84470,00-0036963,Amon-Ra St. Brown,DET,5,False,1.0,0.8941118038061303,0.3218638892851828,0.8941118038061303,95.2,4,1854.0,1.0,1.7835,1103.4,0.7903,2.1032,1103.4,0.8237,0.4386,17.5,0.3208,0.9244,300.9,0.6967,0.2809,300.9,0.856,0.4225,49.8,0.4581,0.7083,300.9,0.5833,-0.0633,227.3,0.7254,0.2501,227.3,0.8407
84270,00-0036900,Ja'Marr Chase,CIN,5,False,1.0,0.8721956744732944,1.382780546927307,0.8721956744732944,94.5,5,1941.0,1.0,1.4415,1203.5,0.8044,1.8593,1203.5,0.836,0.1318,37.0,0.4994,0.4243,318.4,0.7085,0.4443,318.4,0.8629,0.2863,53.8,0.4771,0.2773,318.4,0.597,1.2978,225.1,0.7235,0.9114,225.1,0.8394
97268,00-0039064,Zay Flowers,BLT,3,True,0.9666986659604753,0.8223875555310557,0.5665105194446167,0.8138665088792977,92.7,6,1537.0,1.0,1.5215,915.4,0.7577,1.2187,915.4,0.7949,0.7887,40.3,0.5204,0.624,213.7,0.6199,1.5095,213.7,0.8086,0.4271,25.1,0.2989,0.1309,213.7,0.4986,0.1572,152.7,0.6397,1.2449,152.7,0.78
157170,00-0040735,Luther Burden III,CHI,1,True,0.852902471121509,0.7693547294820571,1.0355560648058422,0.8085122880923404,92.6,7,307.0,1.0,1.6842,307.0,0.5119,0.9654,307.0,0.5652,1.0428,12.0,0.2442,0.5809,72.0,0.3547,3.2459,72.0,0.5873,-2.5096,1.0,0.0167,-0.6809,72.0,0.251,0.5792,53.0,0.3812,1.9344,53.0,0.5516
84140,00-0037261,Khalil Shakir,BUF,4,False,1.0,0.7718557032528175,1.1355502877949688,0.7718557032528175,91.5,8,1332.0,1.0,0.8496,854.0,0.7447,0.7809,854.0,0.7834,0.9751,14.0,0.274,0.3467,192.2,0.5947,1.9224,192.2,0.7916,-0.0665,26.8,0.3123,0.5885,192.2,0.4721,1.5992,157.5,0.6468,1.758,157.5,0.7853
99229,00-0037247,George Pickens,DAL,4,False,1.0,0.7652130133822285,0.4248197958267042,0.7652130133822285,91.3,9,1657.0,1.0,1.4308,1041.6,0.7806,1.4463,1041.6,0.8152,0.6255,47.5,0.561,1.1133,223.2,0.6302,-1.1067,223.2,0.8152,0.2161,61.4,0.5103,-0.0506,223.2,0.5095,1.8225,148.8,0.6336,1.1423,148.8,0.7755
48327,00-0035676,A.J. Brown,PHI,7,False,1.0,0.7216631767027132,1.0768919138835278,0.7216631767027132,89.9,10,1576.0,1.0,1.3951,959.8,0.7663,1.7381,959.8,0.8025,0.3095,46.4,0.5555,0.6882,237.9,0.6449,-1.234,237.9,0.8246,0.3073,63.0,0.5166,0.7001,237.9,0.5254,1.202,156.5,0.6453,0.6579,156.5,0.7842
