gsis_id,display_name,position,rookie_score,games,wg,draft_round,z_dom_best,z_ypc,z_recshare,z_ypr,rank_pos,z_epa_rush,z_explosive
00-0041512,Jadarian Price,RB,79.100000,34,0.850000,1,,,,,1,0.221600,1.411400
00-0041027,Jeremiyah Love,RB,78.600000,37,0.860500,1,,,,,2,0.806700,0.738900
00-0041496,Jonah Coleman,RB,73.000000,46,0.884600,4,,,,,3,0.520700,0.229600
00-0040886,Nicholas Singleton,RB,71.100000,46,0.884600,5,,,,,4,0.196100,0.297800
00-0041104,Demond Claiborne,RB,67.500000,31,0.837800,6,,,,,5,0.012000,0.008200
00-0041096,Kaytron Allen,RB,67.200000,47,0.886800,6,,,,,6,0.265400,-0.298700
00-0041013,Emmett Johnson,RB,66.500000,27,0.818200,5,,,,,7,0.226800,-0.364400
00-0040878,Michael Washington,RB,60.900000,33,0.846200,,,,,,8,-0.294900,-0.626900
00-0041483,Eli Stowers,TE,76.800000,39,0.866700,2,1.054700,,0.461500,-0.431500,1,,
00-0040939,Michael Trigg,TE,74.300000,31,0.837800,,-0.377600,,0.519700,0.580400,2,,
00-0041510,Max Klare,TE,64.800000,29,0.828600,2,0.452000,,-0.418100,-0.907900,3,,
00-0041032,Kenyon Sadiq,TE,55.700000,31,0.837800,1,-0.788700,,-0.048300,-1.535300,4,,
00-0041029,Jordyn Tyson,WR,87.000000,29,0.828600,1,2.451500,,0.007800,0.471300,1,,
00-0041489,Germie Bernard,WR,79.800000,44,0.880000,2,1.770100,,-0.347200,0.144600,2,,
00-0041511,Omar Cooper,WR,77.200000,34,0.850000,1,0.614700,,-0.104900,0.680000,3,,
00-0041438,Carnell Tate,WR,74.800000,37,0.860500,1,0.836800,,-0.293800,0.228700,4,,
00-0041048,Ted Hurst,WR,73.500000,23,0.793100,3,-0.545800,,0.693300,0.448700,5,,
00-0041525,Chris Bell,WR,71.900000,41,0.872300,3,-0.706200,,0.880500,0.094300,6,,
00-0040867,Makai Lemon,WR,71.600000,26,0.812500,1,-0.414700,,0.493200,0.162000,7,,
00-0041047,Chris Brazzell,WR,70.200000,37,0.860500,3,0.356200,,0.051200,-0.428100,8,,
00-0040876,Elijah Sarratt,WR,67.400000,44,0.880000,4,-0.153700,,-0.582800,0.254500,9,,
00-0041547,Kevin Concepcion,WR,66.700000,38,0.863600,,0.385100,,0.178100,-1.165400,10,,
00-0041042,Malachi Fields,WR,66.100000,42,0.875000,3,-0.050000,,-0.588300,-0.055500,11,,
00-0041037,Denzel Boston,WR,65.900000,29,0.828600,2,0.431100,,0.024800,-1.227700,12,,
00-0040870,Jakobi Lane,WR,58.200000,28,0.823500,3,-1.183700,,-0.613300,-0.343400,13,,
00-0041035,Dezhaun Stribling,WR,57.800000,44,0.880000,2,-0.773100,,-0.987200,-0.311100,14,,
00-0041044,Zachariah Branch,WR,57.000000,37,0.860500,3,-1.006500,,0.123700,-1.364200,15,,
00-0041040,Antonio Williams,WR,52.000000,39,0.866700,3,-0.615900,,-1.089100,-1.374000,16,,
