gsis_id,display_name,position,score,ci_lo,ci_hi,w,rank_pos,college_share,flag,z_brkTkl_ru,w_brkTkl_ru,z_yac_oe_rec,w_yac_oe_rec,z_explosive,w_explosive,z_YACcon,w_YACcon,z_brkTkl_rec,w_brkTkl_rec,z_success,w_success,z_cp,w_cp,z_yac_oe,w_yac_oe,z_cpoe,w_cpoe,z_bad,w_bad,z_deep,w_deep,z_qsucc,w_qsucc,z_q10,w_q10
00-0038120,Breece Hall,RB,96.900000,93.500000,99.000000,0.710000,1,0.111700,,-1.819200,0.720600,5.006000,0.608200,4.315800,0.681300,1.123700,0.923400,1.572800,0.622200,2.074200,0.791900,,,,,,,,,,,,,,
00-0038542,Bijan Robinson,RB,95.700000,92.500000,99.000000,0.734900,2,0.102100,,1.056400,0.742500,5.131700,0.643900,-2.000700,0.704500,1.129900,0.930900,3.545700,0.657300,-0.063800,0.809300,,,,,,,,,,,,,,
00-0039040,De'Von Achane,RB,92.700000,89.100000,96.300000,0.688500,3,0.120000,,1.399900,0.669600,1.322300,0.618100,6.098300,0.625600,1.586700,0.904400,-2.961600,0.633100,4.152600,0.748400,,,,,,,,,,,,,,
00-0036223,Jonathan Taylor,RB,91.700000,88.500000,94.900000,0.739000,4,0.100500,,1.701000,0.814200,3.634100,0.567000,0.710300,0.783700,1.398800,0.953400,0.276900,0.580000,-0.154700,0.865800,,,,,,,,,,,,,,
00-0038555,Tank Bigsby,RB,88.500000,81.800000,95.200000,0.391600,5,0.234400,†,4.318900,0.502700,2.607600,0.092500,2.477700,0.454500,1.547100,0.825200,3.022000,0.097000,2.712600,0.597300,,,,,,,,,,,,,,
00-0038597,Chase Brown,RB,86.800000,83.000000,90.700000,0.660600,6,0.130800,,2.447500,0.655900,2.378300,0.563200,1.895400,0.612100,1.312400,0.899000,-0.501900,0.583600,-0.850600,0.737500,,,,,,,,,,,,,,
00-0032764,Derrick Henry,RB,85.900000,82.600000,89.100000,0.734900,7,0.102100,,1.867000,0.856800,1.160500,0.505300,0.177400,0.831600,1.224400,0.965400,1.263400,0.518600,1.965100,0.897900,,,,,,,,,,,,,,
00-0038611,Chris Rodriguez Jr.,RB,84.200000,76.600000,91.800000,0.334300,8,0.256400,†,3.025600,0.426000,1.229700,0.053000,2.048300,0.379700,2.331700,0.776200,-3.250400,0.055700,3.416300,0.521400,,,,,,,,,,,,,,
00-0039032,Tyjae Spears,RB,83.300000,78.500000,88.200000,0.549900,9,0.173400,,1.485900,0.468700,1.196500,0.530900,0.789200,0.421100,0.382600,0.804700,5.856400,0.544100,0.749500,0.564200,,,,,,,,,,,,,,
00-0037228,Jaylen Warren,RB,81.900000,78.200000,85.600000,0.675600,10,0.000000,,0.857100,0.666300,3.682700,0.590400,-1.076000,0.622200,0.414800,0.903200,3.253500,0.603200,-2.223300,0.745600,,,,,,,,,,,,,,
00-0040583,Woody Marks,RB,81.700000,75.600000,87.900000,0.436100,11,0.000000,,1.356300,0.493000,5.142500,0.213200,2.721800,0.444900,0.506000,0.819500,1.329600,0.229100,1.488400,0.588000,,,,,,,,,,,,,,
00-0038551,Kendre Miller,RB,79.100000,71.000000,87.200000,0.306200,12,0.267300,†,4.646900,0.311200,2.694300,0.146200,-0.892300,0.271400,1.739700,0.678500,-0.526800,0.153000,2.830000,0.398700,,,,,,,,,,,,,,
00-0039373,Audric Estimé,RB,77.900000,69.800000,85.900000,0.309300,13,0.266000,†,3.610500,0.314800,1.220100,0.148500,-1.319200,0.274700,1.703200,0.682200,3.776900,0.155400,2.574700,0.402800,,,,,,,,,,,,,,
