season,team,win_total_line,price_over,price_under,book,market_source,as_of_date,source,source_url,retrieved_at,raw_team_name,point_in_time_status
2014,ARI,7.5,-175,155,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Arizona Cardinals,strictly_before_week1
2014,ATL,8.5,150,-170,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Atlanta Falcons,strictly_before_week1
2014,BAL,8.5,-120,100,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Baltimore Ravens,strictly_before_week1
2014,BUF,6.5,-145,125,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Buffalo Bills,strictly_before_week1
2014,CAR,8.0,145,-165,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Carolina Panthers,strictly_before_week1
2014,CHI,8.5,-150,130,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Chicago Bears,strictly_before_week1
2014,CIN,9.0,-110,-110,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Cincinnati Bengals,strictly_before_week1
2014,CLE,6.5,110,-130,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Cleveland Browns,strictly_before_week1
2014,DAL,8.0,230,-270,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Dallas Cowboys,strictly_before_week1
2014,DEN,11.5,100,-120,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Denver Broncos,strictly_before_week1
2014,DET,8.5,110,-130,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Detroit Lions,strictly_before_week1
2014,GB,10.5,115,-135,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Green Bay Packers,strictly_before_week1
2014,HOU,7.5,-175,155,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Houston Texans,strictly_before_week1
2014,IND,9.5,110,-130,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Indianapolis Colts,strictly_before_week1
2014,JAX,5.0,-150,130,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Jacksonville Jaguars,strictly_before_week1
2014,KC,8.0,160,-180,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Kansas City Chiefs,strictly_before_week1
2014,LA,7.0,120,-140,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,St Louis Rams,strictly_before_week1
2014,LAC,8.0,-135,115,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,San Diego Chargers,strictly_before_week1
2014,LV,5.0,-130,110,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Oakland Raiders,strictly_before_week1
2014,MIA,8.0,150,-170,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Miami Dolphins,strictly_before_week1
2014,MIN,6.0,-175,155,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Minnesota Vikings,strictly_before_week1
2014,NE,10.5,-180,160,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,New England Patriots,strictly_before_week1
2014,NO,10.0,-160,140,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,New Orleans Saints,strictly_before_week1
2014,NYG,8.0,130,-150,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,New York Giants,strictly_before_week1
2014,NYJ,7.0,-125,105,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,New York Jets,strictly_before_week1
2014,PHI,9.0,-150,130,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Philadelphia Eagles,strictly_before_week1
2014,PIT,8.5,-140,120,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Pittsburgh Steelers,strictly_before_week1
2014,SEA,11.0,-110,-110,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Seattle Seahawks,strictly_before_week1
2014,SF,10.5,145,-165,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,San Francisco 49ers,strictly_before_week1
2014,TB,7.0,-120,100,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Tampa Bay Buccaneers,strictly_before_week1
2014,TEN,7.0,-140,120,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Tennessee Titans,strictly_before_week1
2014,WAS,7.5,-120,100,,Covers Sports Odds History,2014-09-01,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2014,2026-08-03T02:32:28.828585+00:00,Washington Redskins,strictly_before_week1
2015,ARI,8.5,120,-140,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Arizona Cardinals,strictly_before_week1
2015,ATL,8.5,-110,-110,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Atlanta Falcons,strictly_before_week1
2015,BAL,9.0,-140,120,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Baltimore Ravens,strictly_before_week1
2015,BUF,8.5,130,-150,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Buffalo Bills,strictly_before_week1
2015,CAR,8.5,150,-170,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Carolina Panthers,strictly_before_week1
2015,CHI,6.5,100,-120,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Chicago Bears,strictly_before_week1
2015,CIN,8.5,100,-120,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Cincinnati Bengals,strictly_before_week1
2015,CLE,6.5,155,-175,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Cleveland Browns,strictly_before_week1
2015,DAL,9.5,110,-130,,Covers Sports Odds History,2015-09-07,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2015,2026-08-03T02:32:32.624209+00:00,Dallas Cowboys,strictly_before_week1
