season,team,win_total_line,price_over,price_under,book,market_source,as_of_date,source,source_url,retrieved_at,raw_team_name,point_in_time_status
2026,BUF,10.5,-125,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,bills,"preseason, captured before Week 1"
2026,MIA,3.5,-135,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,dolphins,"preseason, captured before Week 1"
2026,NE,10.5,115,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,pats,"preseason, captured before Week 1"
2026,NYJ,5.5,100,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,jets,"preseason, captured before Week 1"
2026,BAL,11.5,120,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,ravens,"preseason, captured before Week 1"
2026,CIN,10.5,105,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,bengals,"preseason, captured before Week 1"
2026,CLE,5.5,-115,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,browns,"preseason, captured before Week 1"
2026,PIT,8.5,120,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,steelers,"preseason, captured before Week 1"
2026,HOU,10.5,125,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,texans,"preseason, captured before Week 1"
2026,IND,8.5,120,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,colts,"preseason, captured before Week 1"
2026,JAX,8.5,-130,,FanDuel,FanDuel sportsbook app (manual capture),2026-08-05,manual capture by Joseph Schoenbaum from the book's own app,,2026-08-05T18:56:06.910462+00:00,jags,"preseason, captured before Week 1"
